"","baseMean","lgFC_PcDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Nr4a1",608.731583635289,-4.39335493313031,0.156550427077579,-28.0635129213233,2.73276794532698e-173,4.38991842737327e-169
"C1qa",287.605162439698,-7.23960414077849,0.303076828958629,-23.8870261565483,4.17803329087981e-126,3.35579633923467e-122
"Axl",206.738186688655,-4.4653630732716,0.188457507920059,-23.6942699845407,4.13107863090202e-124,2.212054904227e-120
"Adgre5",599.742436842698,-2.25915966836136,0.100501017660237,-22.4789730587493,6.66636360270572e-112,2.67721162284662e-108
"Aif1",117.017293241684,-4.75318028498218,0.223317534022031,-21.2844025248518,1.58352388258155e-100,5.08754552995799e-97
"Plbd1",286.7259262304,-3.26041485083,0.156368734785646,-20.850810459645,1.49862689276065e-96,4.01232373421785e-93
"Ppp1r15a",395.661848267796,-3.2690518348042,0.15691550024767,-20.8331989487618,2.16506336968627e-96,4.9685111386629e-93
"Atf3",350.030636299729,-4.50329423693956,0.218463179375683,-20.6135159701005,2.07591158622713e-94,4.16843046514407e-91
"Junb",1521.83642302556,-2.26824836486587,0.113248618827526,-20.0289274019344,3.08225185804084e-89,5.50147709417423e-86
"Csf2rb2",982.953798593642,2.87433188934729,0.144079706790719,19.9495956326615,1.51105479364256e-88,2.42735842050741e-85
"Tnfaip3",521.621502524119,-2.84341246153097,0.143767882712763,-19.777800214335,4.62427970092265e-87,6.75312991960195e-84
"Csf2rb",1314.14042336856,2.5266888754982,0.141293681332558,17.8825326912619,1.61338602314133e-71,2.1597860896452e-68
"Jun",519.350727106559,-2.23085268631723,0.127919457996417,-17.4395101516121,4.13603697993457e-68,5.11086908043608e-65
"Hmox1",1257.09666936416,-3.60981429020755,0.209437749006048,-17.2357385778784,1.43212483021161e-66,1.64326094803709e-63
"Sdc3",277.935572046199,-2.87038656446236,0.167214140340228,-17.1659320116231,4.77752119708139e-66,5.11640670066102e-63
"Alox15",692.917798798155,3.4315914488697,0.201004376138349,17.0722225794117,2.38928225475186e-65,2.39883938377087e-62
"C1qb",220.813278732451,-5.55420135598882,0.332670049495214,-16.6958262831795,1.40559709598136e-62,1.32820657352027e-59
"Bpgm",332.390962292147,-3.71439506221111,0.222854267566484,-16.6673723719605,2.26327436867828e-62,2.01984663658044e-59
"Tsc22d3",284.350619668027,-3.83487552240763,0.230273670924495,-16.6535562099284,2.85142731898345e-62,2.41080676063948e-59
"Gzma",93.3924572419199,-6.37064338752925,0.390598377500624,-16.309958654447,8.38494797785042e-60,6.73479021580946e-57
"Tmcc2",139.116276164071,-5.07064292417516,0.314494791734334,-16.1231379897017,1.75468410124059e-58,1.34224978106328e-55
"Ramp3",132.240169853352,3.78088538287063,0.237000610358624,15.9530617965476,2.71265112752727e-57,1.98072853239082e-54
"Car2",610.360625826119,-3.15140714072638,0.202450940066882,-15.5662756600947,1.2338541466508e-54,8.61766652686892e-52
"Nrgn",102.835931568358,-2.37255032364693,0.156494908716748,-15.1605591715523,6.45177028385917e-52,4.31838490999641e-49
"Fos",706.091090559011,-3.24217889477588,0.21420796503787,-15.1356598444072,9.4230799276086e-52,6.05489423828418e-49
"Cd82",477.224295341426,-1.93841001941846,0.129832157083972,-14.9301225748313,2.09879950275929e-50,1.29673520047405e-47
"Trbc2",7418.5889081189,-1.65619396307495,0.111753659910961,-14.8200422643385,1.08716026514486e-49,6.46820092566184e-47
"Plxnb2",69.2531687297271,-3.1160946148244,0.21074838309644,-14.7858530112587,1.80752728303943e-49,1.03700422409805e-46
"Klf6",556.307408457095,-2.85706052597185,0.195976336686358,-14.578599509921,3.84320101120522e-48,2.12886831186209e-45
"Fcgrt",59.5246049667364,-3.37271155194568,0.234933998295069,-14.3559960517493,9.77115186052278e-47,5.23212611624793e-44
"C1qc",307.464463874173,-6.20046861664115,0.432165555995922,-14.3474382227251,1.10545768524833e-46,5.72841040510617e-44
"Ccl22",1666.8993755889,3.3125222935651,0.232119411869132,14.2707680796326,3.32891849686627e-46,1.67111708542687e-43
"Selenop",267.422015331013,-2.71606230028023,0.191501662827509,-14.1829697986835,1.16797188282585e-45,5.68554555324679e-43
"Ahnak",173.52268290709,-2.81793994187815,0.200514292715458,-14.0535614878934,7.32553401389749e-45,3.4610993646838e-42
"Gm26532",38.2561553037859,-4.39891851940899,0.313865140267407,-14.0153140793565,1.25641207345042e-44,5.7665724422593e-42
"Ppp2r5a",683.964642536814,-0.935387075120506,0.0673168533473643,-13.8952881575403,6.76507013707351e-44,3.01872463005413e-41
"Ltb",1053.10898019194,-1.4825717691504,0.107168297450332,-13.8340517151307,1.58817018949679e-43,6.89523403353415e-41
"Retnlg",383.589455483148,-6.77677118648949,0.493596983541491,-13.7293610221584,6.7728186504701e-43,2.86311996845136e-40
"Klf2",1061.54818641629,-2.96962808505023,0.216993298664772,-13.6853446780305,1.24216727604113e-42,5.11645515957044e-40
"Cela1",131.453702650624,-5.32319035691208,0.390233812776911,-13.6410279750803,2.28319251153596e-42,9.16930112632844e-40
"Tent5c",169.016879704901,-2.95572373159195,0.217241369277835,-13.6057130435953,3.70338811319104e-42,1.45100552805612e-39
"Jup",68.9636485122307,-2.30358178796625,0.170529088816185,-13.5084389646232,1.39446975794291e-41,5.3335148075226e-39
"Fech",136.654373807978,-3.57076915729204,0.264506660631818,-13.4997324784285,1.56944997304513e-41,5.86317310860396e-39
"Crip2",33.5263007203287,-4.94165877887444,0.375796478293108,-13.1498272717184,1.70563630767583e-39,6.22712310147829e-37
"Ccnd1",45.0498159283792,-4.53982486473095,0.345505276526659,-13.1396686915161,1.95078985776465e-39,6.96388628336252e-37
"Tagap",200.915217748912,-2.07010764684128,0.159062018447649,-13.0144686144707,1.01244126670952e-38,3.53562098009168e-36
"Dusp1",449.513317043328,-2.24305653111609,0.173520387059083,-12.9267607635773,3.17933869775513e-38,1.08665737959018e-35
"Car1",67.5371537682932,-4.37768826816533,0.339995931535688,-12.8757078015383,6.16711091032187e-38,2.06392645132105e-35
"Trf",276.377780480294,-3.16608611052578,0.246038446860165,-12.8682575870966,6.79170164185327e-38,2.22656928928022e-35
"Mkrn1",504.699100870941,-1.86184100809841,0.144980171668398,-12.8420389262392,9.53302294470419e-38,3.06276961167456e-35
"Gypa",82.6788929314012,-6.43953044289517,0.502220159720192,-12.8221265480121,1.23272544597179e-37,3.88284344393938e-35
"Hebp1",42.5574039609006,-4.63152163256648,0.361780767063568,-12.8020117546842,1.59758173155257e-37,4.93529864147316e-35
"Ift140",96.6706261894463,-1.94013706241785,0.152181728983437,-12.7488173210926,3.16510521774723e-37,9.59325475809273e-35
"Serpinb6a",83.0785044394552,-2.79261830567119,0.219481644080733,-12.7236986827198,4.36689562971974e-37,1.29907058140404e-34
"Naaa",183.061775874977,-2.05544279215938,0.161668723702829,-12.7139173557007,4.94916567821704e-37,1.44551631736143e-34
"Snca",185.320389849556,-4.48678116587115,0.353095739576106,-12.7069818833203,5.40817166528911e-37,1.55137267198579e-34
"Acp5",286.890010368722,-1.75355619709719,0.138220291578312,-12.6866770216851,7.00972452211468e-37,1.97551253900439e-34
"Slc4a1",266.633870978587,-8.80641003703838,0.696733024386434,-12.6395760338669,1.27740875061326e-36,3.53798175342264e-34
"Cd3g",168.720765178919,-1.9174443886044,0.152145656667033,-12.6026889666701,2.04066804306918e-36,5.55615109218021e-34
"Blvrb",358.421545163935,-2.11726886436392,0.168863797950086,-12.5383231341851,4.60639640681755e-36,1.23328586465195e-33
"Ptp4a2",572.198529034278,-0.980041042674781,0.0785586673795465,-12.4752758080764,1.01852917336425e-35,2.68223813785628e-33
"Per1",128.028233562612,-2.438241936303,0.195795913093939,-12.4529766621491,1.34725031548066e-35,3.49068210772278e-33
"Vps37b",444.022047928512,-1.46863082082329,0.118029465721537,-12.4429167906951,1.52819683538593e-35,3.89665935930787e-33
"Cadm1",35.0018742650835,-4.07287400837912,0.327831763816956,-12.4236710956819,1.94430462331151e-35,4.8802046045119e-33
"Ptges3",204.116574902264,1.83113777371319,0.147753034424952,12.3932329433361,2.84344654623153e-35,7.02725004902511e-33
"Cyp11a1",277.174950546037,3.53842924105029,0.287062201563638,12.3263502536257,6.53397630990669e-35,1.59033023397487e-32
"Ube2o",209.352405373327,-2.48293522862507,0.202789577901421,-12.2438995845835,1.81116934288713e-34,4.34248124240878e-32
"Rab3il1",27.4767033817243,-4.44440691378593,0.363237269772424,-12.2355476258547,2.00746331781424e-34,4.74233687314234e-32
"Mmp25",340.954889306214,3.38924359644126,0.277505713211399,12.2132389896398,2.64159452245638e-34,6.14993832010714e-32
"5031439G07Rik",208.88904990293,-1.45051634720504,0.118819672207802,-12.2077120753898,2.82728173187026e-34,6.48820767725198e-32
"Cd63",1024.93686995306,1.79527524150291,0.148164104651323,12.1168028229763,8.60509431210431e-34,1.94693288774146e-31
"Serpinb2",537.880406018892,2.85169933621099,0.235820857612283,12.0926510279236,1.1549869774429e-33,2.5769042785615e-31
"Fn1",109.382015674313,-4.24629182704752,0.353931958948592,-11.9974806447594,3.66276557988115e-33,8.06009127057682e-31
"Ccl4",970.464072303588,-3.19792715576589,0.266837639752755,-11.9845429555178,4.28199450623658e-33,9.29539996597087e-31
"Tuba8",101.161002324696,3.19569255931379,0.267380696071136,11.9518447153103,6.34998848672055e-33,1.36008286734239e-30
"Anxa3",285.106903043172,1.93189199650682,0.162062160300468,11.920685204523,9.23459028429998e-33,1.95190076746046e-30
"Sqle",107.095806789203,2.58609101789242,0.217397757881606,11.8956655445398,1.24655290193369e-32,2.60060075541075e-30
"Trib1",156.139027056514,-2.45007522794495,0.206643661635837,-11.8565225206987,1.99072538449894e-32,4.09987340725524e-30
"Irs2",182.066427240342,-1.57557116654768,0.13291610920397,-11.8538766744206,2.05461038153602e-32,4.17788116063224e-30
"Ctrl",50.1602222941,-5.33687973175395,0.452450589802922,-11.7954973471879,4.11760782302127e-32,8.2681565086267e-30
"Ppfia4",28.2179816967445,-4.7336651736905,0.402868693881616,-11.7498957987574,7.07059819674334e-32,1.402248017685e-29
