"","baseMean","lgFC_PcDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Wars1",381.378777730597,-2.86014885254377,0.114469874552038,-24.9860398968424,8.6706514663712e-138,1.36293970399889e-133
"B4galt5",570.100195864007,-2.18803474102957,0.0897345274825086,-24.3834207680658,2.56426862648067e-131,2.01538692698248e-127
"Oasl1",806.27872161581,-3.85832847622858,0.159922521210005,-24.1262359237193,1.32638882095001e-128,6.94983529217106e-125
"Serpina3g",671.745598383982,-3.61893968318346,0.153499349001274,-23.5762542755372,6.75485269036695e-123,2.65448823599695e-119
"Xcl1",521.292007816097,-7.71214437084529,0.327351711981224,-23.5591997493131,1.01038712104222e-122,3.17645503113254e-119
"Nr4a1",608.731583635289,-3.68985424751546,0.157008532652896,-23.5009791198593,3.98579030301097e-122,1.04421062955049e-118
"Jaml",177.565562848575,-3.23772681100465,0.139969761505494,-23.1316162589701,2.2263281027099e-118,4.99937877807099e-115
"Ifi35",605.810279324651,-2.29921504520279,0.106072587395653,-21.6758646286873,3.4666476898682e-104,6.81152937962978e-101
"Slc25a22",263.979483792015,-3.46871738797929,0.163231190834682,-21.2503343891692,3.27326237048556e-100,5.7169345779625e-97
"Gadd45b",804.375631654614,-1.86919929653878,0.0883475419013098,-21.1573435583165,2.36158013164609e-99,3.37469800812226e-96
"Myc",366.149641374931,-2.433959211565,0.115023136773922,-21.1606054210549,2.20374854206175e-99,3.37469800812226e-96
"Mx1",368.511199202753,-4.57162224722172,0.218285812391404,-20.943286222489,2.16032488536666e-97,2.82984557275654e-94
"Tor3a",562.732844585927,-2.78705992530294,0.133176143824794,-20.9276214587621,3.00102057700505e-97,3.62869557307249e-94
"Parp14",730.709635020864,-3.05514828011639,0.146299120829583,-20.8828888566951,7.66166236923831e-97,8.60240505586121e-94
"Ifng",192.535300580715,-5.52549222829917,0.268510393844754,-20.5783178415576,4.29322899148679e-94,4.49901776781206e-91
"Mx2",163.674386182253,-3.5593542329543,0.18096102251467,-19.6691761766861,3.96164701002338e-86,3.89207058440984e-83
"Tpst1",214.651320948291,-2.74317255284739,0.140169439873643,-19.5704039005952,2.76481736880425e-85,2.55648024824905e-82
"Samhd1",3243.00513699491,-2.44467886384085,0.125498151410326,-19.4797997928095,1.62915306702113e-84,1.42270317002806e-81
"Gbp2",1182.21138319245,-4.25106235164507,0.222358840568362,-19.118027152773,1.78741569935255e-81,1.47875723042751e-78
"Trafd1",502.947181625073,-2.62831576289547,0.138593231839148,-18.9642432607813,3.36840088543009e-80,2.64739467590378e-77
"Rasa4",196.427488370366,-3.08750242292099,0.163524414283417,-18.8809875054485,1.63500396603301e-79,1.22383939724157e-76
"Isg15",1870.77564816781,-3.95489245759842,0.210042887410889,-18.8289758646376,4.3713285158553e-79,3.12331422457861e-76
"Zbp1",1053.17737887658,-2.70884286301021,0.144202963809489,-18.7849319559683,1.00314741830603e-78,6.85585837754456e-76
"Phf11b",465.433710479392,-3.33553433553971,0.179892359372471,-18.5418343901611,9.49278671291489e-77,6.21737976417955e-74
"Sdc3",277.935572046199,-3.06417011983301,0.166581481640235,-18.3944222950945,1.45604433879587e-75,9.15502438461288e-73
"Daxx",655.906716932377,-2.9009769140695,0.160336585551107,-18.0930441053007,3.61553053556605e-73,2.18586632648318e-70
"Alox15",692.917798798155,3.62956525917729,0.201604357901554,18.0034067564634,1.83195757839746e-72,1.06653856203073e-69
"Marchf5",412.972174165612,-2.15123914827781,0.119560333525242,-17.9929169219291,2.21391431854204e-72,1.2428756847558e-69
"Tdrd7",158.336015072163,-2.26209037255885,0.125780637734977,-17.9844085170337,2.58128430452631e-72,1.39914510285686e-69
"Rfc3",193.877778397693,-2.14750226435477,0.119475925959983,-17.9743512937832,3.09462170865629e-72,1.62147862127894e-69
"Usp18",559.184001713474,-3.87372644383591,0.215920005937074,-17.9405628812591,5.68760774802071e-72,2.88398407068186e-69
"Irf7",1371.16191838475,-2.84478730234577,0.16069762345865,-17.7027341233691,3.99435636570167e-70,1.96210274101452e-67
"Cd40",340.691248295067,-2.64577338845995,0.149594381520713,-17.686315231656,5.34589520039687e-70,2.54642808045571e-67
"Phf11a",138.467011469512,-3.86731747096029,0.220083003744088,-17.5720860092277,4.03074944890361e-69,1.86351031139164e-66
"Ppa1",507.781085774931,-2.56165262033531,0.146462467422424,-17.4901643091062,1.70265674537301e-68,7.64687468014809e-66
"Lta",70.6469294489365,-4.55315965495251,0.262283812307939,-17.3596670526002,1.66687236486436e-67,7.27821297313967e-65
"Serpina3f",192.020136003035,-4.87523589000542,0.281143681213641,-17.340727235839,2.31785705250735e-67,9.84713378604404e-65
"Isg20",601.910199861709,-3.40797730458497,0.196728659558882,-17.3232375609459,3.14173847487171e-67,1.29960492332917e-64
"Stat2",621.782638371567,-2.63379900201212,0.152706424871931,-17.2474668581953,1.16914084292483e-66,4.71223715639371e-64
"Tagap",200.915217748912,-2.69122247791405,0.156697806839982,-17.1746020712485,4.11464688020022e-66,1.61695335774668e-63
"Axl",206.738186688655,-3.25318327854461,0.19106103315253,-17.0269323098839,5.18521540672171e-65,1.98796099946972e-62
"Slfn8",158.098519749376,-2.33402463237725,0.137124432208215,-17.0212163856633,5.71705139029912e-65,2.13967454295504e-62
"Sec11c",802.577630623615,1.14711476051119,0.0674388531308211,17.009701488932,6.95914463312869e-65,2.54397196484069e-62
"Nfkbid",262.540940099231,-2.55171971687713,0.150156332826726,-16.9937535689667,9.13515718128843e-65,3.26353490301529e-62
"Timm10",151.163400918772,-2.11306739272756,0.124875382678337,-16.921408746915,3.12856850969993e-64,1.09284374231051e-61
"Calhm6",93.6143186039496,-3.95611464113432,0.234162415097662,-16.8947464924478,4.91823179186593e-64,1.68064533774653e-61
"Parp9",420.570540052819,-2.29607657278121,0.136045915092324,-16.8772180423281,6.61913742296926e-64,2.2137493862054e-61
"Il12rb1",77.5588458675613,-3.78219196443227,0.226811661609836,-16.6754739927722,1.97637533562182e-62,6.47221747929987e-60
"Helz2",984.867108233821,-2.65588680949409,0.160270566394539,-16.5712698796863,1.12426236553237e-61,3.60658778036801e-59
"Spry1",49.8387287129207,-4.81346091931887,0.29163063235877,-16.5053337517619,3.35871001136734e-61,1.05591125337366e-58
"Tmcc2",139.116276164071,-5.16342461351936,0.314141094192351,-16.4366417160238,1.04554455938555e-60,3.22253233901597e-58
"Tbx21",58.7958691634586,-4.99444703791684,0.304961798976402,-16.3772874329854,2.77861532016709e-60,8.39943350340509e-58
"Rnf19b",897.164439997086,-1.67413689898001,0.102604214606248,-16.3164535239088,7.53900981222293e-60,2.2359565139308e-57
"Gzmb",218.543567803278,-3.48804574110277,0.213855784793767,-16.3102707016623,8.34222255504205e-60,2.42835919153159e-57
"Ccl4",970.464072303588,-4.28721277534113,0.266205041896549,-16.1049270321755,2.35575764163348e-58,6.73275533978849e-56
"Rtp4",539.459799321767,-2.4648209014736,0.15645806193454,-15.7538759652082,6.45977190044345e-56,1.81323490184055e-53
"Tap1",1510.1227876006,-1.64394536745013,0.104569283251031,-15.7211115572404,1.08405000472399e-55,2.9895056182906e-53
"Ifit3b",134.935846054083,-4.23325459882291,0.273500208656062,-15.4780671635479,4.87912871085812e-54,1.32232800355136e-51
