"","baseMean","lgFC_LMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Hmox1",1503.84111120304,4.22934801221065,0.22434468148811,18.8520092571697,2.8289079570372e-79,4.04024634424053e-75
"Isg15",1487.55506424504,3.85712528011811,0.222124757848196,17.3646797299117,1.52749820110632e-67,1.09078646541002e-63
"Oasl1",507.732129798546,2.62565801351731,0.168914296951101,15.5443207644964,1.73856080731454e-54,8.27670848335544e-51
"Pck2",332.457895802058,1.74520959142455,0.113421722386195,15.3869078577576,2.00381890480402e-53,7.15463539960277e-50
"Saa3",2442.00596560494,3.79868179934471,0.26391352814817,14.3936607797233,5.67128052831133e-47,1.61994457010685e-43
"Il22",332.095914314803,5.04899310518315,0.352797061882824,14.311324131322,1.85938974212282e-46,4.42596738283302e-43
"Slco4a1",183.42079084526,2.17829599581519,0.152409741486932,14.2923672369194,2.44166393653936e-46,4.98169204880788e-43
"Nfkbia",2116.12101266027,1.22869523579576,0.0877820721280188,13.9971090452715,1.62341266104859e-44,2.89819745313699e-41
"Usp18",381.808313459656,3.07848435031759,0.224852014996559,13.6911574946958,1.14667921077858e-42,1.81965249870441e-39
"Mthfd2",501.640283161511,1.89396713573602,0.143425592820175,13.205224384958,8.18554350657933e-40,1.16905932360966e-36
"Chac1",85.0988511004553,3.52339857778521,0.267506557500835,13.1712605877865,1.28435137596246e-39,1.66755512286326e-36
"Sqstm1",2006.35914989876,1.91852996355788,0.146399150163704,13.1047889377266,3.09120972359189e-39,3.67905477269494e-36
"Rn7sk",162.350593923494,5.26310178592588,0.405082043181919,12.9926810494591,1.34626890548547e-38,1.47903173139565e-35
"Eif4ebp1",507.369289826177,2.22848031849872,0.171960220283847,12.959278109904,2.08197583175132e-38,2.12391277350516e-35
"Cars",255.40650342217,1.85067208067608,0.14290748129056,12.9501413359408,2.34521888165417e-38,2.23296107118566e-35
"Fos",221.398383608501,-2.56482507256687,0.200669583121759,-12.7813345334486,2.08461587061252e-37,1.8607802415055e-34
"Fth1",23453.0692090284,1.59893783917099,0.125735017485844,12.7167265821632,4.77445825612109e-37,4.01110663611302e-34
"Tor3a",396.566973104302,1.6553667711876,0.130516795101081,12.6831705444925,7.33055253743634e-37,5.81638618553699e-34
"Shmt2",621.365970443088,1.78351759595427,0.141061415164743,12.6435538298785,1.21438430793917e-36,9.12833509788801e-34
"Il17f",72.2025661191918,4.59236188844465,0.367811952018089,12.4856244155405,8.9438893817261e-36,6.38683140749061e-33
"Nars",666.722974001304,1.27452653497307,0.103596751396808,12.3027654611604,8.75252921381232e-35,5.95255343960322e-32
"Ifi35",453.72115026017,1.43679058916343,0.119963034336424,11.9769443738318,4.69304326252524e-33,3.04663835797207e-30
"Parp14",512.132203784709,1.79704833814377,0.151930679245036,11.8280807212444,2.79458628919399e-32,1.73531658183777e-29
"Egr1",475.47044804592,-1.75113001341091,0.148423472171765,-11.7982013746747,3.98743166211653e-32,2.37285412493118e-29
"Tnip1",519.115907192546,1.46003084117661,0.124530790622696,11.7242557754268,9.57387366400493e-32,5.46936254677274e-29
