"","baseMean","lgFC_LcDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Sqstm1",2006.35914989876,3.24132452909958,0.144972098866659,22.358264482884,1.00339272232013e-110,1.40083657963113e-106
"Hmox1",1503.84111120304,4.88989275175244,0.223622272285136,21.8667519195827,5.38577324720209e-106,3.75953901520942e-102
"Egr1",475.47044804592,-3.23297115679685,0.153456349677673,-21.0676923019969,1.57418412885364e-98,7.32572820764189e-95
"Slco4a1",183.42079084526,2.9822080120933,0.142613633147654,20.9111004766683,4.24332427191013e-97,1.48102625400343e-93
"Pck2",332.457895802058,2.09085288669436,0.107653711958998,19.4220231578332,5.02700000926e-84,1.40363894258558e-80
"Mthfd2",501.640283161511,2.67155261963135,0.13929865344136,19.178596157471,5.58684997298388e-82,1.29996687454713e-78
"Trib3",136.683893684128,5.7232939467256,0.342327781697937,16.7187539332572,9.56992846231615e-63,1.90865387517708e-59
"Nars",666.722974001304,1.62629252812375,0.100174183733638,16.2346471666597,2.86892769160308e-59,5.00663743780883e-56
"Atf5",336.35494604694,3.16914056733256,0.197868113655187,16.01642886663,9.81263911986146e-58,1.52215838613762e-54
"Gclm",1238.42574861783,2.33602969745212,0.149112801038719,15.6661915085717,2.57557237512126e-55,3.59575659290679e-52
"Gars",621.399246194264,1.5878354606284,0.101805046472999,15.5968246726308,7.65058475243054e-55,9.70998306624388e-52
"Chac1",85.0988511004553,3.99998797923364,0.258733870717443,15.4598544370788,6.47446736683212e-54,7.53250324236193e-51
"Ier2",485.280547103637,-1.37114144579484,0.089010370296837,-15.4042887499768,1.53165056790262e-53,1.64487489065296e-50
"Slc6a9",115.237703809843,3.65069904598967,0.238122096768993,15.3312065344834,4.73116334256793e-53,4.71798367325649e-50
"Fos",221.398383608501,-2.74682468987843,0.181517673713515,-15.1325467855746,9.87967172963507e-52,9.19533980116234e-49
"Sesn2",195.880009168083,1.79963430002258,0.119345643179078,15.079178863046,2.22012906787235e-51,1.93720136978537e-48
"Ddit3",167.473392695815,2.31874144321081,0.153954423906326,15.0612199661223,2.91360429238234e-51,2.39275467799705e-48
"Abcc1",273.716217214868,1.7615755955463,0.117117217898049,15.0411325265578,3.94738595051012e-51,3.06163640305954e-48
"Mars1",294.936386734297,1.33426761633553,0.0891842588612323,14.9607972681771,1.32429951538413e-50,9.73081343909361e-48
"Cebpg",189.914016251682,1.69117126081643,0.11391141765768,14.8463718176051,7.34370256374522e-50,5.12627157462235e-47
"Shmt2",621.365970443088,2.01930273768794,0.138835480631088,14.5445726734191,6.32244209703537e-48,4.20321971984337e-45
"Bank1",287.208473601148,-2.40167462859893,0.166590661383039,-14.416622208353,4.06768213517182e-47,2.58131410405153e-44
"Cars",255.40650342217,1.97881115344253,0.137941398784133,14.3453029393969,1.14001387733513e-46,6.91988423542426e-44
"Slc3a2",1466.76166303105,1.95987767009725,0.137651965511314,14.2379199804172,5.32896942898527e-46,3.09990592491931e-43
"Eif4ebp1",507.369289826177,2.41388342111233,0.169878440002604,14.2094748519902,8.00233448211231e-46,4.4688236681908e-43
"Clic4",609.494784713509,1.32602651081744,0.0937227280409549,14.1483985638786,1.9105874475525e-45,1.02591197520309e-42
"Asns",269.188925829318,3.20351141578335,0.227003570468319,14.1121631222556,3.19621418662893e-45,1.65267949109357e-42
"Phf10",193.956959271811,1.69392078152478,0.122324467235563,13.8477674974276,1.31227562989822e-43,6.54310002464609e-41
"Psph",359.706213295298,1.77820279550863,0.12969633592428,13.7105091121987,8.78393207334975e-43,4.22870605779434e-40
"Atf4",1701.04574795416,1.52256095693759,0.111724255407632,13.6278460875166,2.73534885529802e-42,1.27294017896052e-39
"Rn7sk",162.350593923494,5.45051170959719,0.40263615458232,13.5370647855788,9.44896431678283e-42,4.25538680085823e-39
