"","baseMean","lgFC_PMoDC_vs_PcDC","lfcSE","stat","pvalue","padj"
"Ccl5",5151.88908192116,4.15914762509063,0.173520231087592,23.9692374717454,5.82313439383432e-127,8.31660054127417e-123
"Rnf19b",855.311968976008,2.08445139830136,0.0900839291853455,23.1389929053012,1.87643745876937e-118,1.33996398930721e-114
"Cx3cl1",151.84509176995,4.11514450156711,0.208017345130409,19.7826988849765,4.19619132361019e-87,1.99766681612669e-83
"Cxcl16",469.655064159584,2.47905535363,0.130326103474467,19.0219402524812,1.12251609871754e-80,4.00794373047097e-77
"Tmem176a",219.632459738017,2.03249958079561,0.124349049099976,16.3451155879889,4.71276451857942e-60,1.34615405708703e-56
"Il12b",87.8056837364628,5.93120289391283,0.374054018296584,15.8565410443206,1.26681560040217e-56,3.01544340082396e-53
"Gpc1",113.953096607908,2.14165129521663,0.138907363662003,15.4178384698727,1.24191978196524e-53,2.53387118943252e-50
"Ttc39c",155.95010295171,3.04113182165993,0.203731138352628,14.9271821983157,2.19340823898358e-50,3.91578205864544e-47
"Ccl17",991.427766291262,5.60844710897047,0.383305190950381,14.6318057813532,1.76051723804212e-48,2.79374524374639e-45
"Anxa5",527.365087677709,1.38952767739381,0.0980742601097137,14.1681178714922,1.44316770619356e-45,2.06113211798564e-42
"Ccl22",2402.86821171226,3.12602440816506,0.222222022287872,14.0671224929972,6.04806701229299e-45,7.85259027905168e-42
"Clu",86.3935890792995,3.88895648814916,0.277440377511342,14.0172693067727,1.22227875553148e-44,1.45471543220838e-41
"Vdr",95.3474818062673,2.55950256162064,0.183388571406755,13.9567179240613,2.86318520371412e-44,3.14553931380347e-41
"Mx1",190.283145932946,2.80520611657878,0.203690620050117,13.7718963980206,3.76206394440921e-43,3.83784266100374e-40
"Il22",332.095914314803,4.79090844079154,0.351464252771712,13.6312822798039,2.60954455866687e-42,2.48463435912535e-39
"Id2",1015.67563242425,1.37632971791169,0.102768199712983,13.3925642538799,6.68328388706751e-41,5.96566627969364e-38
"Tmem176b",343.708372595084,1.87595158418491,0.14161838974943,13.246525310054,4.72581829581539e-40,3.97024334710796e-37
"Procr",242.241194567294,2.66794365394082,0.201900705302116,13.214137364942,7.27151586928169e-40,5.76954386917117e-37
"Kdm4a",301.090610939066,2.52084368840852,0.202333723464724,12.4588409941856,1.25176580922275e-35,9.40932594069434e-33
"Txndc17",495.628845855335,1.31920753442835,0.105958696675206,12.4502053707975,1.39485780911754e-35,9.96067961490834e-33
"Npr1",38.8176335506904,3.67984916979121,0.300414366975054,12.2492449573718,1.69567237691665e-34,1.15321870891065e-31
"Nfkbia",2116.12101266027,1.05078129461973,0.0866224462383592,12.1305890130173,7.27244579121746e-34,4.72113958137126e-31
"Zmynd15",96.5139999631224,1.7929131931384,0.149615830066778,11.9834458181207,4.33905817035176e-33,2.69436646908539e-30
"Glipr2",512.156209107806,1.17072133268578,0.0988438094050804,11.8441543252137,2.30734088166818e-32,1.37306010299938e-29
"Dnajc1",152.416445272369,1.42313356431334,0.120319751488827,11.8279297181351,2.79961731129832e-32,1.5993653775985e-29
"Aif1",43.1970081611721,2.90563322517723,0.246423930086856,11.7911974870017,4.33335318931487e-32,2.38034424037673e-29
"Epx",194.182785118282,-2.68019854732141,0.231190681090902,-11.5930215468658,4.47077562079095e-31,2.36487471911616e-28
"Ifng",108.401680090304,3.33042732519853,0.292635686162354,11.3807969522583,5.21212332283399e-30,2.6585551891684e-27
"Net1",243.302492403293,1.94998703070248,0.174807858154439,11.1550307365457,6.76694311012639e-29,3.33260281030431e-26
"Jak2",521.150853839363,1.33737156700061,0.121025782321281,11.0503030127115,2.18476208004474e-28,1.04009240090663e-25
"Icam1",338.623867473204,1.53440230137985,0.139352527530883,11.0109398700343,3.384543422517e-28,1.55929190839961e-25
"Rhoc",50.6507871577793,2.55798840783908,0.23338581305146,10.9603423378398,5.92747187383042e-28,2.64550479068894e-25
"Vegfa",268.687636678155,2.02987478064968,0.188284613007934,10.7808851090989,4.23788134759369e-27,1.83410367897979e-24
"Tmem37",30.4889219847591,5.0335543339895,0.467855438832194,10.7587812734499,5.38779664800172e-27,2.26319152137531e-24
"Hopx",117.507472931056,1.74183899315839,0.162142889269227,10.7426172125636,6.41981981090781e-27,2.61965332969672e-24
"Fscn1",1566.24728586125,1.99415838892033,0.19248310086244,10.3601738541477,3.76277483565801e-25,1.4927763945241e-22
"Npc2",1467.25679414999,1.02797411347528,0.0995231818473854,10.3289916418834,5.21054329606328e-25,2.01126971228043e-22
"Ears2",37.5896432697523,2.31166785254368,0.223909478794226,10.3241178756354,5.48203753650851e-25,2.06038052885301e-22
"Il17f",72.2025661191918,3.74494999468487,0.3651180387011,10.2568199807587,1.10278680812798e-24,4.0384618445343e-22
"Smox",126.948298673896,1.82406179114946,0.179473561661975,10.1634010840267,2.88821809198539e-24,1.03123826974338e-21
"Axl",84.6554028352872,2.13213059049792,0.210327321525283,10.1372022190736,3.7776396283848e-24,1.31590851640468e-21
"Nr4a1",147.797835451057,1.76706857099566,0.178930163708308,9.87574444897023,5.30376570647114e-23,1.80353290047193e-20
"Clic4",609.494784713509,0.927425359588277,0.0939953794765164,9.86671222301925,5.80357069527042e-23,1.92759527139191e-20
"Vopp1",55.2447341251835,1.92195096357005,0.194894078309234,9.86151544594669,6.11198435038226e-23,1.98389455663999e-20
"Pnkd",71.4406512485703,1.91044206717276,0.194786410741946,9.80788166841743,1.04131529964384e-22,3.30490335766962e-20
"Castor1",49.4953378943366,1.84268875305235,0.188656030598158,9.76745215729318,1.55308585388314e-22,4.82199394894762e-20
"Tff1",25.6409458936339,5.32376237945673,0.546969552152358,9.73319695494459,2.17643041096508e-22,6.61357002753261e-20
"Tnip3",80.9745208439088,2.84893724677314,0.294360224232726,9.67840425519148,3.72484242035667e-22,1.10829582182362e-19
