"","baseMean","lgFC_LcDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Jaml",177.565562848575,-5.08502566328385,0.181734855525724,-27.9804644440597,2.80911526862916e-172,4.51256276752588e-168
"Zbp1",1053.17737887658,-3.97391061399544,0.147526184391797,-26.936984985944,8.10409719143308e-160,6.50921086415905e-156
"Phf11b",465.433710479392,-5.28196954172987,0.198265740199158,-26.6408585589429,2.28407391934751e-156,1.22304544801328e-152
"Nr4a1",608.731583635289,-4.20326615879035,0.159961970773002,-26.2766589988761,3.54527084554035e-152,1.423780771569e-148
"Irf7",1371.16191838475,-4.28599915805374,0.164119766393958,-26.1150698189852,2.45852921218881e-150,7.89876265292021e-147
"Samhd1",3243.00513699491,-3.28540462673859,0.126038941812378,-26.0665837041797,8.72732624294666e-150,2.33659614611159e-146
"Tpst1",214.651320948291,-3.80061266092913,0.151903069694219,-25.0199858935028,3.70557472716967e-138,8.50376463103622e-135
"Mx1",368.511199202753,-5.76281690214355,0.235072131096459,-24.5151004300839,1.01960984262603e-132,2.04737656399308e-129
"Xcl1",521.292007816097,-8.65802339011199,0.357875093852169,-24.1928637640496,2.64480696786737e-129,4.72068657020238e-126
"Oasl1",806.27872161581,-3.78749471997854,0.157974199616913,-23.9754005980927,5.02204908645297e-127,8.06741965247805e-124
"Ifi35",605.810279324651,-2.52933249205203,0.105717257282503,-23.9254456374424,1.66491478629372e-126,2.43138101154749e-123
"B4galt5",570.100195864007,-2.06676515319993,0.0875115543925464,-23.6170545426395,2.57484270374091e-123,3.44685609940784e-120
"Slfn8",158.098519749376,-3.47238386727272,0.153321769306398,-22.6476897767433,1.47020224994657e-113,1.8167176110109e-110
"Mx2",163.674386182253,-4.3702164232252,0.194006222449398,-22.5261662644097,2.30024834261856e-112,2.63937066970176e-109
"Sdc3",277.935572046199,-3.94476735769427,0.176871814482032,-22.302973310058,3.45747751891498e-110,3.70272792425668e-107
"Wars1",381.378777730597,-2.42862676465971,0.108980316201001,-22.2850038366598,5.16524909585992e-110,5.18591009224336e-107
"Isg20",601.910199861709,-4.37525460755773,0.201119378452285,-21.7545153591241,6.26044242201399e-105,5.91574982748428e-102
"Trafd1",502.947181625073,-2.98247485582025,0.138934435751594,-21.4667792019016,3.18330036895881e-102,2.84091872927524e-99
"Slco4a1",132.40187075802,3.84762859167975,0.186469736301046,20.634064636998,1.35746264111784e-94,1.14769894036405e-91
"Tor3a",562.732844585927,-2.70776926521002,0.131273183819046,-20.6269794518167,1.57165649921646e-94,1.26235450017066e-91
"Trbc2",7418.5889081189,-2.305543737081,0.111846254513148,-20.6135086697067,2.07622473882281e-94,1.58821305735474e-91
"Daxx",655.906716932377,-3.31362113807106,0.16083338511634,-20.6028190955139,2.58922862537054e-94,1.89060766536147e-91
"Parp9",420.570540052819,-2.81720495376981,0.137389337917495,-20.5052662489835,1.93209372301125e-93,1.34944145941099e-90
"Slc25a22",263.979483792015,-3.21539954512101,0.157069013791778,-20.4712531612605,3.88500988857482e-93,2.60036661875274e-90
"Rfc3",193.877778397693,-2.40178982958094,0.119044667627033,-20.1755347589843,1.6061710435809e-90,1.03206126576334e-87
"Svbp",244.866981141375,-2.06708962282227,0.104136538316951,-19.8498015800261,1.1063698737439e-87,6.83566371223921e-85
"Rnf213",927.414032025235,-3.39773119836495,0.173345564672431,-19.6009122286204,1.51876762204249e-85,9.03610484462611e-83
"Hmox1",1257.09666936416,3.98538727194615,0.203572026115928,19.5772835196748,2.41564017375229e-85,1.38588727682703e-82
"Dhx58",301.103189086997,-3.72099095440252,0.190553680187863,-19.5272584120867,6.44055111056379e-85,3.56762113931368e-82
"Ifit3",566.478251216407,-6.36949675858618,0.326577497031861,-19.5037833790636,1.01954165886601e-84,5.45930573600785e-82
"Cnp",502.678789152966,-2.86489035176555,0.147075275264311,-19.4790752328494,1.65237114199756e-84,8.56248065324155e-82
"Helz2",984.867108233821,-3.12655120947277,0.160741477657138,-19.4508054488694,2.8688915839691e-84,1.44018357515249e-81
"Rigi",399.400762004492,-2.72596994011955,0.140657128899816,-19.3802472824619,1.13301211950692e-83,5.51536566295731e-81
"Myc",366.149641374931,-2.14033314567535,0.111047450473573,-19.2740412908867,8.87292364020577e-83,4.19219545165487e-80
"Phf11a",138.467011469512,-7.04079512526923,0.366058968632496,-19.2340462291414,1.92043572346624e-82,8.81425127478907e-80
"Dbnl",668.592815408583,-1.88326825869741,0.0987211275723944,-19.0766485858498,3.94775200414094e-81,1.76157467207e-78
"Tap1",1510.1227876006,-1.97499648862388,0.104621612655651,-18.8775190755694,1.74596829050023e-79,7.58033368070155e-77
"Calhm6",93.6143186039496,-4.8372076582747,0.256428518784511,-18.8637663283452,2.26496029470531e-79,9.57482162477527e-77
"Rtp4",539.459799321767,-2.95896788667412,0.157376389482361,-18.8018539274328,7.29224107272839e-79,3.00365539980279e-76
"Bpgm",332.390962292147,-4.47423126524503,0.238196357546903,-18.7837938049242,1.02488680204198e-78,4.1159453970006e-76
"Rasa4",196.427488370366,-2.93712862196641,0.156832749558916,-18.7277761196366,2.93940675004341e-78,1.15167390323652e-75
"Oas3",492.462036999968,-4.24330521469595,0.227057051572937,-18.688277617015,6.16720811075155e-78,2.35881026407412e-75
"Usp18",559.184001713474,-4.00040045516929,0.214799484478323,-18.6238829431316,2.0574049878727e-77,7.68608226167141e-75
"Crybg1",186.309287937886,-2.68787535704412,0.144682098634101,-18.5778018318749,4.86008638264254e-77,1.77437335569931e-74
"Pck2",266.025101005587,2.02429760640513,0.108975081224606,18.5757843321347,5.04623726704689e-77,1.80139456572981e-74
"Rere",397.684756137267,-2.02735367492287,0.109934808329558,-18.4414172883747,6.11180234628628e-76,2.13434767153789e-73
"Gbp2",1182.21138319245,-4.07643668088962,0.221111231435857,-18.43613576035,6.73886425707624e-76,2.30325777501431e-73
"Ifit3b",134.935846054083,-6.22040934292048,0.33745393663481,-18.4333583568537,7.09394725554613e-76,2.37410768152277e-73
"Psmb10",846.061228481362,-2.14250509995191,0.116695531119803,-18.3597870406223,2.75686122496668e-75,9.03800381997241e-73
"Sp100",916.929234642636,-2.52951809085341,0.137832720317979,-18.3520871170346,3.1767197302313e-75,1.02061651492871e-72
"Mgat1",428.374348880118,-1.80097937233576,0.0984658558838044,-18.2903947380605,9.86978000485796e-75,3.10878717643212e-72
"Parp14",730.709635020864,-2.6200856476148,0.143564911628094,-18.2501811752035,2.06224230147021e-74,6.37074237131106e-72
"Cd63",1024.93686995306,2.6591676537122,0.146810578310944,18.1129158695915,2.52037914679802e-73,7.63912653097421e-71
"Hbb-bs",22293.6124264779,-5.87081688838829,0.329686446748409,-17.8072739910611,6.20596312304978e-71,1.84615910386429e-68
"Ppa1",507.781085774931,-2.57937851281568,0.145363504745069,-17.7443335405214,1.90648524443445e-70,5.56832344847182e-68
"Dop1b",139.566220179205,-2.70207291937532,0.154470646231686,-17.4924685387965,1.63518332546984e-68,4.69064016791919e-66
"Gzmb",218.543567803278,-3.69531804461075,0.212960009524466,-17.3521688549052,1.89935877532282e-67,5.35285953803259e-65
"Psmb8",2163.73667617027,-1.50699831815406,0.0868873168484718,-17.3442842156377,2.17875229658827e-67,6.03439256765414e-65
"Setdb2",133.643381271422,-3.43690191489331,0.198304049269571,-17.3314762232678,2.72249762425165e-67,7.41257658236925e-65
"Spry1",49.8387287129207,-5.33622263983132,0.308801002377636,-17.2804576369399,6.60220934110318e-67,1.76763151425803e-64
"Marchf5",412.972174165612,-2.01945996213314,0.117004874187881,-17.2596225255573,9.4728141129801e-67,2.49461124444119e-64
"Tbx21",58.7958691634586,-3.99903980787583,0.231764141102186,-17.2547823354288,1.03009156119283e-66,2.66893400629057e-64
"Zap70",93.3205662019228,-3.37031331620581,0.195499430925334,-17.2395044847625,1.34182004540988e-66,3.42142812848639e-64
"Trim25",262.768873377241,-1.97638643077966,0.114746828318496,-17.2238872284463,1.7577578568737e-66,4.41197222075298e-64
"Nlrc5",389.11784857478,-2.66987448773991,0.15602153843537,-17.1122174189166,1.20330052638719e-65,2.97381840859751e-63
"Hsh2d",167.493080509455,-2.71370418126227,0.160249034355227,-16.9342935024916,2.5135809143406e-64,6.1179036072678e-62
"Ncf1",1994.36970036984,1.13629080809032,0.0672650504761947,16.8927370164162,5.08866120691878e-64,1.22006348698423e-61
"Tap2",530.445510230787,-1.53700775144121,0.0910473770430741,-16.8814061575224,6.16585091174152e-64,1.45659160362082e-61
"Isg15",1870.77564816781,-3.51742936417334,0.208456386892729,-16.8736943808942,7.02612833673402e-64,1.63576413914921e-61
"Tmcc2",139.116276164071,-4.77984097636863,0.285118114718913,-16.764424039072,4.4429864410337e-63,1.01960191698236e-60
"Atf5",241.07897230472,3.30732213053288,0.19739630826044,16.7547314318021,5.22965370720727e-63,1.18322756552926e-60
"Alox15",692.917798798155,3.37387443764313,0.20157443808544,16.7376105308207,6.9731691844764e-63,1.55579152471429e-60
"Ifi27l2a",4508.36229060234,-2.79851502722778,0.167613882768738,-16.6962007024739,1.39680657695287e-62,3.07373984276313e-60
"Pkib",535.058303664534,-3.14408837637004,0.188382053040256,-16.6899570613458,1.55082275028901e-62,3.36654279197874e-60
"Plaat3",160.342760793698,-3.1731059078755,0.190287562306774,-16.6753195501026,1.98149006056723e-62,4.24408751106026e-60
"Gpr171",152.336772598812,-2.56944156045579,0.154194284652078,-16.6636627696899,2.40814335617654e-62,5.09005458863421e-60
"Fcgr2b",342.977366424195,2.30276176610915,0.138679649870813,16.6049003458999,6.42267238248589e-62,1.33991959937991e-59
"Lta",70.6469294489365,-3.17642320464102,0.194309487898184,-16.3472367664591,4.55157220606735e-60,9.37390460490589e-58
"Sqstm1",1627.28575388162,2.21531365117623,0.135550888959925,16.3430403752732,4.87596560627536e-60,9.91487487331739e-58
"Pml",600.509989979649,-2.24682599503565,0.137496909717314,-16.3409199498011,5.04853906910553e-60,1.01374664507639e-57
"Phyh",131.866221518241,-2.9960275279145,0.18492612750517,-16.2012127130642,4.94423448522941e-59,9.80545466305249e-57
"Ehd4",160.939542408301,-2.28131850512169,0.141223791528597,-16.1539247773257,1.06560426216564e-58,2.08754473993034e-56
"Mat2a",637.858814747876,-1.48053928583548,0.0918931200527061,-16.1115357165618,2.11700215527681e-58,4.09729188221285e-56
"Trac",687.554729403781,-2.9528621872716,0.183707189655121,-16.0737431823713,3.89819364494855e-58,7.45483127529209e-56
"Irf1",1287.80084379601,-2.14578656071017,0.13380169103521,-16.0370660797217,7.04026647727175e-58,1.33052753753992e-55
"Rnase6",155.198803156762,-2.95160387883549,0.184779361549359,-15.9736663991398,1.94980009712537e-57,3.64204520467697e-55
"Tapbp",1527.079466929,-2.22479373959929,0.139391672725664,-15.9607363631965,2.39884386098113e-57,4.42931353825298e-55
"Psme1",2048.45421212264,-1.6894862562348,0.105958703057455,-15.9447615673316,3.09820362451069e-57,5.65562988910679e-55
"Il12rb1",77.5588458675613,-3.24657196342404,0.20383638230819,-15.9273429338801,4.09387236386469e-57,7.38920962394634e-55
"Tagap",200.915217748912,-2.35471640200607,0.148434618591275,-15.8636605419518,1.13104841897166e-56,2.01879575581786e-54
"Phf11d",64.24071386709,-5.37973081036304,0.339811171045232,-15.8315301813516,1.88578765474688e-56,3.32893328415977e-54
"Tdrd7",158.336015072163,-1.81878775545562,0.114969821596065,-15.8196971188296,2.27584844130425e-56,3.97382927838167e-54
"Eif2ak2",246.632502868967,-2.73215532734525,0.172876331271018,-15.8041028940049,2.91510472433011e-56,5.0352948700687e-54
"Xaf1",237.204874694651,-2.85091265876383,0.181133225984399,-15.7393136641279,8.13209143561661e-56,1.38972251938027e-53
"Znfx1",261.950794467931,-2.71931347268012,0.173457965952274,-15.6770746027791,2.17021671215288e-55,3.6697222383183e-53
"Slfn9",97.4077384024215,-3.6036934946232,0.230690624051414,-15.6213262218236,5.2110349480619e-55,8.71979847975691e-53
"Tor1aip1",599.984801047305,-1.89862378211147,0.121570940130106,-15.6174146558343,5.54071247993256e-55,9.17587683274605e-53
"Rnf114",1022.6723870674,-1.5488160151833,0.0995430689219285,-15.5592552244701,1.3769178648316e-54,2.25702128374029e-52
"Uba7",382.127821044995,-2.38275431885789,0.153170322387203,-15.5562401496712,1.44332224766811e-54,2.34197258449904e-52
"Lgals9",785.265447010852,-2.32272400832343,0.149490995184004,-15.5375513117995,1.93226585807909e-54,3.10399187441825e-52
"Sesn2",156.50086314941,1.98344941695696,0.127672520967517,15.5354449174039,1.9968157823677e-54,3.17592561662918e-52
"Epsti1",675.933955986439,-2.27836250944336,0.147133061094188,-15.4850479729015,4.37735926198696e-54,6.89391168476064e-52
"Rilpl1",48.343698476566,-3.80083512630226,0.245865306787219,-15.4590136199722,6.55952927514831e-54,1.02303182792216e-51
"Tarm1",146.094032013775,4.42148924643886,0.286626485666983,15.4259618965428,1.09511273399436e-53,1.69152797681591e-51
"Gm12250",85.1028626222644,-3.86334179294237,0.250932802298473,-15.3959217669243,1.74322560847876e-53,2.66696915948599e-51
"Capn5",56.30165719207,-3.34327402650966,0.217691427668354,-15.3578579658315,3.13771539853604e-53,4.75511888321538e-51
"Mrpl30",534.370643395029,-1.31009403739695,0.0853103767766609,-15.3567958189509,3.18953545135381e-53,4.78847640098575e-51
"Parp12",123.082381870911,-3.08274807309034,0.201276380733616,-15.3159951597613,5.97897143608752e-53,8.89316640271388e-51
"Egr1",461.185402467258,-2.33964188993196,0.152859853491001,-15.3057970192919,6.99399362572648e-53,1.03074783122633e-50
"Tmem106a",89.1554080768852,-3.08741150728723,0.202156266077909,-15.2724007382357,1.16792853512613e-52,1.70560036256965e-50
"Ccpg1",129.236384919566,2.75779216658136,0.180778696681536,15.2550727337058,1.5232519552046e-52,2.18477851860775e-50
"Cd3g",168.720765178919,-2.80220324387295,0.183689327565484,-15.2551227717571,1.52208469622583e-52,2.18477851860775e-50
"Slc39a4",104.814970202379,2.9701722737702,0.19599966572514,15.1539660171432,7.13291512870344e-52,1.01401016484506e-49
"Hivep2",101.482742343541,-2.44748794829501,0.161828858468872,-15.1239276569808,1.12620241570849e-51,1.58695750929309e-49
"Nfkbid",262.540940099231,-2.1844997571372,0.144465287204188,-15.121277916747,1.17245045575168e-51,1.63776035836479e-49
"Igtp",985.105339718453,-3.25196922651384,0.215331005610403,-15.102187524251,1.56648981260156e-51,2.16931830600271e-49
"Aida",198.151015798907,-2.27665411000343,0.150859458744561,-15.091225495236,1.84974491710861e-51,2.5396839614045e-49
"Etnk1",527.243472508675,-1.78366586439428,0.11824568478149,-15.0844055551826,2.05113618044037e-51,2.7923264069995e-49
"Lif",56.9465176340736,-4.73522986057686,0.314257545364064,-15.0679909852002,2.62989148066602e-51,3.55013249961504e-49
"Gpr84",162.409848604667,3.87447749647336,0.257340629254028,15.055832837996,3.16093469200939e-51,4.23143790770324e-49
"Mindy1",138.225836115065,2.72561909665379,0.18122109460762,15.0402970611965,3.99752187438312e-51,5.30712325537937e-49
"Wdr43",359.201871745233,-1.44720416700396,0.0963012782821129,-15.0278811747898,4.82183653025709e-51,6.34901491984015e-49
"Themis2",405.247560634223,-2.74341225966123,0.182611616344521,-15.023207803415,5.17419183648219e-51,6.75757867164634e-49
"Ccnd2",916.427667979685,-2.47230094790811,0.164686149634538,-15.0121971604443,6.10900881007126e-51,7.91412238104715e-49
"Trim30b",82.5414391683719,-3.65132193301129,0.24398624643853,-14.9652777003199,1.23806040011815e-50,1.59105618139984e-48
"Rflnb",186.537695189382,2.65519718241199,0.177662729074939,14.9451558930631,1.67498741419568e-50,2.13547601759043e-48
"Gstm1",511.073919625027,4.13452819772563,0.276940457366296,14.9293037104257,2.12473118480727e-50,2.68753399627906e-48
