"","baseMean","lgFC_LcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Egr1",461.185402467258,-4.17528229004555,0.148337284813363,-28.1472206754954,2.59164313540771e-174,4.25262722089051e-170
"Ccl5",4015.70752222674,-4.77285671778085,0.174878409500135,-27.2924298169418,5.21664172203369e-164,4.27999370084254e-160
"Slco4a1",132.40187075802,3.45948798461231,0.161628979200929,21.4038843882795,1.22927694662155e-101,6.72373513903769e-98
"Pck2",266.025101005587,2.23507657087056,0.105409586777176,21.2037314556147,8.8217033389766e-100,3.61888325223167e-96
"Cxcl16",374.830025985368,-2.63068091955276,0.129551534370064,-20.3060576035959,1.13670586599273e-91,3.73044131101494e-88
"Id2",886.285344756787,-2.15861983784227,0.10645622141301,-20.2770660952509,2.04999911830433e-91,5.60640592204262e-88
"Nars",617.089567330483,1.85408496096347,0.0914770840617058,20.268299760329,2.44975209382996e-91,5.74256887252227e-88
"Gars",568.846507783794,1.81122537128348,0.0953982432417627,18.9859405135312,2.22909028380585e-80,4.57214280837127e-77
"Gclm",953.656910605191,3.24726897754989,0.172134399933719,18.8647299947033,2.22404494753523e-79,4.05492817156728e-76
"Vdr",65.6303059579285,-5.14615435942188,0.279239451598102,-18.4291808695733,7.66346056507949e-76,1.25749724412389e-72
"Phf10",170.519306008907,2.16298523555023,0.118606080886463,18.2367145038776,2.63848845129324e-74,3.93590518157007e-71
"Slc7a5",231.648462232209,3.71318841244645,0.207248872499283,17.9165674952432,8.75673185082001e-72,1.19741010783421e-68
"Cx3cl1",101.820510257849,-3.40007897120933,0.19030407370775,-17.8665590544889,2.1484458881415e-71,2.71183450603953e-68
"Sqstm1",1627.28575388162,2.40820922276976,0.135141329950908,17.8199313536767,4.94972124033453e-71,5.80142684518924e-68
"Slc6a9",100.058659935011,5.17428463266424,0.291239552730019,17.766421436105,1.28639816725038e-70,1.4072338350941e-67
"Chac1",62.1999184092056,4.97274777134611,0.281725470885821,17.6510407657158,9.98981471629121e-70,9.64252174586014e-67
"Tmem176a",182.831314378615,-2.21561410250251,0.125511611401027,-17.6526623933089,9.70702673697415e-70,9.64252174586014e-67
"Trib3",97.4667183627537,5.85951913519907,0.332799548563568,17.6067520538714,2.18636081392363e-69,1.99311081087072e-66
