"","baseMean","lgFC_PMoDC_vs_CD3_CD28","lfcSE","stat","pvalue","padj"
"Myc",366.149641374931,-2.89051449852021,0.114086909588671,-25.3360750058151,1.2796381288985e-141,2.09975820570955e-137
"Fscn1",1116.12982100654,4.22051116770803,0.18578300721106,22.7174230359684,3.01377668601246e-114,2.47265308203893e-110
"Jaml",177.565562848575,-2.83959038834719,0.127251420727397,-22.3148030262882,2.65409387547858e-110,1.45170088009093e-106
"Tmem176a",182.831314378615,3.22884249688111,0.146095483730962,22.1009056161318,3.09791300385354e-108,1.27084136200582e-104
"Serpina3g",671.745598383982,-3.28736990698479,0.149324954945867,-22.0148729204474,2.07451562094737e-107,6.80814536482508e-104
"B4galt5",570.100195864007,-1.87698541485289,0.0856337421735104,-21.9187596759436,1.72082189766255e-106,4.70616108645747e-103
"Atad3a",219.350478821653,-2.12605608074005,0.101446474499665,-20.9574171130716,1.60566827073741e-97,3.76391580779003e-94
"Ccl5",4015.70752222674,3.54485781468249,0.173985874464903,20.3744000803788,2.82151519670233e-92,5.78728035783608e-89
"Xcl1",521.292007816097,-5.5657178537251,0.276249621760974,-20.1474225312817,2.83495132363239e-90,5.16874625216488e-87
"Cx3cl1",101.820510257849,5.94487184604468,0.297940644677238,19.9532086415561,1.4057109100086e-88,2.30663103223311e-85
"Mettl1",144.796673222678,-2.3414876004139,0.119264037870049,-19.6328050117269,8.11107704511788e-86,1.20995148393945e-82
"Wars1",381.378777730597,-2.0525521919533,0.105803680375434,-19.3996294332109,7.77296519983023e-84,1.06288821636679e-80
"Rfc3",193.877778397693,-2.20951628503306,0.114196039780499,-19.3484492919375,2.10067871075116e-83,2.65154130497814e-80
"Ppa1",507.781085774931,-2.7317917928751,0.144973247286765,-18.8434200378466,3.32753269707351e-79,3.90010600187709e-76
"Tmem176b",289.535657618823,3.14489706784604,0.16818341143321,18.6992108261221,5.02427953640623e-78,5.49622686085932e-75
"Slc25a22",263.979483792015,-2.83007436567937,0.151972858680381,-18.6222355113513,2.12169151013469e-77,2.17592724936251e-74
"Spry1",49.8387287129207,-4.33968730485191,0.235130970313133,-18.4564683209216,4.62619621256561e-76,4.46536786188171e-73
"Tbx21",58.7958691634586,-4.08003439979833,0.222989703518558,-18.2969632024233,8.74917354120098e-75,7.97584381319816e-72
"Ifi35",605.810279324651,-1.84972602297445,0.101948123520648,-18.1437966594825,1.43748943517475e-73,1.24146127062013e-70
"Timm10",151.163400918772,-2.09938539034268,0.115957889776392,-18.1047222779842,2.92482707437327e-73,2.39967437316955e-70
"Adam8",565.581084925958,1.93006621820081,0.108861215301492,17.7296038157895,2.47774106159696e-70,1.93605967046403e-67
"Ccl22",1666.8993755889,3.77274923749136,0.215701806594898,17.490577835432,1.69034661021073e-68,1.26076806940672e-65
"Gzmb",218.543567803278,-3.67751296911263,0.210361389471749,-17.4818819097338,1.96892293339761e-68,1.4046981049618e-65
"Gar1",342.207730384747,-1.85025259758005,0.106185667352838,-17.4246924627969,5.35958233381377e-68,3.66439110481459e-65
"Zmynd15",72.0869779442995,3.37299038737117,0.193690373919507,17.4143418648823,6.42231605809998e-68,4.2153513678945e-65
"Vdr",65.6303059579285,4.42651557714818,0.255035720788689,17.3564532978335,1.76282479478373e-67,1.11254584836947e-64
"Prex1",360.376877157902,1.80926431745692,0.104593937652333,17.2979845492658,4.87134755144429e-67,2.96051636932035e-64
"Tagap",200.915217748912,-2.54796822855463,0.147477238215938,-17.2770270136458,7.00678128537274e-67,4.10622407541719e-64
"Tor3a",562.732844585927,-2.21289271527917,0.128605443737215,-17.2068355037978,2.35979458338642e-66,1.33523687306165e-63
"Lta",70.6469294489365,-3.24617939454155,0.188817432403972,-17.1921593955181,3.0399585320859e-66,1.66275598509992e-63
"Ipo4",173.025100517957,-2.06858234427368,0.120444726313702,-17.1745364665116,4.11930123210198e-66,2.18043915863101e-63
"Wdr43",359.201871745233,-1.64566049203231,0.0958624521280619,-17.1668933508386,4.69906456832188e-66,2.4095922031748e-63
"Nfkbid",262.540940099231,-2.47369020955991,0.144551550385169,-17.1128583745284,1.19013011197898e-65,5.91783182044335e-63
"C1qbp",709.358707429359,-1.3283103729169,0.0795231076718477,-16.7034515099457,1.2369767100807e-62,5.96986789285714e-60
"Rrp15",163.51949497667,-2.08893017170688,0.125422609416759,-16.6551324471787,2.77728688617063e-62,1.30207144329068e-59
"Oasl1",806.27872161581,-2.53717010573081,0.153526831162422,-16.525906817204,2.38820809908465e-61,1.08855851938555e-58
"Trmt61a",73.8586248814349,-2.80691196590775,0.170601182227933,-16.4530628056114,7.97322662164171e-61,3.5360182603924e-58
"Nop2",250.470886966854,-1.7920929831711,0.109106680619009,-16.4251443908273,1.26382625261355e-60,5.45740131029888e-58
"Id2",886.285344756787,1.73470327288943,0.106083358701887,16.3522657475831,4.19102273822287e-60,1.7633459515769e-57
"Rrp9",129.478428861401,-2.14401534367399,0.131554188990017,-16.2975832250898,1.02672354748316e-59,4.21187667266278e-57
"Tpst1",214.651320948291,-2.11584842963477,0.129934662517945,-16.2839413951036,1.28330620653869e-59,5.13604183977886e-57
"Rogdi",257.058054343569,2.23715354213666,0.13785521262378,16.2282840057855,3.18232119268914e-59,1.24330258216277e-56
"Ssh1",157.28377144521,2.60623008246833,0.16162063851552,16.1256019429601,1.68608199578697e-58,6.43416731834148e-56
"Ccl17",658.516682620954,6.82973156468891,0.423995878945911,16.1080140252028,2.24106593824026e-58,8.35764795013284e-56
"Cxcl16",374.830025985368,2.05453928423096,0.127999893407097,16.0511015247224,5.61584478880727e-58,2.04778660310086e-55
"Tmcc2",139.116276164071,-4.16340374915311,0.259979788814302,-16.0143362226012,1.01483935351239e-57,3.62010846777931e-55
"Isg20",601.910199861709,-3.08307442013712,0.193241194845375,-15.9545402449208,2.64917323637539e-57,9.2489965182306e-55
"Nsun2",309.972398893696,-1.57034546084706,0.0986555664651862,-15.9174542006325,4.7949338612881e-57,1.63916811937242e-54
"Vegfa",193.740303520178,3.07071338998826,0.194906410258106,15.7548096336177,6.3650741365377e-56,2.13152043890708e-53
"Cct3",727.162495784192,-1.42742778339491,0.0924041369221127,-15.4476610132519,7.8231173630025e-54,2.56739065619016e-51
"Nolc1",379.413665156002,-1.76356454326167,0.116027106974559,-15.1995907615655,3.55837044817426e-52,1.14488824870767e-49
"Tbc1d10c",414.230544942243,1.54303835653361,0.101878974605838,15.1457978695163,8.07684264153595e-52,2.50062096047101e-49
