"","baseMean","lgFC_PMoDC_vs_Naive","lfcSE","stat","pvalue","padj"
"Ccl22",1666.8993755889,6.42969739949855,0.230653979905604,27.8759438797888,5.22308952744788e-171,8.21017442819533e-167
"Csf2rb2",982.953798593642,3.60175102772786,0.142736430815508,25.2335791721124,1.715359599887e-140,1.34818687753119e-136
"Cxcl16",374.830025985368,3.43881186055198,0.140002351653748,24.5625292713426,3.17793350099342e-133,1.66513122340385e-129
"Adgre5",599.742436842698,-2.14183595819929,0.0978591020074193,-21.8869365676062,3.45998986233823e-106,1.35968951615237e-102
"C1qa",287.605162439698,-4.803012422113,0.222486362050402,-21.5878958955018,2.333995218413e-103,7.33761416764678e-100
"Nrgn",102.835931568358,-3.6512053613091,0.172313712779482,-21.1892907558769,1.1988953735834e-99,3.14090606289292e-96
"Csf2rb",1314.14042336856,2.91107633516612,0.140613162728488,20.7027299484555,3.2729559702642e-95,7.34965641379758e-92
"Nr4a1",608.731583635289,-2.63892133126238,0.141312087859738,-18.6744203643901,7.99531697204952e-78,1.57097984354558e-74
"Tnfrsf9",252.130163509789,4.23606926450725,0.228292908880186,18.5554132420751,7.37381585950309e-77,1.28787790550588e-73
"Fscn1",1116.12982100654,3.35006095197057,0.182691417549591,18.3372650828614,4.17267698134453e-75,6.55903094697546e-72
"Ccl17",658.516682620954,8.30375418455723,0.460049728908099,18.0496882462374,7.93372677576846e-73,1.13372955625731e-69
"Vegfa",193.740303520178,3.78590800883767,0.210206872634713,18.0103911988483,1.61483283263867e-72,2.11529644135394e-69
"Cx3cl1",101.820510257849,6.86883955383003,0.388820757607581,17.6658252406432,7.6880211614437e-70,9.29600035667182e-67
"Bpgm",332.390962292147,-3.79138865785448,0.218670554826618,-17.3383593454575,2.41533230683163e-67,2.71190060936331e-64
"Plbd1",286.7259262304,-2.55059116008785,0.14812451229389,-17.2192375224654,1.90481036185234e-66,1.9961142718638e-63
"Ccl5",4015.70752222674,2.9629566329356,0.173726029572904,17.0553407582034,3.1900716428254e-65,3.13404600959828e-62
"Ttc39c",119.242999010764,3.6103427868259,0.211834010791637,17.0432631348187,3.92223649180798e-65,3.62668443616056e-62
"Adam8",565.581084925958,1.85838971745715,0.109147036045126,17.0264790029554,5.22552959904814e-65,4.56333887596876e-62
"Ramp3",132.240169853352,3.88753382309807,0.234764146185023,16.5593166003902,1.37142883573246e-61,1.13460472994098e-58
"Cd5l",47.849184090249,-5.89878278895312,0.357422329634692,-16.5036773023724,3.45214401941878e-61,2.71321259206219e-58
"Tsc22d3",284.350619668027,-3.71347742511739,0.225368995000689,-16.4773216702059,5.33986151563857e-61,3.99701348401537e-58
"Axl",206.738186688655,-2.34813404314423,0.143184170988106,-16.3993968532966,1.93146105972716e-60,1.38002892717506e-57
"Zmynd15",72.0869779442995,2.91606873302475,0.179960244520826,16.2039607180423,4.72812644503117e-59,3.2313660691063e-56
"Id2",886.285344756787,1.71397093982571,0.106365929322825,16.1139093198136,2.03726780903008e-58,1.33432552875599e-55
"Gm26532",38.2561553037859,-4.61405963370672,0.286757497724086,-16.0904585593305,2.97624788468725e-58,1.87134561997595e-55
"Rbpj",179.261639141751,2.02677105326745,0.127402803998977,15.9083708493867,5.54373733906093e-57,3.35161566279611e-54
"Socs2",405.771734621048,4.03638988037759,0.254977731350448,15.8303623575263,1.92111651445227e-56,1.11844557372871e-53
