"","baseMean","lgFC_PcDC_vs_PMoDC","lfcSE","stat","pvalue","padj"
"Ccl5",4015.70752222674,-4.14951818565505,0.174505240838477,-23.7787596849075,5.5405049796781e-125,8.13512346166136e-121
"Rnf19b",897.164439997086,-2.07346482827856,0.101688590705542,-20.3903389150378,2.03729827660856e-92,1.49568252977217e-88
"Cx3cl1",101.820510257849,-4.10435931443633,0.211877217384271,-19.3714046517444,1.34536712014225e-83,6.5846751416829e-80
"Cxcl16",374.830025985368,-2.46876533414385,0.13036861697886,-18.9368069659293,5.67352231510176e-80,2.08260820381598e-76
"Tmem176a",182.831314378615,-2.02140313238922,0.126594828126397,-15.9675016926519,2.15235771049632e-57,6.32061365264349e-54
"Ttc39c",119.242999010764,-3.02785471039988,0.195298709879546,-15.5037107632066,3.27422966569449e-54,8.0125856968987e-51
"Anxa5",533.116331830759,-1.37841949835389,0.0940438811378194,-14.6571949357751,1.2117653632289e-48,2.54176440404142e-45
"Ccl22",1666.8993755889,-3.11717510593345,0.214742269582198,-14.5158897314358,9.61025797432342e-48,1.76384272296238e-44
"Clu",69.4113968681561,-3.87659550173175,0.274512451609451,-14.1217474070975,2.78986679458167e-45,4.5515126827603e-42
"Txndc17",503.873505357793,-1.30998781179611,0.0954246378162725,-13.7279830636436,6.90284895230127e-43,1.0135453116664e-39
"Ccl17",658.516682620954,-5.5988913852167,0.413077562971769,-13.5540922264987,7.49334202761318e-42,1.00022491810404e-38
"Il12b",70.6955415233739,-5.91766804580368,0.451621035173543,-13.1031718740242,3.15779654028957e-39,3.85663607050113e-36
"Kdm4a",237.943183998636,-2.5097955512396,0.191627846121001,-13.0972382252568,3.41457937182556e-39,3.85663607050113e-36
"Id2",886.285344756787,-1.36581978304198,0.105265043437808,-12.9750555211515,1.6947349855271e-38,1.77741384232103e-35
"Vdr",65.6303059579285,-2.5467626026149,0.1988098861649,-12.8100400424883,1.44060204659062e-37,1.41015732333934e-34
"Aif1",117.017293241684,-2.89288096194615,0.226623311509265,-12.7651517519542,2.56649988926275e-37,2.35524486712781e-34
"Mx1",368.511199202753,-2.79500491086536,0.219428876633403,-12.737634871708,3.65301849946546e-37,3.15513356633243e-34
"Glipr2",458.512542312734,-1.16050508923232,0.0921382610061336,-12.5952571337879,2.24228033824394e-36,1.82907790035754e-33
"Icam1",334.740345896839,-1.52462324371506,0.124212760123066,-12.2742884241886,1.24481397469071e-34,9.61979136335986e-32
"Ifng",192.535300580715,-3.32415952482206,0.271771385983971,-12.2314551724666,2.1112224260897e-34,1.54995394411375e-31
"Zmynd15",72.0869779442995,-1.78200513673241,0.148478238365551,-12.0017933695115,3.47680154849998e-33,2.43094653031549e-30
"Tmem176b",289.535657618823,-1.86551287097047,0.156742271429138,-11.9017853573333,1.15841974509529e-32,7.73139868965188e-30
"Dnajc1",131.607122679272,-1.41211429788525,0.120262129942793,-11.7419698001106,7.7656384590244e-32,4.95751606495023e-29
"Hopx",122.413794843176,-1.73233273273758,0.147785615308563,-11.7219306433893,9.84034907819511e-32,6.02024356313079e-29
"Npr1",25.875134883447,-3.66911892145218,0.317423814289906,-11.5590537202138,6.64368533552909e-31,3.90196927126295e-28
