"","baseMean","lgFC_LMoDC_vs_LcDC","lfcSE","stat","pvalue","padj"
"Irf7",912.245497342508,2.8689969021616,0.185525912294031,15.4641304100673,6.05858940482504e-54,2.30206202085335e-50
"Isg15",1487.55506424504,3.41471931473553,0.220619334200243,15.4778787956825,4.89343389138059e-54,2.30206202085335e-50
"Isg20",348.543884323486,3.3266573966094,0.214984545631385,15.4739373792632,5.20252393362751e-54,2.30206202085335e-50
"Oasl1",507.732129798546,2.54951572481487,0.167056916077592,15.261359928557,1.38334921684559e-52,3.94219943070572e-49
"Mx1",190.283145932946,3.39120413744943,0.227502963707697,14.9061976256562,3.00377967150266e-50,6.84801689509176e-47
"Dhx58",214.579685436124,2.81309127195555,0.192920012851755,14.5816456798456,3.67548493765315e-48,6.98280880071805e-45
"Usp18",381.808313459656,3.19853767267448,0.223751871450278,14.2950208726422,2.35035319956703e-46,3.82738230312351e-43
"Mx2",100.384464756737,3.06022156763258,0.215932724324071,14.172106507765,1.36348282109632e-45,1.94279258470962e-42
"Zbp1",683.198996037538,2.33773454554591,0.167650973344377,13.9440559092007,3.41942794188221e-44,4.33089545661281e-41
"Ifi35",453.72115026017,1.66191704130675,0.119636179416695,13.891425231144,7.14002927008778e-44,8.13891936497306e-41
"Ifit1",218.910727029789,3.68841535315708,0.269249879118952,13.6988561154658,1.03136292032939e-42,1.0687732662577e-39
"Rigi",317.671343390819,1.9410272562588,0.142572495165092,13.6143177827616,3.29205466321856e-42,3.12717759216903e-39
"Rnf213",693.820383630376,2.45410475765362,0.180762252712696,13.5764227366328,5.52601558025681e-42,4.84546550764211e-39
"Slfn8",113.171205455647,2.20719759189031,0.164030289263776,13.4560366978377,2.83731788150789e-41,2.31018475223632e-38
"Psmb8",2031.85208521072,1.24358235357638,0.0949670268484172,13.0948856128911,3.52204532223771e-39,2.67651964187918e-36
"Uba7",304.072805679977,1.58011886880616,0.121071743339329,13.0510953689462,6.26402467013049e-39,4.46272607592609e-36
"Oas3",341.110843581992,3.19558455498081,0.246379679149848,12.9701628235227,1.80646199491857e-38,1.21128589882804e-35
