"","T_PimedMoDC_1","T_PimedMoDC_4","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_1","T_PimedCD11c_4","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_2","T_PCD11_LMoDC_1","T_PCD11_LMoDC_4"
"Rara",-0.25,-0.6,-1.26,-0.53,0.68,-0.16,0.03,1.58,-1.26,-0.6,-1.08,-0.4,0.67,0.71,0.14,2.33
"Gfi1",-0.62,-1.55,-0.37,-0.98,0.98,0.82,0.34,0.27,-0.45,-0.65,-0.04,-0.56,2.86,0.19,0.09,-0.32
"Patz1",-1.43,-0.61,-1.21,-1.8,1.41,0.06,-0.04,1.05,-1.03,0.72,0.17,0.55,0.94,0.87,0.94,-0.59
"Cenps",-1.86,-0.46,-1.16,-1.25,0.75,0.94,0.65,0.77,-0.64,0.55,-1.2,0.41,1.15,-0.61,1.01,0.96
"Arid3a",-1.52,-1.18,-0.41,-0.93,0.88,0.6,-0.24,0.31,1.14,0.62,-0.17,1.89,-1.49,0.61,-0.79,0.68
"Klf5",-0.77,-1.42,-1.21,-1.26,0.18,0.74,0.71,0.66,0.88,0.39,1.04,1.83,-0.99,-0.05,-1.13,0.41
"Pparg",-1.07,-1.19,-0.44,-1.12,1.01,0.25,0.27,0.31,1.4,0.83,0.9,1.51,-0.5,-1.34,-1.3,0.48
"Ikzf2",-1.52,-1.5,-1.05,-0.84,0.72,-0.01,0.17,0.44,0.69,1.28,0.79,1.33,-0.63,1.06,0.39,-1.31
"Zfp704",-0.86,-1.5,-1.59,-1.06,-0.02,-0.49,-0.28,-0.15,1.26,1.31,1.56,1.05,-0.32,1.02,0.16,-0.08
"Tal1",-1.31,-1.48,-0.95,-0.98,1.13,0.27,-0.05,0.16,1.46,0.13,0.42,1.86,0.47,0.6,-0.95,-0.77
"E2f1",-1.9,-1.57,-0.83,-1.03,1.14,0.71,-0.33,-0.5,0.49,0.52,0.73,1.64,0.49,0.54,0.56,-0.66
"Cebpe",-2.15,-1.52,-0.98,-1.57,0.65,0.51,-0.06,0.19,0.85,0.17,0.51,1.06,0.59,1.07,0.21,0.48
