"","baseMean","lgFC_MoDC_Treatment_48H_Wash_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Ccl5",13361.9432783755,5.21184856347844,0.249978321409576,20.8492021791726,1.54985089096389e-96,1.96505594465311e-92
"Ly6e",3947.69325238168,2.05471685886874,0.20003085103091,10.2719997854292,9.42307758823144e-25,5.97376003705932e-21
"Flna",848.608571993293,-1.09652654509827,0.113484911422301,-9.66231132716727,4.35915942093093e-22,1.84232607659944e-18
"Irf7",1749.08474909638,4.05994033918723,0.436065403520862,9.31039313462297,1.27360057686269e-20,4.03699542851052e-17
"Ms4a6c",258.869828815183,3.49230626764625,0.381185006861198,9.16170941874928,5.10816312644852e-20,1.29532800560482e-16
"Psat1",105.544865347638,-2.16645216664362,0.244261173199915,-8.86940866721577,7.35353420228219e-19,1.5539243358456e-15
"Tnfrsf1b",1849.50872303771,1.08625094688801,0.127421195758706,8.5248842660762,1.52962681834596e-17,2.77059120425834e-14
"Aoah",206.195547512227,3.03132868789024,0.35874941694426,8.44971042381158,2.92026222478721e-17,4.62825059350963e-14
"Oasl2",547.53830910974,2.48701655212721,0.304877971691025,8.15741635360803,3.42266939757396e-16,4.82178058798225e-13
"H2-T22",697.360386663623,1.29905102775673,0.160864432882021,8.07543970089062,6.72339262165171e-16,8.52458950499221e-13
"Slpi",2089.77695305315,3.19058829565504,0.407906212214453,7.82186738057724,5.20454247408968e-15,5.99894491172573e-12
"Lox",78.8361305915575,2.76959918078218,0.355834484448779,7.7833917223412,7.06055836229623e-15,7.46006828962949e-12
"Ppp1r1a",11.0848261549289,-4.6236977142433,0.609567983849231,-7.58520433610391,3.31963483143052e-14,3.23766538674674e-11
"Fyb",289.500228850798,1.77072686692125,0.238587389716711,7.42171188939928,1.15616101991156e-13,1.0470689693899e-10
"H2-K1",8247.83977615739,1.20098586899979,0.166826575429377,7.19900810712387,6.0652145263775e-13,5.12672366532935e-10
"Rtp4",870.825638434273,3.4479691781327,0.481873132517946,7.15534638778451,8.34619024785898e-13,6.61383413453775e-10
"Vsig8",27.74254259646,-3.09825349549768,0.434169077341242,-7.13605288168084,9.6049070869823e-13,7.16356570328521e-10
"Ly6i",97.1465297255831,4.31894252683946,0.606010598652143,7.12684322096912,1.02696952285853e-12,7.23385921129075e-10
"Il18bp",130.914784606051,1.84780248206152,0.27317817758509,6.76409257282627,1.34147293865365e-11,8.95186073115241e-09
"Il2rg",1024.69474985563,1.32496850160107,0.197036087898039,6.72449659215067,1.76200543370372e-11,1.11702334469648e-08
"Lmo4",498.728212302793,1.53967205654586,0.230734149846313,6.67292664554166,2.50751746310325e-11,1.51394351974696e-08
"Vwf",53.0824907970983,-1.64889689389952,0.248276715762687,-6.64136743082906,3.10786208197381e-11,1.79111742442482e-08
"Srsf5",779.733592567338,-0.631700117613938,0.097599769154121,-6.47235257919937,9.64886452410138e-11,5.3190414478731e-08
"Zfas1",315.688190711684,1.28751700190664,0.200287814725428,6.42833416337226,1.29009893519071e-10,6.81548516636795e-08
"Lrrk2",122.989425082654,1.51855617564179,0.23764897239561,6.38991265282593,1.65980538214826e-10,8.41786897610313e-08
"Saa3",8709.78460537256,4.98025650508566,0.783445985817692,6.35686007107141,2.05919408754932e-10,1.00417391677069e-07
"Clec4a1",103.419059568663,2.9703343526993,0.469202799751808,6.33059810016162,2.44212691014094e-10,1.10584739620275e-07
"Lgals3bp",1863.75105145172,1.73808645552901,0.274540369364334,6.33089574241247,2.43742006238969e-10,1.10584739620275e-07
"Osbpl3",132.422571651137,1.66236908895952,0.266626621981833,6.23482035140809,4.52296843279956e-10,1.97747299170571e-07
"Ifnar2",351.865960014503,0.944293692740713,0.152267171183574,6.20155799441672,5.59069107952905e-10,2.36281240657829e-07
"Slc6a12",481.77436314817,1.89541137118699,0.305979782113551,6.19456409209283,5.84465549451425e-10,2.39046409725633e-07
"Nupr1",88.7072060853039,2.47533754660124,0.40204159980199,6.15691895520355,7.41737818123687e-10,2.93890431124694e-07
"Ifi211",362.965154386127,2.21007325387908,0.363638261123978,6.0776697343341,1.21941578710815e-09,4.68514326204372e-07
"Cdt1",104.238506811056,-1.19173959778245,0.19674147619705,-6.05738871547778,1.38348989005766e-09,5.15919656354151e-07
"Cflar",949.916760494788,0.906757388692451,0.151465120081585,5.98657557729486,2.14305032135646e-09,7.76335286413674e-07
"Ighm",4194.03454341775,-1.48824543842106,0.249946009598522,-5.95426764688729,2.61238981521653e-09,9.2006917964251e-07
"St3gal1",601.506164699423,1.27205078113661,0.21575815732001,5.89572508839106,3.73039605312268e-09,1.27831598804169e-06
"Chn2",7.38530702303935,-3.13539274734562,0.534512333261824,-5.86589410989286,4.46718832340079e-09,1.46640347389577e-06
"Orm1",19.78474778651,4.91730068554007,0.838515956492252,5.86428993684333,4.51058722942936e-09,1.46640347389577e-06
"Slco3a1",502.087553135155,1.66469559548415,0.285198805730984,5.83696552030581,5.31600914707857e-09,1.68504199939523e-06
"Clmp",167.894681926361,1.54724451561431,0.266690536049963,5.80164762698757,6.56664462372544e-09,2.0306948093711e-06
"Phf11d",444.803154445846,2.38936356513997,0.41434518184262,5.76660154346266,8.08859824675147e-09,2.44179374215624e-06
"Cxcl16",1289.01069451261,1.11734262966953,0.194033716146037,5.75849729553487,8.48660265224597e-09,2.50236360529829e-06
"Smpdl3b",76.1929757922952,3.29840457485602,0.573280493742196,5.75356149539481,8.73826409309709e-09,2.51801023719041e-06
"Csrp1",340.632747930662,-1.24300014909663,0.216655902250155,-5.73720880062358,9.62495686876389e-09,2.71188506975683e-06
"Mefv",57.9684735044023,2.76452653739629,0.484325652528805,5.70799114802591,1.14317364182775e-08,3.15093447929001e-06
"Ddit3",175.543463731902,1.5083250886444,0.267216742621362,5.6445755376251,1.65589267747175e-08,4.37397151201339e-06
"Irak3",153.083121590494,2.092647524416,0.370542866661981,5.64751804094227,1.62780758144932e-08,4.37397151201339e-06
"Lst1",191.050197305141,1.59016529925456,0.282273819703005,5.63341404076245,1.76676598897947e-08,4.57159713760628e-06
"H2-D1",8268.53646514439,0.830982875271106,0.147944050704741,5.61687253602065,1.94444753216744e-08,4.93073005207019e-06
"Sod2",3082.17163187432,1.82426021779399,0.327530721707933,5.56973772805569,2.55123075995485e-08,6.34255976577795e-06
"Ell2",285.598051625153,1.4164920946448,0.255139703793076,5.55182934520298,2.82695503166135e-08,6.89287747046813e-06
"Milr1",330.271388649669,0.967134591227774,0.174645257397317,5.53770887134684,3.06454112286114e-08,7.33119186731253e-06
"Aga",192.399097518132,0.983911793804786,0.177863109617817,5.53184859929058,3.16873360718802e-08,7.44006914917349e-06
"Cenpa",94.495174555204,-1.37280874109994,0.250864201572742,-5.47231822034947,4.44186293136042e-08,1.01483941362994e-05
"Pilrb1",69.1589049547262,2.3755182105519,0.434224632526534,5.47071269708944,4.48229412124588e-08,1.01483941362994e-05
"Mmp2",36.0809830400356,2.76748836596776,0.506599923967223,5.46286770889214,4.68503744875908e-08,1.02416534160028e-05
"Slfn1",317.184233627522,2.29466978479146,0.420030538404556,5.46310226277245,4.678848798389e-08,1.02416534160028e-05
"Slc7a1",129.191134954115,-1.57961346240049,0.291115653789832,-5.42606844337158,5.76088758186038e-08,1.23800497712555e-05
"Nrgn",31.4457582351393,-3.32036988387792,0.612458386470525,-5.42138038636804,5.91405634814649e-08,1.24973867396915e-05
"Ly6a",550.262967783013,2.80443227886083,0.518782523257407,5.40579559475511,6.4521345577716e-08,1.34109203373748e-05
"Rbpj",375.374520750752,1.00025259228913,0.186561918692186,5.36150463771479,8.25316034035402e-08,1.6877712896024e-05
"Usp18",967.351331371298,1.88005381066008,0.351496965228937,5.34870566929522,8.85854694369582e-08,1.78281772538285e-05
"Npc2",3860.55706049703,0.796919256861456,0.151174196917021,5.2715296202227,1.35291448071109e-07,2.68025042202123e-05
"H2-M3",168.714841811282,1.59657513386868,0.303564379880236,5.25942844314793,1.44503846904506e-07,2.81871426908035e-05
"Slc40a1",43.9636606090185,-1.8587650550463,0.353951911733428,-5.25146211513102,1.50896572471107e-07,2.85554871994203e-05
"Vmp1",514.256780486805,0.896213278159216,0.170601952795431,5.25324161578541,1.49445278651861e-07,2.85554871994203e-05
"P4ha1",220.908529248396,1.31588292871683,0.25167166347377,5.22857007640026,1.70826085284411e-07,3.18515284606037e-05
"Ms4a6b",133.571004606166,2.1223792912696,0.407935204803498,5.20273628330741,1.96375441495286e-07,3.60846988799816e-05
"Egln1",96.6782825764992,0.892791442224587,0.172085251067337,5.18807647190656,2.12477354079958e-07,3.81553101399216e-05
"Rigi",636.361014520053,1.59812846064135,0.30810025949322,5.18704029418878,2.13662514388708e-07,3.81553101399216e-05
"Bst2",1675.62941800237,1.41656126638299,0.274469833655378,5.16108181185992,2.45526843613271e-07,4.32365951412869e-05
"Tnip1",651.017298057223,0.761645847364969,0.148489893699956,5.12927734263168,2.90856564220018e-07,5.05174024348713e-05
"Ifi27l2a",1269.32010708981,2.18768444985999,0.426961258904864,5.12384766587794,2.99362874792145e-07,5.12921876958055e-05
"Cotl1",2142.41345408274,-0.810103458225001,0.158307325939517,-5.11728344482624,3.09967630266941e-07,5.24010611220605e-05
"Acsl1",846.121473823225,1.36780988961869,0.267624749966248,5.11092449331086,3.20586105070498e-07,5.2788457482972e-05
"Ankrd37",42.4930873904203,2.43108678880219,0.475660546565819,5.11097001076542,3.20508864552041e-07,5.2788457482972e-05
"Zfp36l1",434.576802763544,1.26563249287515,0.248142027778884,5.10043584395519,3.38872233730479e-07,5.50841160444711e-05
"Ankrd66",32.6707981442515,1.81084506097043,0.355747528577995,5.09025338337218,3.57585362797771e-07,5.73901875305436e-05
"Snx20",503.758670410558,0.71841244693462,0.142176332052326,5.05296793470675,4.34996949794584e-07,6.89415790805691e-05
"Cav1",522.461866366897,1.90310400766574,0.376807902264573,5.05059473601348,4.40436608572005e-07,6.89419229640055e-05
"Abcg1",53.8460155259108,-1.31294891460036,0.260501482868874,-5.04008230640763,4.6533167734719e-07,7.18130403272938e-05
