"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Cflar",949.916760494788,4.05699135343793,0.149738720963682,27.0938026405468,1.164946529277e-161,1.58933654989261e-157
"Ccl5",13361.9432783755,6.66082649602337,0.249973074026665,26.6461758809785,1.98196639281566e-156,1.3519983748592e-152
"Oasl1",1635.30781822112,7.25907556434839,0.315171115495257,23.032172707012,2.21977623016439e-117,1.00948023693776e-113
"Mapkapk2",2125.16570468928,2.89680484366286,0.127483609556657,22.7229590826376,2.65692978562674e-114,9.06212326632641e-111
"Slco3a1",502.087553135155,5.90659399284695,0.281643253932611,20.9718994166295,1.18439939350088e-97,3.2317521851065e-94
"Tnfaip2",1914.72102813197,2.77907418193885,0.133579242694952,20.804685861899,3.92523126561231e-96,8.92532169279147e-93
"Pnp",1577.72462155014,4.24380459091387,0.206996002212332,20.5018674059254,2.07188255374878e-93,4.03809909725638e-90
"Tnfrsf1b",1849.50872303771,2.57008855214892,0.127335111581898,20.1836596381032,1.36273764405901e-90,2.32397870973713e-87
"Igtp",922.936818172986,4.96910918118149,0.259045146282889,19.1824060496196,5.19212164546108e-82,7.87067951211394e-79
"Gbp2",1608.61407300126,5.6651631950407,0.31051749341689,18.244264220679,2.29810350663111e-74,3.13530261409682e-71
"Tnip1",651.017298057223,2.63280395109613,0.147832280905006,17.8093981570095,5.97488125576233e-71,7.41048227021504e-68
"Aftph",439.967111142948,3.12323425001497,0.175617212312784,17.7843288188194,9.34760063824833e-71,1.06274429589685e-67
"Malt1",588.469627632406,3.45824987057513,0.195321088585192,17.705460765271,3.80553534994716e-70,3.99376298302532e-67
"Acod1",3399.09813182282,6.08141904476878,0.348138626204912,17.4683835317639,2.4946291005281e-68,2.43101605846464e-65
"Ifi211",362.965154386127,6.2807911511051,0.360258475973534,17.4341245799489,4.54465660654518e-68,4.13351667220639e-65
"Psme2",2063.44763813617,2.78140566945519,0.159846466543515,17.4004826606411,8.1810678641133e-68,6.97589430438111e-65
"Usp18",967.351331371298,6.0088539418354,0.349335429077911,17.2008145801188,2.6182473454491e-66,2.10122050199777e-63
"Clic4",2232.31981984752,2.98801760224072,0.174275559119163,17.1453623063554,6.80732631918246e-66,5.1595751651448e-63
"Ccl4",4717.02496352007,6.2150307457685,0.365620968015947,16.998562143453,8.41589441042451e-65,6.04305512849587e-62
"Slc2a6",589.164622135463,4.05834823616345,0.242406038417681,16.7419436522891,6.48360891596614e-63,4.4227938220263e-60
"Nfkb2",958.695872675353,3.88514571526658,0.232256350817212,16.7278341435935,8.21724956536177e-63,5.3384731342967e-60
"Acsl1",846.121473823225,4.43422631503011,0.26680953631655,16.6194446279807,5.03973187357851e-62,3.12532099778326e-59
"Ccl3",6298.78319636602,5.42308029656579,0.326379772336736,16.6158590581117,5.35029054182724e-62,3.17365277661518e-59
"Oasl2",547.53830910974,5.01686680578728,0.30385036209142,16.5109785331697,3.05883023852696e-61,1.73881753934264e-58
"Cd40",1347.37647603993,7.07838486812609,0.430926278302502,16.4259763781618,1.24660977465385e-60,6.80299886224101e-58
"Ifi47",840.034094711452,5.30561230279769,0.32338385974491,16.4065464089111,1.71698543006278e-60,9.00955085474866e-58
"Ifi35",765.133490593021,4.18424943873984,0.256731359233653,16.2981626055729,1.01703827748685e-59,5.1390567480567e-57
"H2-T22",697.360386663623,2.55730043043332,0.160821426337448,15.9014907943137,6.18746148142794e-57,3.01484060682576e-54
