"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Tnfrsf1b",1849.50872303771,4.01524847714365,0.119161291805515,33.6959126265349,6.63512553444249e-249,1.05425509616757e-244
"Slc15a3",1577.45234356755,4.34870000188169,0.130922722387521,33.2157773882052,6.37215730001058e-242,5.0623603669934e-238
"Rnf149",3191.58598552366,3.67811732277711,0.129534433592507,28.3949002652671,2.33764392575208e-177,1.23809414454249e-173
"Cnn2",931.745787320481,-4.25452787522047,0.152621286772045,-27.8763727210284,5.16094292173762e-171,2.05005555208722e-167
"Fam20c",1137.06360490142,4.98610156741826,0.183445739595685,27.180252746167,1.11191557811974e-162,3.53344532414892e-159
"Cflar",949.916760494788,3.32489955366258,0.122609884611001,27.117712117676,6.08785680231863e-162,1.61216594553401e-158
"Mapkapk2",2125.16570468928,2.98158174466744,0.113514940636156,26.2659851466088,4.69470789193043e-152,1.06563162421261e-148
"Tnfaip2",1914.72102813197,3.12817500262726,0.1198394599034,26.1030465687078,3.36671735477126e-150,6.68672150624507e-147
"Gng12",786.461453530045,4.36728391097363,0.168214959703043,25.9625179513367,1.31324508908869e-148,2.31846124672559e-145
"Atp6v1e1",1138.76499268968,3.11490840004575,0.122676279934783,25.3912851098981,3.14766522288204e-142,5.00132527263727e-139
"Alas1",3554.34703874552,3.94979067245569,0.155872268935614,25.3399190210494,1.16070367675194e-141,1.67658370181015e-138
"Rogdi",314.06278224178,-5.73490944489309,0.238031421085807,-24.0930773707633,2.95433042526678e-128,3.91177967725532e-125
"Abcc5",519.966697678215,3.43958742942543,0.143733633226668,23.9302893290201,1.48241572637171e-126,1.81185411356308e-123
"Pnp",1577.72462155014,4.37573565690093,0.184316942688876,23.7402790707478,1.38457793446861e-124,1.57139705719799e-121
"Niban2",1616.3577914721,4.2697463648211,0.184990563252449,23.0808874233998,7.20441620517502e-118,7.63139793893505e-115
"Slco3a1",502.087553135155,4.94923596060103,0.216721943586966,22.8368012887214,1.97677375123146e-115,1.9630598833323e-112
"Atf3",1359.72794112581,4.64132903409452,0.204515083936079,22.6943115625895,5.09864085702326e-114,4.76542968101427e-111
"Cybb",4048.97073976355,4.1455172380855,0.183259118694401,22.621069377718,2.68883428928748e-113,2.37349377902715e-110
