"","baseMean","lgFC_MoDC_Treatment_6H_vs_cDC_Treatment_6H","lfcSE","stat","pvalue","padj"
"Rnf149",3191.58598552366,3.56969499810649,0.127498331773879,27.9979741573201,1.71972153186823e-172,2.67726248081246e-168
"Cnn2",931.745787320481,-3.96346760215268,0.152350256276634,-26.0154967836478,3.30747994372386e-149,2.57454238819465e-145
"Ctsl",8461.10075048896,5.17739818409877,0.221419705780284,23.3827344583157,6.40482060124889e-121,3.32367490400809e-117
"Pla2g7",4116.27537181755,3.00200433080403,0.132018775839953,22.7392225969689,1.83449838984579e-114,7.1398677332798e-111
"Alas1",3554.34703874552,3.45823738239567,0.152989267308558,22.6044443720414,3.91876799827026e-113,1.22014760394143e-109
"Atp6v1e1",1138.76499268968,2.66775536493396,0.118353181033607,22.5406308612562,1.6593752102348e-112,4.30552554548923e-109
"Fam20c",1137.06360490142,3.78074549217731,0.170823078192574,22.1325217422622,1.53734995224476e-108,3.41906629379234e-105
"Gng12",786.461453530045,3.4165490033458,0.156239724256799,21.8673517224742,5.3154499040737e-106,1.03438655133274e-102
"Rogdi",314.06278224178,-5.1503509020869,0.238034391002373,-21.6370032935096,8.05725444127049e-104,1.3937259682411e-100
"Lyz2",38386.783735581,5.60500452104528,0.2609193739944,21.4817490753507,2.30656032347896e-102,3.59085311159205e-99
"Ctsk",368.080933031592,6.2075833295469,0.289117592369206,21.4707907556859,2.92007491512127e-102,4.13270238896436e-99
"Zfp36l1",434.576802763544,-4.77519298500772,0.222853109886259,-21.42753577657,7.39941051213665e-102,9.59950190441195e-99
"Ptpre",627.181997308997,2.93416652868018,0.137060791567983,21.4077745729698,1.13085339897819e-101,1.35424043963788e-98
"Gramd2b",196.100794608187,-3.87920277105327,0.181800130813807,-21.3377336621732,5.06929955820339e-101,5.63706110872217e-98
"Hvcn1",3167.15181138569,3.27737491439258,0.155386985639661,21.0916950406178,9.48032162179102e-99,9.83930980053618e-96
"Itgb2",4035.79679780784,3.38094296076441,0.161225389540822,20.9702886771959,1.22518424348305e-97,1.19210426890901e-94
"Fcmr",599.233354065478,-5.55538310590253,0.265377057940586,-20.9339237875879,2.6293589393207e-97,2.40787411572616e-94
"Akr1a1",6926.65106110588,3.36949944856805,0.161883690688651,20.8143231367795,3.21047002428681e-96,2.7766998521165e-93
"Slc11a2",253.484796111687,3.00869241449124,0.146708151585647,20.50801119074,1.82609807223329e-93,1.49624709413304e-90
"Plpp3",480.437234828967,4.78078074821923,0.233282184803493,20.4935526999044,2.45786676697557e-93,1.91320349141378e-90
"Cd300c2",1279.90893380147,5.06929642265372,0.248783630754688,20.3763262368828,2.71267117427611e-92,2.01099356386336e-89
"Smap2",320.004043043844,-2.83211137453405,0.139290406544233,-20.3324223455022,6.64401698375088e-92,4.70154801831972e-89
"Sdc1",529.425457676337,5.35012896135362,0.26361472804073,20.295258163751,1.41609013209342e-91,9.5850831201871e-89
"H2-M2",1446.5947781176,7.53250332106169,0.371198942226434,20.292362030673,1.50202657453316e-91,9.74314571347179e-89
"Tnfrsf1b",1849.50872303771,2.2494227750286,0.111409941520096,20.1905031484362,1.18649999080745e-90,7.38857274275618e-88
"Uchl1",273.365110065124,4.97000787198308,0.246940366251675,20.1263485084403,4.33807799530659e-90,2.59750762426665e-87
"Ptprcap",277.835302932289,-4.75460135119638,0.236363608477444,-20.1156234744576,5.38576884838605e-90,3.10539442339533e-87
"Lrpap1",1278.07254634871,4.38859330564242,0.2217290743832,19.7925929102915,3.44836542348118e-87,1.91729117545554e-84
"Niban2",1616.3577914721,3.52082270788041,0.17846221303499,19.7286733589374,1.2233883861392e-86,6.56748634324659e-84
"Csf1r",1523.25293972351,3.96643318260185,0.201620354679107,19.6727814952747,3.68974503321032e-86,1.91473168923394e-83
"Psap",4889.12664506621,3.62837472667838,0.185508210458016,19.5591058623227,3.45075283939347e-85,1.73294581302185e-82
"Adam17",583.481863543729,2.22999385350218,0.114394867320117,19.4938278765766,1.23859973915312e-84,6.02578773097994e-82
"Tnfrsf1a",485.632249048611,2.7535714040258,0.141809010973491,19.4174642720026,5.4936303747827e-84,2.59166174771567e-81
"Cav1",522.461866366897,6.65437266742703,0.349469284206014,19.0413663465321,7.74797812917207e-81,3.54766245632208e-78
"Cndp2",574.682365198675,2.664668444756,0.140737582159785,18.9335954466711,6.03025670049129e-80,2.68225818037853e-77
"Ighm",4194.03454341775,-4.20062016010207,0.222655414206175,-18.8660139933196,2.17067198678356e-79,9.38695041395736e-77
"Asah1",646.414476500134,2.72664491394995,0.144598707183298,18.8566341087238,2.59204822695969e-79,1.09062180533266e-76
"Ablim1",185.654950195108,-4.8904191236315,0.259654133067231,-18.8343588675527,3.94880022453747e-79,1.61640166311888e-76
"Spp1",7166.89032426587,6.13961903156069,0.326002755425862,18.8330280323564,4.04931043561385e-79,1.61640166311888e-76
"Trf",926.262261358287,5.2532907648072,0.280037314899661,18.7592527327634,1.62670340500298e-78,6.3311296522716e-76
"Abcc5",519.966697678215,2.45491556258274,0.131339237203666,18.6914102354343,5.81552710409103e-78,2.20819819406071e-75
"Ctsa",1747.39648451739,3.19072910391221,0.171558463577194,18.5984942822511,3.30459864201747e-77,1.22490456330781e-74
"Trem2",1370.14149283202,7.75804974233349,0.418571974520162,18.5345656532,1.08663554774461e-76,3.93412609471814e-74
"Pirb",1260.08113004493,2.38684670880699,0.129456136671111,18.4374937348153,6.57175848735324e-76,2.32520763934353e-73
"Coro1a",1631.34980421826,-3.88851555675432,0.211788611903018,-18.3603618807179,2.72783311188362e-75,9.43709019684537e-73
"Bach2",130.514043750707,-5.39875743803662,0.294647243366351,-18.3227827837644,5.44557924902999e-75,1.84297342932389e-72
"Tcf7",302.457364709491,-5.68221037009319,0.310298874442868,-18.3120560146905,6.63177854617564e-75,2.19667081716728e-72
"Ctsd",19932.4948566377,4.66912167584914,0.255234285278177,18.2934736638548,9.32772106139066e-75,3.02529086424437e-72
"Slc6a8",523.708621397805,5.17005734246122,0.283600592272961,18.2300653924063,2.97964612780374e-74,9.46676141176502e-72
"Plod3",452.395308238662,3.06737395466403,0.168275337556183,18.2283036790219,3.07718498195909e-74,9.58112315982784e-72
"Cd19",388.227756844512,-5.79211839832619,0.317781965567366,-18.2267058106491,3.16840246963904e-74,9.67170385241973e-72
"Nup210",179.356569198148,-5.53464857733195,0.304338937789596,-18.1858050025736,6.68663820358227e-74,2.00187660679555e-71
"Mcoln2",207.421639287508,2.95255364242618,0.1628751823221,18.1277073666585,1.92624288404885e-73,5.65806589035329e-71
"Sgk1",1369.81407471254,3.68665981020424,0.204403993474461,18.0361437540351,1.01375987343517e-72,2.92263216845162e-70
"Acsl1",846.121473823225,4.12685753324927,0.230665478256882,17.8910930427715,1.38367367644931e-71,3.91655123544778e-69
"Chpf2",383.776675006211,2.42263349044457,0.136170287218305,17.7912049679433,8.26826089382775e-71,2.29857652848411e-68
"Vars",253.077699509779,-3.24433844317911,0.182462750786531,-17.7808261094056,9.95029942115335e-71,2.71765370857045e-68
"Dram1",196.737484744442,2.98890122405936,0.168786893161861,17.708135792233,3.62893925849175e-70,9.74057351313786e-68
"Gimap6",160.61930979639,-4.76667518602951,0.26929745410399,-17.7004093926148,4.16270185752952e-70,1.09838885623762e-67
"AA467197",844.50759611743,4.49567355145913,0.254116276194406,17.6914033952702,4.88436538357267e-70,1.26733000485766e-67
"Hexa",1783.54491674312,3.41528889627789,0.195191910321785,17.4970821825945,1.50799091062562e-68,3.84859057321634e-66
"Cd200r4",335.672064213912,4.50437939285786,0.257559645189589,17.4886845706834,1.74744314428942e-68,4.38777336617705e-66
"Swap70",173.317609000174,-4.02071773827929,0.230475621927246,-17.4453059488803,3.73712008699343e-68,9.23483897052599e-66
"Abr",631.522274164796,2.16572850742728,0.124678689862364,17.3704785462381,1.38069655737439e-67,3.35854437581322e-65
"Chd2",231.934247063019,-2.16229842172579,0.124522912253845,-17.364663117723,1.5279403469275e-67,3.65953466476421e-65
"Clmp",167.894681926361,6.48938110865461,0.374338757523516,17.335584355694,2.53477737438245e-67,5.97900214611908e-65
"App",1051.21328485557,2.51817058227338,0.145295726128431,17.3313465534939,2.72864321866793e-67,6.34022651167497e-65
"Rapgef6",174.989920347189,-3.02188825986959,0.174473407724719,-17.3200506557279,3.32065322025198e-67,7.60234254895336e-65
"Lpl",1109.14656930531,4.52857128031258,0.262170646303968,17.2733726836147,7.46494347153435e-67,1.68426434731662e-64
"Snhg15",112.849649514412,-3.34451820706868,0.193886824880582,-17.249847735289,1.12194647817201e-66,2.49520896745455e-64
"Stx3",213.531954932573,3.26538665029226,0.189509235146895,17.2307520937497,1.56108325892805e-66,3.42294988380168e-64
"Tut4",190.784863266771,-3.01261786196367,0.174878289011738,-17.2269403994539,1.6674088671378e-66,3.60530850605573e-64
"Fmnl1",394.505385517612,-2.85621567348043,0.166873171515569,-17.1160867114816,1.12594647084071e-65,2.40119652849975e-63
"Satb1",175.622982773205,-4.9344818626601,0.28851094814242,-17.1032742238407,1.40296151810103e-65,2.95152769105363e-63
"Cxcr5",136.963834777389,-6.00634433740289,0.351892943018492,-17.0686694819204,2.53920923191205e-65,5.27072124298757e-63
"Cd9",3225.17321643176,2.48085598154026,0.145568125885889,17.0425769133347,3.96853589437568e-65,8.12923247416324e-63
"Cept1",106.282449613154,3.44944445913505,0.202821944587866,17.0072546446801,7.25591173628508e-65,1.46701342740891e-62
"H2-Ob",208.795944150383,-4.58653160862185,0.270481581779007,-16.9569091486947,1.71111842408794e-64,3.41521687515398e-62
"Spryd7",296.118099333944,3.32269408065743,0.19648730348371,16.9104772763748,3.76645209957746e-64,7.42229446661037e-62
"Tmem131l",215.224943770628,-3.46818114807319,0.2052762968857,-16.8951856628839,4.88174866784594e-64,9.49988290762819e-62
"Arhgap45",673.55193277374,-3.7241867812894,0.220590838928762,-16.8827808052903,6.02392086150546e-64,1.15778271570268e-61
"Psmd8",1333.15958904693,2.0361189025972,0.120662548784334,16.8744894178927,6.93217420238915e-64,1.31609863393652e-61
"Mapkapk2",2125.16570468928,1.85782283762198,0.11035105861978,16.8355687825633,1.33895574340698e-63,2.51142927871805e-61
"Cd68",2690.04316995007,3.64956478727709,0.217057497051041,16.8138158638165,1.9331680193953e-63,3.5828047292793e-61
"Slc15a3",1577.45234356755,2.00564886333289,0.119368190686659,16.8022054434729,2.3513606205549e-63,4.30658613421161e-61
"Itgam",2546.38897694244,2.79044144118903,0.166954374838264,16.7137964721934,1.0399840744652e-62,1.88261303154351e-60
"Milr1",330.271388649669,2.58676587451905,0.154978133218767,16.6911668168539,1.5197139515259e-62,2.71941457440864e-60
"Fam174a",369.06915906581,2.62176110315052,0.157175655483976,16.6804528034419,1.81835398666026e-62,3.21683350730987e-60
"Mtpn",529.015668836535,2.87950577091212,0.172997727669297,16.6447606549872,3.30284036152239e-62,5.77737289305399e-60
"Atp6v1a",1116.72199984427,2.87547084792155,0.173221614949292,16.5999540459388,6.97443051549013e-62,1.206421491835e-59
"Nrp2",1414.29213753853,3.36324724003508,0.205053862564345,16.4017746263117,1.85732252805088e-60,3.17745023260397e-58
"Tpp1",651.803015979669,2.15174627799368,0.131320947827576,16.3854001481844,2.43163512873716e-60,4.11474953088914e-58
"Cd83",344.096072326003,-3.7583079673647,0.23045773120225,-16.3080142625652,8.65612873197267e-60,1.44901733440162e-57
"Lamp2",980.69813674754,2.70841278148625,0.166356587481771,16.2807666500314,1.351649342115e-59,2.23856137851557e-57
"Agtrap",185.111649996776,2.27198547045023,0.140021460637313,16.2259803612189,3.30399821168048e-59,5.4143835957307e-57
"Cd79b",689.253829153736,-4.78243265191301,0.295989947313686,-16.1574158018436,1.00695176994669e-58,1.63294012026355e-56
"Apbb2",193.633886250874,5.25012954512059,0.325301418824151,16.1392765026908,1.35115831609019e-58,2.16853944998888e-56
"Clcn7",857.522058909759,3.21733931104157,0.201013983979753,16.0055497002917,1.16876386432928e-57,1.85666488162023e-55
"Lrp12",185.304408106956,3.58922534326101,0.225797435318983,15.8957755130855,6.77843842832033e-57,1.06592656012213e-54
"Slc7a8",146.435701609826,3.13626645091569,0.198251713440636,15.8196183855672,2.27869610429915e-56,3.54747409517292e-54
"Sell",277.679021571855,-5.41253611795534,0.3422384903603,-15.8151004939776,2.44818736618545e-56,3.77360207096783e-54
"Fcgr3",1502.44394799456,2.5746480593171,0.163547320540891,15.7425266938162,7.72946455320202e-56,1.17972847219852e-53
"Tnfrsf4",104.994546940124,-5.81174668311792,0.369430618599831,-15.7316323837609,9.18132017846566e-56,1.3877164324112e-53
"2410006H16Rik",385.67933970016,-4.0078826340901,0.256731366540216,-15.6111919166772,6.10850559290126e-55,9.14396298752758e-53
"Dap",549.93286481889,2.72303141596053,0.174737713585794,15.5835358039269,9.41970201291753e-55,1.39662781844857e-52
"Cyb5r3",739.211430661557,2.2746184582575,0.14643257174197,15.5335553504149,2.05654611121934e-54,3.02040659051534e-52
"Rbm47",209.560781994511,2.86826338763997,0.18482837385043,15.5185230919203,2.599657462274e-54,3.782380128288e-52
"Mif4gd",264.387100525042,-2.69539721668856,0.173705092624278,-15.5170880482973,2.6584417520013e-54,3.79693772432626e-52
"Tcn2",267.618964981954,2.34786471046034,0.151304949823853,15.5174349100521,2.64411291636499e-54,3.79693772432626e-52
"Tnfrsf13c",150.791055324899,-5.21099494679672,0.336259529971259,-15.4969435282388,3.63791242100517e-54,5.14863823365532e-52
"Ets1",298.084889448639,-4.11075952342998,0.265978638148841,-15.4552243444814,6.95689506049196e-54,9.75720200916566e-52
"Micall2",100.665616515468,4.16907169607935,0.270782077435726,15.3964093028607,1.73013528817236e-53,2.40488805055957e-51
"Sptlc2",456.517646076597,2.09749948034918,0.136268785216674,15.3923694044388,1.84163107594898e-53,2.53721350357289e-51
"Tbc1d4",200.389569318237,-5.0415985386727,0.328689277464387,-15.3384940864673,4.22891869866327e-53,5.77507072813946e-51
"Fabp3",129.765281778639,5.2808633666707,0.344731059505687,15.3187919134498,5.72721006855117e-53,7.75314837801779e-51
"Npc2",3860.55706049703,2.13471090095158,0.139522388162146,15.300131606626,7.63021829847497e-53,1.0240279178505e-50
"Dtnbp1",599.670238481782,1.67022261486127,0.109373175879652,15.2708614468606,1.19582836135206e-52,1.59116717346401e-50
"Scarf1",103.14333140241,4.52861698549762,0.297238398592608,15.2356391601493,2.05111432909424e-52,2.70608032841856e-50
"Psmb6",1205.11031831862,1.58058478030683,0.104319786921478,15.1513421082478,7.42350172926797e-52,9.71168696817174e-50
"Pgap2",293.997331059748,2.50802309517775,0.165551247373924,15.1495270193463,7.63138268064207e-52,9.90044713101964e-50
"Dusp2",258.815797232299,-3.73144955483847,0.247730887377422,-15.0625123671137,2.85719354930583e-51,3.67609827897464e-49
"Srsf5",779.733592567338,-1.32805359531088,0.0881828426221528,-15.0602266361649,2.95771365705447e-51,3.77423657483803e-49
"Naglu",255.032074962263,2.62204534907667,0.174115616957468,15.0592198155159,3.00310056086346e-51,3.80099752288799e-49
"Tnfrsf18",94.682053993613,-5.36950359673382,0.356928369904548,-15.0436447463388,3.8003692158639e-51,4.77130225423946e-49
"Pi4k2a",590.58670283841,2.36416242509216,0.15720086302368,15.0391186130832,4.06931968063691e-51,5.06809350305243e-49
"Cyb5a",827.908440291118,2.64407207564796,0.176123614686907,15.0125926063254,6.07269099308291e-51,7.50314709367578e-49
"Mgst1",598.009069703803,3.09033701271218,0.206065404055484,14.9968745451328,7.69588360275568e-51,9.43382015178743e-49
"Pnp",1577.72462155014,2.6592691472404,0.177947485871637,14.9441231732753,1.70115558145744e-50,2.06903047594761e-48
"Shmt2",200.604197858793,-3.45647498623665,0.231318207495849,-14.942511545697,1.74280823547653e-50,2.10325880696888e-48
"Cd302",441.175885591837,3.48507364811669,0.233255943370734,14.9409854160825,1.783186672252e-50,2.13543462412455e-48
"Capg",3834.47126343248,2.78757677225068,0.186583053376237,14.9401391059329,1.80597845834085e-50,2.14621928545423e-48
"Rassf4",686.582071188148,3.09851727739525,0.207590722528033,14.9260874458242,2.22970720004667e-50,2.62970315835807e-48
"Grk3",134.574262278338,-3.47060042191377,0.232954976902616,-14.8981595845648,3.38783253030791e-50,3.96554713021305e-48
"Anpep",749.754896403093,4.89117416980818,0.328717769838249,14.879555103501,4.47465091047649e-50,5.19860935629089e-48
"Calcrl",99.318668769836,4.00140399410675,0.268975773950859,14.8764475526253,4.68735992800241e-50,5.40539402660307e-48
"Rragc",841.320972586455,2.25541982347235,0.152492645414259,14.7903514779045,1.69068624737409e-49,1.93533849258234e-47
"Pdpn",165.646963246471,5.97483419402251,0.40495060043843,14.7544766881533,2.87915974331181e-49,3.27173422510061e-47
"H2bc4",551.724519045956,2.94840339485641,0.199939365100786,14.7464877332694,3.24098135469775e-49,3.65620273405323e-47
"Pttg1ip",369.58219972536,2.16065139954272,0.146624200594244,14.7359807643346,3.78659882292641e-49,4.24099068167757e-47
"Gtpbp1",162.664746409004,-2.51623060363026,0.171186196202592,-14.6987938247801,6.56181161936898e-49,7.29673452073831e-47
"Ptx3",2666.13036877306,6.23825134606836,0.425215354792666,14.6708045129511,9.91623065428302e-49,1.09486438883601e-46
"Ahnak2",284.106358127822,6.45898977424494,0.44098733549475,14.6466559340043,1.41511058986766e-48,1.5514395537366e-46
"Gpr132",378.970975369631,-2.28877989673211,0.156644929258366,-14.6112606872646,2.38071462560033e-48,2.59181575463957e-46
"Il16",169.214274777574,-4.80700948099239,0.329526900881566,-14.5876086842454,3.36797537584046e-48,3.64115560076974e-46
"Adamtsl5",155.36036540112,5.68578721773279,0.390131909389937,14.5740122273614,4.11024674867684e-48,4.41298768161387e-46
"Eeig1",110.227221278454,-4.21021506138658,0.28908116910298,-14.5641276962138,4.75009064727492e-48,5.06502816416273e-46
"Lipa",1645.56434559957,3.67097644980977,0.252124807141293,14.5601557079328,5.03430058074669e-48,5.33156404360983e-46
"Hsh2d",92.5383439859935,-5.5294973108646,0.379884004619271,-14.5557518706438,5.3692335975309e-48,5.64785328691629e-46
"Slc23a2",264.514548335692,2.42270632023826,0.166480728995273,14.552473039129,5.63292513073348e-48,5.88546163995026e-46
"Kremen1",91.5708217407659,2.57459000567247,0.176946859957432,14.550074560757,5.83394294817115e-48,6.0548549211419e-46
"Gimap1",150.902635287301,-4.68189635721819,0.322527424211553,-14.5162736739783,9.55659528118041e-48,9.85278644618653e-46
"Dok7",146.949261717731,7.25416001033523,0.502462717370441,14.437210482598,3.01812068424805e-47,3.09119097449827e-45
"Tmbim1",273.25765712314,2.35289180746377,0.163018997300827,14.4332369013524,3.19717168593731e-47,3.25317443180863e-45
"Igsf6",510.215638984626,2.77895597248236,0.19292176991562,14.4045743188952,4.84292468170094e-47,4.8957565873195e-45
"Lamp1",4802.249340234,2.44109350321311,0.169538329836942,14.3984755869714,5.28974129945102e-47,5.31294790644216e-45
"Mrtfa",258.714838316216,-2.10657043111259,0.146434964426705,-14.3857065787521,6.36249710792215e-47,6.34944583180333e-45
"Aopep",481.856118502761,2.94408837183402,0.204774706003409,14.3772071721837,7.19394854306399e-47,7.1334643897083e-45
"Rhof",83.2264780115858,-4.29636520532093,0.300282623715069,-14.3077383305324,1.95777312190537e-46,1.92902607353309e-44
"Ctss",16763.1398269775,3.10780001713047,0.217874533339652,14.2641729140763,3.65904294749477e-46,3.58264028972318e-44
"Cflar",949.916760494788,1.63173407985334,0.114578614625115,14.2411748055442,5.08647092139191e-46,4.94913620651432e-44
"Igkc",1798.08633443018,-4.65133847847788,0.327517185747927,-14.2018149913446,8.92700155219608e-46,8.63202237047134e-44
"Rab7b",375.219301964797,5.67582283264068,0.399831929747963,14.1955216938739,9.76569709927844e-46,9.38471434824486e-44
"Jaml",167.528888657149,-3.86377364641247,0.272249385496067,-14.1920380807188,1.02631995887612e-45,9.80230007348681e-44
"Plxna1",1094.07004225284,4.14237846446818,0.292282382712958,14.1725218811299,1.35544050617639e-45,1.28667669513134e-43
"Stxbp1",135.417795056794,2.32330494090327,0.164354924715833,14.135900977231,2.28194600316055e-45,2.15305062892142e-43
