"","CD11c_6H_M2","CD11c_6H_M4","CD11c_6H_M1","CD11c_6H_M3","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3"
"Hdc",0.44,0.97,0.3,0.98,0.82,-1.1,-1.34,-1.07
"L1cam",0.82,0.96,0.8,0.87,-0.02,-0.87,-1.36,-1.19
"Nrg1",1.04,0.8,0.96,0.61,-0.06,-0.79,-1.44,-1.13
"Ebi3",0.78,0.8,0.88,0.78,0.26,-0.85,-1.19,-1.47
"Flt3l",0.68,0.89,0.92,0.97,-0.15,-0.78,-1.04,-1.5
"Icosl",1.03,0.8,0.79,0.85,-0.14,-0.92,-0.92,-1.5
"Vegfa",0.47,1.05,0.7,1.12,0.05,-0.91,-1.15,-1.34
"Pdcd1lg2",0.62,0.95,0.93,1.01,-0.14,-1.11,-1.13,-1.14
"Fam3c",0.86,0.73,0.7,0.95,0.28,-1.34,-0.9,-1.29
"Cd70",0.51,0.93,0.91,0.93,0.23,-1.36,-0.98,-1.16
"Hmgb2",0.71,1.88,0.37,0.18,-0.55,-1.19,-0.49,-0.9
"Selp",0.13,1.37,-0.15,1.39,0.05,-1.19,-0.33,-1.27
"Sct",0.03,1.56,-0.12,1.5,-0.79,-0.85,-0.46,-0.87
"Dll1",0.1,1.21,0.87,1.08,-1.27,-0.25,-0.41,-1.33
"Ifnb1",-0.06,0.92,0.48,1.71,-1.18,-0.09,-0.94,-0.84
"Il4",-0.58,1.27,1,1.32,-0.62,-0.77,-0.81,-0.82
"Wnt10b",-0.72,0.94,0.8,1.71,-0.74,-0.81,-0.36,-0.83
"Ifng",-0.06,1.35,0.65,1.38,-0.84,-1.05,-0.63,-0.8
"Il17f",-0.23,1.27,0.85,1.37,-0.9,-0.79,-0.57,-0.99
"Lif",0.17,0.85,1.09,1.37,-0.64,-1.12,-0.73,-1
"Il2",-0.13,0.96,1.29,1.23,-0.85,-0.93,-0.61,-0.96
"Csf2",-0.33,0.94,1.06,1.06,-0.12,-1.85,-0.48,-0.28
"Xcl1",-0.42,1.19,0.79,1.17,-0.47,-1.75,-0.18,-0.32
"Osm",0.13,1.28,0.61,1.33,-0.8,-1.27,-0.89,-0.38
"Gzmb",-0.38,1.33,0.41,1.44,-0.34,-1.51,-0.44,-0.52
"Ccl24",-0.36,0.56,0.84,1.7,0.11,-0.82,-1.33,-0.71
"Tnfsf11",0,1.41,0.57,1.17,-0.06,-1.17,-1.2,-0.71
"Cx3cl1",0.14,1,0.97,0.97,0.08,-1.75,-0.67,-0.75
"Ccl17",0.41,0.96,0.88,0.94,0.18,-1.46,-1.33,-0.58
"Cadm1",0.78,-0.18,1.43,0.37,-1.82,-0.9,0.14,0.18
"Esam",1.34,0.08,1.17,0.2,-1.03,-1.64,0.08,-0.2
"Cd28",0.69,0.31,1.87,0.22,-0.97,-1.2,-0.68,-0.24
"Cdh5",1.1,-0.52,0.81,1.33,-1.59,-0.34,-0.13,-0.66
"Pkd1",1.23,-0.67,1.35,0.79,-0.95,-0.4,-1.23,-0.13
"Col18a1",1.77,-0.93,0.81,0.85,-0.63,-0.48,-0.64,-0.76
"Celsr2",1.93,-0.65,0.99,0.35,-0.53,-0.67,-0.71,-0.71
"Col4a1",1.63,-0.33,0.91,0.81,-1.21,-0.43,-0.42,-0.96
"Cadm3",1.59,-0.17,0.95,0.92,-0.75,-0.83,-0.85,-0.85
"Mdk",1.57,0.96,0.11,0.43,-0.53,-1.58,-0.78,-0.19
"Tgfb3",1.29,0.32,0.58,1.05,-0.82,-1.62,-0.7,-0.09
"Bmp6",1.95,0.35,0.84,-0.19,-0.77,-0.87,-0.9,-0.41
"Sema3f",1.36,0.18,1.43,0.38,-0.86,-0.96,-0.99,-0.54
"Calcb",1.57,0.35,1.23,0.23,-0.76,-0.85,-0.88,-0.88
"Hmgb1",1.54,0.49,0.67,0.48,0.05,-0.81,-1.44,-0.99
"Itgb7",1.59,0.4,0.88,-0.02,0.21,-1.42,-0.54,-1.09
"Ctsg",1.07,1.26,0.57,0.56,-0.69,-0.29,-1.18,-1.3
"Pvr",0.5,0.94,1.4,0.68,-0.48,-0.74,-1.25,-1.05
"Il23a",0.72,0.92,0.97,1.05,-0.58,-0.94,-1.32,-0.82
"Txlna",0.43,1.1,0.66,1.28,-0.44,-0.84,-0.74,-1.44
"Il13",0.3,1.08,0.87,1.2,-0.53,-0.48,-1.33,-1.11
"Celsr1",0.37,1.19,0.82,1.2,-0.62,-0.93,-1.01,-1.03
"Il17a",0.21,1.24,0.72,1.35,-0.96,-0.74,-0.9,-0.91
"Il22",0.19,1.18,1.02,1.16,-0.85,-0.8,-0.92,-0.98
"Rps19",0.93,0.97,0.64,1.13,-1.18,-0.63,-0.83,-1.03
"Tg",0.74,0.76,0.74,1.39,-0.9,-0.66,-1.03,-1.04
"Lta",0.85,0.87,0.89,1.09,-1.09,-1.1,-0.67,-0.85
"Dscam",0.46,1.02,0.82,1.29,-0.93,-1.03,-0.57,-1.07
"Amigo2",0.65,1.12,0.73,1.17,-0.89,-1.04,-0.83,-0.91
"Wnt10a",0.76,1.16,0.68,1.04,-0.83,-0.95,-0.6,-1.26
"Ltf",0.83,1.3,0.78,0.74,-0.69,-1.01,-0.78,-1.17
"Cd80",0.78,1,1.01,0.88,-0.65,-0.85,-0.91,-1.27
"Dll4",0.79,0.95,0.98,0.95,-0.49,-0.96,-1.1,-1.11
"Rabep2",1.04,0.8,0.86,0.98,-0.85,-0.64,-0.94,-1.25
"Efna2",0.87,0.73,1.02,1.03,-0.82,-0.71,-0.76,-1.37
