"","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lgFC_CD11c_Treatment_6H_vs_CD11c_Control"
"1110038F14Rik",2.42643813442249,0.670168962952167
"1600014C10Rik",2.32081686576598,2.43205518658169
"2310043P16Rik",4.39295475528065,1.51593476534578
"2900089D17Rik",0.970334048616894,1.25358671983926
"4930599N23Rik",2.60837246570379,2.52879864729694
"4933412E12Rik",3.94914816085357,2.20507084669104
"4933432I03Rik",4.21379100840439,3.26115742300281
"6530402F18Rik",3.61935243555313,1.85007325533605
"9330175E14Rik",2.25245819666016,2.18790760634405
"9530068E07Rik",0.688195433447684,0.490358726886834
"9530082P21Rik",2.43260381464276,2.38854152690757
"A330040F15Rik",3.13739617277905,2.88530058862375
"A530032D15Rik",4.91497400628416,1.80559516352745
"A530040E14Rik",3.03483200401294,3.49117638505976
"AA467197",4.47226241753724,1.37507847859071
"Abcb1a",2.48460219397236,1.51007090561226
"Abcc5",1.02083051357967,0.984753084936079
"Abracl",2.46300902135575,1.22691184380253
"Abtb2",4.63780743058841,1.03773386541302
"Acadl",0.487810752817908,0.801880885905045
"Acer3",1.4188428257845,1.03247151289748
"Acod1",6.08157787578764,4.09388115662727
"Acp5",0.807833459847241,1.02272060174014
"Acsl5",0.848852679192465,0.835265431567623
"Actn1",1.18798803094157,0.54328560893908
"Actr2",0.715570158900717,0.370893733256407
"Adamts4",4.73906999378372,3.21434212434454
"Adap2",1.78547911000966,0.870104486537779
"Adar",3.00518178166741,1.94213062745279
"Adhfe1",2.53994644736339,2.68977277215209
"Adora2a",4.64595492062451,1.5831643684114
"Aebp2",1.16872118309157,1.15044499790844
"Aff1",1.94985463053056,0.705533704238205
"Aftph",3.12333820641645,0.850291072548994
"Agfg1",1.39198745866924,0.498627183400553
"Agrn",2.45906995932015,2.84202352409436
"Agtrap",1.11637197219251,0.576493827580804
"AI837181",0.98047755541864,0.746969913399414
"Aida",2.06600690534307,1.83230051477693
"Alas1",0.814755551027592,0.491651203448976
"Alcam",1.08543087016635,1.31881736259643
"Ampd3",3.14757107261054,1.48937974015639
"Ankfy1",1.03788706036342,1.61913944336601
"Ankib1",1.68338983158037,0.617923324875363
"Ankrd17",1.73764596972188,0.968261869547407
"Ankrd33b",3.22724432812093,0.980047001025714
"Anxa2",0.428597534675742,0.41962398615274
"Anxa5",0.943980197152434,0.864767924112152
"Anxa7",0.972839682787601,0.985578829767511
"Aoah",3.70443099543047,2.12852286707791
"Apaf1",1.06649953534634,0.732748856213216
"Apobec3",2.30866748481289,0.950181290427149
"Apol9b",6.399333747166,2.85432510243912
"Arel1",2.32294223971467,0.668073697063074
"Arf4",1.4888824468635,1.04739902875491
"Arhgap22",1.38535877458965,1.73979526644843
"Arid5a",4.48329013896095,1.14727912202122
"Arl6ip1",0.509648217601969,0.524959720582302
"Asb13",1.9042657881942,2.71201108049342
"Ascc3",1.83443733001394,1.95924638089649
"Atf3",0.723500045033918,2.38654724663024
"Atm",1.79390248795041,1.27544009484375
"Atp10a",4.5704886765677,3.05436550689121
"Atp13a1",1.2660122609541,0.609690072540988
"Atp1b3",1.00764139206031,0.458551968914305
"Atp2a2",0.921308672204777,0.444290952280021
"Atp6v1e1",1.11337602396265,0.447257119124836
"AW011738",3.60413198103703,1.99252033832845
"Axl",2.1079265054393,1.71473345689729
"Azi2",2.19659501613126,0.838569678807034
"B230307C23Rik",1.33398857284166,1.23639141660019
"B4galt5",1.48128466214916,1.88703300823583
"Batf",2.780515314294,1.81951194612164
"Batf2",5.33365883131878,3.42953555091937
"Bcl2a1a",3.46004663319971,0.822628740269292
"Bcl3",2.31038169053717,1.57546986434951
"Bcl9",1.91572449117896,0.789666810177914
"Bcor",1.04054650267088,0.719761856838574
"Bid",2.14217002652523,0.674406290649514
"Birc2",0.97674804912923,0.743839073136308
"Birc3",2.08212247770876,1.41049900094434
"Bst2",2.45893481552308,2.89186786306748
"C130026I21Rik",3.86082455213006,1.79762641951325
"Cacybp",1.78407680012295,0.713586128324086
"Calhm6",5.81643479892767,2.54569554132501
"Capza2",1.10223964135935,0.651969381272621
"Car13",4.78922956588325,2.24277155205631
"Cars",0.872284976620702,0.872565662066226
"Casp4",3.50777017751496,1.72824263273374
"Casp7",3.38422997356418,1.50751613301686
"Casp8",1.75466931240917,1.04674861447076
"Ccdc6",0.881189988273371,0.71163887066547
"Ccdc86",1.94747427855052,0.741254734309948
"Ccl12",4.92353463144868,3.14951738678749
"Ccl17",3.57796085867437,2.19956056704268
"Ccl2",5.56556950592148,3.67969923195495
"Ccl22",2.59613428869641,2.52697679323841
"Ccl3",5.42321458761312,4.94353249612445
"Ccl4",6.2151509735817,5.62231033800011
"Ccl5",6.66094176321117,3.33615394944983
"Ccl7",5.02217971318846,3.16506597650587
"Ccnd2",4.86968261932819,1.6477469471448
"Ccnl1",1.26827189452515,0.658795110349453
"Ccrl2",4.02697210912559,4.19539775449324
"Cct2",0.456200314436986,0.490722003219703
"Cct3",0.889320397618724,0.897568322286145
"Cd14",2.19699102717782,1.70404209992696
"Cd200",1.4850706745198,0.814807288988133
"Cd274",3.33463604214341,1.56755951039824
"Cd40",7.0785593019888,3.69161454515091
"Cd44",1.7430143221825,0.633986730068945
"Cd47",1.84121821016909,0.929437242291106
"Cd69",5.62092365343926,4.06650953043634
"Cd70",3.08570254088634,3.79498739319148
"Cd83",2.01348945764225,0.892836952965079
"Cdkn1a",2.7622416163599,0.926358004423551
"Cdyl",0.872862043440875,0.71013580441829
"Cenpj",1.97269995676751,0.890853066337417
"Cep350",1.45022676947794,0.605207650980326
"Cept1",3.29063682528208,1.5437605037671
"Cers6",2.29705042342798,1.06897626915181
"Cfb",5.56676241919303,3.22400433404971
"Cflar",4.05709440304017,1.69326732764754
"Cgas",2.39134955595004,2.41257420879594
"Ch25h",6.08544203137795,3.73555580255017
"Chac1",2.6664358596663,1.47887339762876
"Chmp4b",0.749885557555725,1.41774343858066
"Chmp5",0.520922081408528,0.663358583435164
"Ciapin1",0.970815679867355,0.582117940943348
"Clec4e",6.06242281726123,2.58060003535001
"Clic4",2.98810212586802,2.04392321220694
"Clic5",6.93368794062723,2.82366228669015
"Cmpk2",6.72408585731207,5.06400706668157
"Col27a1",4.48384370178739,1.50830588332393
"Coq10b",0.780588065330618,0.512960366200826
"Coro2a",1.45759734868539,0.593450148334301
"Cpd",1.76199034645332,1.18924236952123
"Cpeb4",2.33267585571292,1.79281707631216
"Cptp",1.55885285621063,0.917506534769031
"Creb5",0.958230469346687,0.70659522987869
"Crtc2",0.715342335487205,0.876926349258918
"Crybg1",2.95143274373426,1.41064625079398
"Csde1",0.489338152892847,0.287652523876355
"Csf1",2.68583135722144,1.57449932755208
"Csf2",3.07703840865617,5.08031175783179
"Csf3",5.8468701447074,7.40490127813729
"Csrnp1",2.05453051504782,1.42748814326339
"Csrp1",1.02396776388344,1.43330632924877
"Cxcl1",6.13236910324823,5.97237094080486
"Cxcl10",6.63760059910779,6.18680100779205
"Cxcl16",1.668357130974,0.740923967294283
"Cxcl2",6.54418246097353,5.36457072609359
"Cxcl5",3.94427118830006,3.70326668762272
"Cybb",1.05656100317392,2.23527190017954
"D16Ertd472e",2.44260909013567,1.1963885243283
"Daam1",1.96213764256672,1.24696559583084
"Daxx",3.95270505348444,3.12782478937337
"Dbnl",1.95511337818915,0.702381048834088
"Dbr1",0.768770852623814,0.787348545946197
"Dcakd",1.17128697531213,0.816378136375143
"Dcbld2",3.65090499321887,2.47181352491793
"Dck",3.03218704331631,1.40470696262854
"Dcp2",2.04825021317342,1.32444466659901
"Ddhd1",2.31052398973862,0.845982944040544
"Ddx24",1.75894980238811,1.20014056946096
"Ddx54",0.476867595029006,0.516153859747245
"Ddx60",3.9720500738637,2.90484698190299
"Dek",1.05547256698511,0.762000357291706
"Dennd3",3.10950928597333,0.711410338030425
"Dennd5a",1.01881932866136,0.82128778498216
"Dhx58",4.14796315997095,4.0162130138962
"Dlgap4",0.999912701636984,0.716285921991637
"Dll1",2.61652161288242,3.43275259255619
"Dnaja2",1.28823585575048,0.605755570103544
"Dnajb6",1.2326486225788,0.564750223583532
"Dnajc13",1.29967665997462,1.07075505582474
"Dock10",1.24826471280966,0.816184770499408
"Dot1l",0.503628613591395,0.657712361299212
"Dpf2",0.903625836295817,0.533447149100745
"Dst",1.96736375178546,1.53490582447031
"Dtwd1",1.66239342460658,1.27839914073658
"Dtx2",1.25136577468872,0.671741061631373
"Dtx3l",3.27808547105049,2.82827982285598
"Dusp16",2.11435410470538,1.42967219271884
"Dusp2",1.1297819851462,0.8277859831846
"Dusp28",2.04075463919674,1.20528622235403
"Dync1h1",1.41951959331924,0.557764813616289
"E130102H24Rik",1.36174165988096,1.10998797812697
"Ebi3",0.978741072380445,2.61331976594248
"Edn1",7.33329989798903,3.88672696512113
"Eeig2",3.23147740718753,2.20854878569312
"Ehd1",3.43918831996822,0.908971233805855
"Eid3",3.46684221222603,3.87610974374069
"Eif1a",1.01553081451237,0.928451453189088
"Eif2ak2",3.50713496295948,3.54515811387632
"Eif2s2",1.04907773732401,0.717551881918635
"Eif3c",0.860507896453926,0.456785517385393
"Eif3g",0.32708356813983,0.423134815285673
"Eif4e2",0.814829444218558,0.4210951115186
