"","baseMean","lgFC_CD11c_Treatment_6H_vs_CD11c_Control","lfcSE","stat","pvalue","padj"
"Dll4",70.2484795205108,5.33452528138717,0.485946942371384,10.9775879139296,4.89828216803423e-28,8.61104766539963e-26
"Il23a",38.2242596723803,5.76100301153123,0.559206891077873,10.3020958851685,6.89425834447581e-25,1.01917507731007e-22
"Rilpl2",866.845699641948,1.22405838418785,0.121076572969524,10.1097871715939,4.99927593205245e-24,7.22617562223003e-22
"Gramd3",196.103524900404,1.43745698156285,0.154200049043376,9.32202674694675,1.14138827917974e-20,1.23736001032077e-18
"Pxn",272.037232773725,1.06403250459289,0.124297254462641,8.5603862224704,1.12490036281003e-17,9.75588587986379e-16
"Rabepk",83.474164087941,1.60225577277863,0.193874319262832,8.26440437738678,1.40393947329909e-16,1.12048150970233e-14
"Trim56",133.000359075243,1.40855091895478,0.179514419572683,7.84645000834866,4.27979241324612e-15,3.07601212728833e-13
"Hsh2d",92.5394932486008,2.2370369048174,0.29434034445899,7.60017084619902,2.95740053928725e-14,1.93209507945754e-12
"Myc",137.054200746225,2.00694157056392,0.264861461937012,7.5773257305406,3.52750364707762e-14,2.27174727449667e-12
"Il22",172.543184330951,5.77138826552574,0.769241689103133,7.50269823812418,6.25173628048044e-14,3.96726035476927e-12
"Itk",71.1852990280945,1.326040074465,0.179234774384492,7.3983415272998,1.378958247337e-13,8.46173011302219e-12
"Ly86",544.003711020876,1.79274165346703,0.252740943462032,7.09319839085092,1.31047379274466e-12,7.34825584905831e-11
"Smap2",320.008053893304,0.869427994777465,0.127165276074604,6.83699215395402,8.08731686839535e-12,4.06208127957356e-10
"Nxf1",267.356267932502,0.811785954040378,0.118956938027539,6.82420014755631,8.84165417626143e-12,4.40693789957797e-10
"Gm15856",9.36748934926364,5.07355838782115,0.74631447654477,6.79815084294,1.05970471865447e-11,5.23393652154514e-10
"Nmral1",30.4983171246729,2.55695777148403,0.377764085230485,6.76866296043985,1.29977933924781e-11,6.30926471055029e-10
"Zeb2",479.394359449466,1.13505338128596,0.171569149068811,6.61571959438192,3.69748658126252e-11,1.71151417566872e-09
"Bbx",202.766735838863,1.76509578523681,0.268330946435029,6.5780552287665,4.76641199493401e-11,2.16805082664673e-09
"Herc3",54.9241603830709,1.43744855700994,0.219648786903585,6.54430455671446,5.97728765762105e-11,2.69060675217966e-09
"Ogfrl1",290.649062346735,1.47872079224103,0.232379589537325,6.36338499084714,1.97355182231734e-10,8.308717040947e-09
"Zfyve26",105.28118586635,1.5918354762027,0.252336851236059,6.30837496943143,2.81980389177083e-10,1.15718702927592e-08
"Cyth1",405.225773463509,0.828050391921974,0.131438693524089,6.2998982241878,2.97841145757879e-10,1.21461299848409e-08
"Cmtr1",43.1744398852137,1.4241855481947,0.228581024900017,6.23055019032157,4.64799884936148e-10,1.86622892072048e-08
"Synpo2",11.234175435302,3.43231901936987,0.55979709017259,6.13136273772281,8.7129490592232e-10,3.31423258220569e-08
"Swap70",173.320566850767,1.22802338365011,0.201418902092555,6.09686266230276,1.08170375262058e-09,4.04364486144859e-08
