"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Control","lfcSE","stat","pvalue","padj"
"Acsl1",846.159550006405,4.43432396357155,0.266789038951163,16.6210875117072,4.90350164425001e-62,3.04306854313388e-59
"Snx20",503.771682796084,2.06280341357968,0.141949964356936,14.5319051182903,7.60748593727237e-48,2.20989373407616e-45
"Cav1",522.488314933747,5.13653243587862,0.375825605434862,13.6673296379985,1.59128352303283e-42,3.24265581193541e-40
"Ppp2r5a",777.585379912786,2.0917173445938,0.161358772605025,12.9631461049466,1.97958748243052e-38,3.10658711466942e-36
"Adam17",583.507192320077,1.56444622401287,0.128998706293714,12.1276117331814,7.54169245399896e-34,8.72599381986846e-32
"Slc11a2",253.496216187302,1.92536789711592,0.159480327817337,12.0727610951563,1.47114000478901e-33,1.65995656904003e-31
"Calcrl",99.3233039924664,3.49611341634644,0.307899078315548,11.354738167691,7.02500332293051e-30,6.26878237699152e-28
"F10",1706.60204462657,3.02717756770891,0.269638946974698,11.2267815969218,3.0125270540432e-29,2.53889085610197e-27
"Jak2",748.969630722799,3.4243390723793,0.305232672364543,11.2187828578507,3.29777901681835e-29,2.75801540442788e-27
"Rbpj",375.386002642386,2.06707366144756,0.186716541820684,11.0706509519263,1.74131093275808e-28,1.40675255413882e-26
"Camkk2",270.093859630049,2.2211628601267,0.203403412349923,10.9199881873444,9.25078382957503e-28,7.09555908006674e-26
"Kremen1",91.5747107091744,2.23687493976943,0.205639307254109,10.8776622992866,1.4729193563652e-27,1.11103690455547e-25
"Pde4b",269.161925714477,4.67963346908483,0.437851740426377,10.6877123853107,1.16201744138612e-26,8.35001269854984e-25
"Gtpbp2",363.986218757135,1.82594187704279,0.171684548311723,10.6354467830587,2.03849360184264e-26,1.39857050984711e-24
"Slc7a8",146.441709394112,2.33994455212895,0.220923244867982,10.5916629711248,3.25752624026953e-26,2.21268685365173e-24
"Tmem229b",123.753223651527,2.20785813385615,0.208828380448279,10.5725961630152,3.99285487178687e-26,2.65924134461005e-24
"Xkr8",43.8618685326395,4.22785392545755,0.4057554179663,10.4197103433593,2.01566131097813e-25,1.25661296250157e-23
"Rgs14",122.361236356252,2.33252394457545,0.226624052825096,10.2924818239644,7.61869064152474e-25,4.62302148127721e-23
"Lrrk2",122.99346972114,2.44576920888387,0.238420862716318,10.2582013210561,1.08712772647607e-24,6.53857041831618e-23
"Zfp207",345.562657021239,1.29624011636892,0.12746373527187,10.1694816459297,2.71348831384341e-24,1.56979898088577e-22
"Traf1",656.813653577098,5.17473814532924,0.509720103023279,10.1521170435236,3.24251940106571e-24,1.86793744231013e-22
"Caml",107.404621022166,2.04459729781069,0.202738462279271,10.0849008857247,6.44301747742856e-24,3.62002130120708e-22
"Vasp",822.55310151176,1.79476527686695,0.179634217064932,9.99122164024129,1.66516746595094e-23,9.0216394494556e-22
"Riox2",133.824766682773,2.12729155942798,0.214511801703907,9.91689754377387,3.51512574194555e-23,1.88203967665814e-21
"Bfar",226.045845448197,1.96185674330595,0.198067492317117,9.90499107326964,3.9600541853194e-23,2.0875142776898e-21
"Ifnar2",351.879308878979,1.51555512022258,0.153153672742814,9.895649859913,4.34777361976354e-23,2.27433537282113e-21
"Clmp",167.904234858853,2.62077430663064,0.26686822157796,9.82048102668168,9.19039494139701e-23,4.69949296385368e-21
