"","baseMean","lgFC_MoDC_Treatment_6H_vs_MoDC_Naive","lfcSE","stat","pvalue","padj"
"Pnp",1489.28801126256,4.22670068036055,0.134647985450359,31.3907457747953,2.70635626941705e-216,3.65249842120525e-212
"Ccl5",10725.2741684399,6.65630666105123,0.237495895407764,28.0270387394393,7.61059036905269e-173,5.13562638103676e-169
"Ccl3",6257.96876278863,5.38749613681978,0.208169261245971,25.8803634339364,1.10809198349376e-147,4.98493646974393e-144
"Oasl1",1648.85471379966,7.26275723158172,0.282800542438396,25.6815533978822,1.87887125677147e-145,6.33931162034695e-142
"Cflar",894.773117084519,4.04723188407349,0.163888202418331,24.6950776465458,1.20797342272235e-134,3.26056186261217e-131
"Acod1",3307.45621273203,6.04502437366379,0.269458845537645,22.4339429704091,1.83620889506762e-111,4.13024587463878e-108
"Slco3a1",488.01827209417,5.89948096185089,0.265939914867631,22.1835107557558,4.95569763413677e-109,9.5545850386157e-106
"Ccl4",4751.64660266997,6.17725432289189,0.279658803981301,22.0885387298765,4.07360773215294e-108,6.87217624414201e-105
"Ehd1",600.276382848931,3.44149317339004,0.156683529447588,21.964613546322,6.27889901671545e-107,9.41555790328796e-104
"Sod2",2668.1750939878,3.88342348783053,0.176921586259759,21.9499698704308,8.6658870586319e-107,1.16954811743296e-103
"Cd40",1360.51306496009,7.00091252870192,0.319033263210535,21.9441460688126,9.85002377149261e-107,1.20850837109149e-103
"Mapkapk2",1929.12230132229,2.88881404977246,0.136044698868251,21.2343007394214,4.60494406318169e-100,5.17902708972501e-97
"Marcksl1",1041.70020916358,5.86250607986459,0.283305909447337,20.6932008276882,3.9883803431102e-95,4.14055239312425e-92
"Zc3h12a",313.770297379851,3.66298297762933,0.182598261681091,20.0603387124613,1.63963375324616e-89,1.5806069381293e-86
"Tnfaip2",1727.67603063691,2.77383216401797,0.141531837258557,19.5986445010998,1.58797766018969e-85,1.42875643346134e-82
"Igtp",919.168488181593,4.95863688814439,0.259461591649239,19.1112559536283,2.03511475146562e-81,1.71661929286125e-78
"Gadd45b",1101.81316839052,3.48910961593664,0.183868014511569,18.9761640990425,2.68497773075767e-80,2.13155643848856e-77
"Tnf",4423.54360266666,6.45705346475166,0.341367516028049,18.9152545616587,8.54070972098671e-80,6.40363435524648e-77
"Psme2",1961.06990944928,2.77119917453262,0.146969514369609,18.8556054391213,2.64295960731114e-79,1.87733594001427e-76
"Gbp2",1606.10128859807,5.64989085076942,0.30075853784038,18.7854712000494,9.93008675254627e-79,6.70082254061822e-76
"Cxcl3",6713.28985622684,5.58944501423056,0.297856408785076,18.7655690774937,1.44442439242687e-78,9.28283409533001e-76
"Ifi35",747.90100065903,4.19827629497984,0.225643309942029,18.6058088584963,2.88307432708095e-77,1.76863505083111e-74
"Sp100",726.744682425929,3.45395899267267,0.18709022225537,18.4614618072245,4.21770624188286e-76,2.47487667132396e-73
"Slc7a2",1472.0926880048,4.62676689906767,0.251533009957443,18.3942731804882,1.460055322349e-75,8.21037776267588e-73
"Inhba",3390.43626896958,5.14378604620447,0.280280860822522,18.3522557734029,3.16687338163798e-75,1.70960492634345e-72
"Oasl2",509.302651147118,5.00280903876326,0.273944302098591,18.2621394219135,1.65670562214093e-74,8.59957656785155e-72
"Rigi",613.865502819972,4.73499514003942,0.260947062935962,18.145424159081,1.3955360948365e-73,6.97561301330127e-71
"Tnfrsf1b",1492.63997379098,2.57053175124885,0.14245945044852,18.0439538630521,8.80153466411808e-73,4.24233970810492e-70
"Ifi211",350.964783201555,6.26622323129745,0.349911875961406,17.9080038769207,1.02133111931492e-71,4.7530637194049e-69
"Parp14",1544.64290834511,4.67771359546694,0.261896462010337,17.8609270226885,2.37659131019344e-71,1.06914921074569e-68
"Gbp3",1312.81430088657,5.36209982019766,0.301370875166797,17.7923623748643,8.09921557334171e-71,3.52603268960709e-68
"Gbp5",395.035723335659,5.73683331691925,0.32334971523383,17.7418845498926,1.99142652786243e-70,8.39884138125978e-68
"Bcl2a1a",325.203883063919,3.45165418766261,0.194686260064785,17.7293158054093,2.49046563318705e-70,1.01852497531795e-67
"Malt1",566.096644944446,3.4473204703039,0.195196318612035,17.6607863038425,8.40604577993821e-70,3.3367057013543e-67
"Stat1",1780.01200562217,3.90798014956292,0.223931574869985,17.4516709036316,3.34308494774935e-68,1.28909355585215e-65
"Ifi47",834.774951125216,5.29191566679356,0.303661093262581,17.4270454273098,5.14358057026409e-68,1.92827120489678e-65
"Tnip1",569.115626158799,2.62175848107119,0.150506420157172,17.4195790341257,5.86067331239254e-68,2.13772018983918e-65
"H2-M2",1351.45370600888,4.72785492636847,0.27219474613159,17.3693834784116,1.40729864035377e-67,4.99813222374065e-65
"Tarm1",478.610904583286,5.74728616119377,0.332116226428576,17.3050447519455,4.30946176942088e-67,1.49129477025908e-64
"Clic4",2134.36883541844,2.98036264754935,0.179124146002573,16.6385309521953,3.66499514088407e-62,1.23656936053429e-59
"Usp18",954.208204663322,5.99453491907332,0.362057111112649,16.5568766227277,1.42817989195396e-61,4.70115020044161e-59
"Acsl1",777.418393034338,4.42432911925832,0.267595714191949,16.5336322093885,2.10093058194691e-61,6.75099026998942e-59
"Stat2",709.448608792896,3.73071754638509,0.228153753103942,16.3517693468994,4.22530767789211e-60,1.3261570330426e-57
"Jak2",709.860433008392,3.43434671936854,0.211870322816506,16.209663881727,4.30918870533513e-59,1.32174569925461e-56
"Nfkb2",938.218295746062,3.8717029421503,0.239040342169676,16.1968599400769,5.30685600613226e-59,1.5915850813058e-56
"Aftph",407.070072648957,3.11814497008311,0.193485893151327,16.1156191766621,1.98169067725475e-58,5.81410812613697e-56
"Pde4b",257.01329938202,4.62004482665494,0.289606476489065,15.9528366998705,2.72244776617979e-57,7.81747979837498e-55
"H2-T22",585.272301138222,2.54704607501456,0.160283743908629,15.8908571318781,7.3318157681717e-57,2.06146220015094e-54
"Cav1",479.960743590969,5.09401525928039,0.320628244717605,15.8876061083358,7.72207016708514e-57,2.12687875459145e-54
"Uba7",390.308182139737,3.29968718074494,0.208611599244024,15.8173715781025,2.36147265648262e-56,6.37408699437789e-54
"Clec4e",2467.14414197491,6.01942851410655,0.382435115302748,15.739737992787,8.07774429133567e-56,2.13759288148757e-53
"Sp110",353.441693994436,4.14629045784056,0.263561835368321,15.7317558972308,9.16342612075814e-56,2.37826151780292e-53
"Ifit1",1331.89888786072,6.14819005805985,0.395733324585344,15.5361948971622,1.97359029789103e-54,5.02558012459194e-52
"AA467197",807.518323080012,4.46464583131343,0.287462489306956,15.5312292816961,2.13252320516871e-54,5.23282421399217e-52
"Nfkbib",619.224795291252,2.98707763767359,0.192322245719372,15.5316283173617,2.11929355537944e-54,5.23282421399217e-52
"Nfkbie",456.565800814475,3.84712038244437,0.24805174901904,15.5093459234148,2.99918447298111e-54,7.22803457988448e-52
"Etnk1",592.316102918975,2.97864560956581,0.194008483233605,15.3531719846458,3.37283366129306e-53,7.98592334961598e-51
"Fabp3",129.366198815993,5.90664008520063,0.387272774020343,15.2518857028931,1.59946305348705e-52,3.72178506376917e-50
"Slc2a6",560.944382784465,4.03505760245228,0.264803333557868,15.2379411098708,1.98012325301907e-52,4.52944803775346e-50
"Adar",332.790750191902,2.993309541774,0.196945650816654,15.1986577482771,3.60941082041239e-52,8.11876807204761e-50
"Traf1",645.403030950269,5.3066425356974,0.354221240267915,14.9811528289035,9.75108299736261e-51,2.15738714971157e-48
"Hck",598.816121589714,2.7657200487282,0.185033331941912,14.9471450343684,1.62570850625375e-50,3.53880032264527e-48
"Phlda1",248.257961359183,3.58515151210378,0.241084817623063,14.8709136786422,5.09137204467086e-50,1.09068503356949e-47
"Psmb10",1015.41030164391,2.76702709874829,0.186756389312073,14.816237928677,1.15050003651003e-49,2.42611695199054e-47
"Slc15a3",1329.3364131903,1.80846063534679,0.122298997075332,14.787207406393,1.77152753318178e-49,3.67823624428021e-47
"Cmpk2",2240.69106818071,6.71950171804199,0.455379624003551,14.7558242921945,2.82222021260623e-49,5.77101272565661e-47
"Morrbid",137.598038600578,4.31922948350474,0.293272603757927,14.7276950801375,4.28058178289395e-49,8.62249727491593e-47
"Parp10",324.506385220152,3.07594738994482,0.209082620394439,14.711635927185,5.42791696727353e-49,1.07728187338711e-46
"Ifi203",269.477500076881,5.29237973289437,0.360763483495677,14.6699429820695,1.00429414772848e-48,1.96434113300632e-46
"Lmo4",418.478030557522,3.19937826198666,0.219149919900595,14.5990391574767,2.84831362395476e-48,5.49154866698479e-46
"Dennd3",190.098357186774,3.10181733027456,0.212970410086851,14.5645459808695,4.72110653599213e-48,8.97409208588026e-46
"Helz2",1050.48244406648,4.81650656215916,0.331343180367967,14.5363081165886,7.13376373113267e-48,1.33718437938009e-45
"Cxcl2",15672.2413749317,6.49780793577438,0.447859752753515,14.5085775085276,1.06914776744038e-47,1.97660524238020e-45
"Susd3",89.4093574447956,-4.10517670483952,0.283564584291227,-14.4770430873815,1.69221760506344e-47,3.08623902674813e-45
"Epsti1",758.127508481149,3.16227067335897,0.21889635537275,14.4464290781546,2.64023705029149e-47,4.75101856409786e-45
"Ifih1",712.930971131873,4.74865713915055,0.32971703674254,14.4022195093866,5.01081220014159e-47,8.89814755961986e-45
"Sh3bp5",226.190686413309,3.53085586389294,0.245329023786545,14.3923283490707,5.78162221958512e-47,1.01336069448728e-44
"Gbp7",261.370117161982,4.7933459016692,0.334982102885012,14.309259689956,1.91541437651314e-46,3.31415800325914e-44
"Tap1",1280.4817273735,3.85744015921885,0.269910680302435,14.2915432427371,2.47072922359092e-46,4.22088121539027e-44
"Mcoln2",186.584403870423,3.09485583379388,0.217240884864863,14.2461941992138,4.73385836278466e-46,7.98601905801772e-44
"Nlrp3",587.350815877392,4.21224995858079,0.296093336992617,14.2260883050057,6.31147654371929e-46,1.05160107943254e-43
"F10",1584.12271678118,3.04443478479628,0.214272656747511,14.2082281099622,8.14606490801687e-46,1.34072307315361e-43
"Tmem86a",74.1296531077393,-3.66524471781656,0.258165978781154,-14.1972413837052,9.52902700075309e-46,1.5494427518333e-43
"Flnb",237.562198969259,3.43052025561414,0.242678244821434,14.1360848317424,2.27599369017622e-45,3.6567631955498e-43
"Tlr2",588.575324236539,4.06400285306698,0.288754741059272,14.0742376667428,5.4691471787267e-45,8.6837188616583e-43
"Slfn1",307.641037228955,5.30464592946082,0.37722129241767,14.0624244603546,6.46334003395441e-45,1.0142934546308e-42
"Usb1",274.06701825339,2.81972365364073,0.200685254450714,14.0504775069721,7.65163626200948e-45,1.18697106887448e-42
"Cept1",97.8000600230961,3.28019242512256,0.23422472013368,14.0044672622533,1.46373201699206e-44,2.24483264787782e-42
"Dok2",91.4364255775894,-2.68594785342023,0.193543611814508,-13.8777396383118,8.6426678646441e-44,1.31057803933974e-41
"Slfn9",139.354501112574,4.91304276342293,0.354809652492733,13.8469816954136,1.32670737842066e-43,1.98947141990724e-41
"Rnf213",1437.68890525398,5.07995595561114,0.369765783919847,13.7383072650992,5.98589852280804e-43,8.87754796305685e-41
"Mov10",210.685821133149,3.44611045479384,0.252245657804716,13.6617235943136,1.71867020004103e-42,2.52121445866888e-40
"Ms4a6c",188.298757945353,4.1095017870227,0.30194925198893,13.6099088173047,3.49679809447281e-42,5.07449323473172e-40
"Ddx24",379.838036532605,1.74928930157723,0.128813037315975,13.5800640837795,5.25804143238586e-42,7.5492050182425e-40
"Cd274",1269.3120362708,3.30091920016928,0.243313094290418,13.5665497567891,6.32289923434892e-42,8.98251032281822e-40
"Ralgds",534.749938533566,3.31997235203676,0.244769712866346,13.5636566843121,6.57736155252328e-42,9.24667411592231e-40
"Ifit3b",289.374030806789,6.61270733621501,0.487653287501157,13.5602640353354,6.8887673588959e-42,9.58461899749062e-40
"Rab32",317.429471447139,2.77891985761489,0.205678912561934,13.5109614447135,1.34750073243681e-41,1.85570100867012e-39
"Gvin-ps7",360.608980115805,3.04826499076101,0.225981590720577,13.4889969622797,1.81553690833408e-41,2.4749985974623e-39
"Icam1",706.604649748677,4.03282906456798,0.299051762572939,13.4853880474433,1.9065972085785e-41,2.57314359269754e-39
"Parp12",329.288405853281,3.98576559984481,0.295842241748372,13.4726047784444,2.26724161401504e-41,3.02957354680663e-39
"Cxcl1",2362.94687216735,6.04724664422573,0.449045943078741,13.4668773595074,2.45010636517809e-41,3.24182701023955e-39
"Gas7",106.555475356481,2.70992263312411,0.201808167828163,13.4282108711852,4.13275869399001e-41,5.41511760525138e-39
"Adam17",449.636497376533,1.55347404290862,0.115847576935489,13.4096377671644,5.30975322744192e-41,6.89042591899578e-39
"Nfkb1",1149.20044142085,3.20154836490496,0.23882799123345,13.4052476360508,5.63349305883211e-41,7.24091641161887e-39
"Mthfr",225.377137092172,3.97479645967669,0.296676197836223,13.3977598764797,6.23157801968686e-41,7.93409216544281e-39
"Tnfsf15",187.622267033823,6.66699853547278,0.498218619434517,13.3816727745741,7.73859180712142e-41,9.76075093728137e-39
"Jpt1",663.408561920044,1.3920002233611,0.105320046830329,13.2168591379723,7.01318209002104e-40,8.76388013767815e-38
