"","baseMean","lgFC_cDC_Treatment_6H_vs_cDC_Naive","lfcSE","stat","pvalue","padj"
"Ccl3",6257.96876278863,4.93460326751242,0.186320122983315,26.4845427777777,1.46057181326191e-154,1.7940203582296e-150
"Oasl1",1648.85471379966,4.31325307781956,0.171903324923186,25.0911556233535,6.21144625701079e-139,3.81475971874318e-135
"Ccl4",4751.64660266997,5.61738542216878,0.239858381279386,23.4195919784253,2.69924675014211e-121,1.10516159439985e-117
"Tnf",4423.54360266666,6.25453920023089,0.307197585932834,20.3599881204743,3.78675504825554e-92,1.16281780644307e-88
"Slc15a3",1329.3364131903,2.35071630033511,0.122740300487087,19.1519516491849,9.32265721662781e-82,2.29020397183679e-78
"Igtp",919.168488181593,3.5607575880292,0.206569920202828,17.2375415768808,1.38815799062303e-66,2.84179076647045e-63
"Parp14",1544.64290834511,3.92297543961959,0.228432397478341,17.1734634969698,4.19617243072851e-66,7.36308370951976e-63
"Slc7a2",1472.0926880048,4.33142340634743,0.255107191309252,16.9788369513139,1.17797345008209e-64,1.80863098591979e-61
"Acod1",3307.45621273203,4.07507193382038,0.24823809641007,16.4159812404003,1.46985224138733e-60,2.00602167566229e-57
"Parp10",324.506385220152,2.58615009955102,0.161452060560891,16.018068091337,9.55738193005997e-58,1.17393322246927e-54
"Ccl5",10725.2741684399,3.33847883384556,0.209316872183456,15.9494014936338,2.87640275865233e-57,3.18620655477951e-54
"Trafd1",598.299162577612,2.86342044133332,0.179587079399488,15.9444680035343,3.1127964387653e-57,3.18620655477951e-54
"Ifit3b",289.374030806789,5.71564048608373,0.362690073705278,15.7590209946806,5.95483003032939e-56,5.6263982509643e-53
"Cd40",1360.51306496009,3.69155033494451,0.235439908677823,15.6793737972267,2.09307497501694e-55,1.83637427986665e-52
"Rigi",613.865502819972,3.15314545103272,0.20351979483402,15.4930652008777,3.86419336695931e-54,3.16425914175742e-51
"Oasl2",509.302651147118,3.18230109098533,0.209898425449802,15.1611479893945,6.39418553618131e-52,4.90873630880719e-49
"Stat2",709.448608792896,2.80674852236788,0.185200168801415,15.1552157891254,6.99851830910356e-52,5.05663531710112e-49
"Usp18",954.208204663322,4.43194891481046,0.292788388866688,15.1370378175359,9.22774078593047e-52,6.29690778186578e-49
"Ifit1",1331.89888786072,5.34105389961076,0.356604477433697,14.9775289924783,1.02974969297819e-50,6.65706077834268e-48
"Sp100",726.744682425929,2.13635783359849,0.142691192653287,14.9718969606585,1.12078197872847e-50,6.88328252236091e-48
"Zc3h12a",313.770297379851,2.22298189094409,0.150327528518374,14.7875902228538,1.76148230149843e-49,1.03029938615739e-46
"Ccrl2",1042.03157210815,4.20487823699297,0.288282996188791,14.5859391382185,3.45139494192453e-48,1.92697654871177e-45
"Ifi211",350.964783201555,4.5961755972838,0.316406324079412,14.5261812027823,8.27042655458529e-48,4.41676736391179e-45
"Ifi208",96.1060194886751,3.2817280618827,0.226136851447988,14.5121329888044,1.01514129911493e-47,5.19540857376197e-45
"Pnp",1489.28801126256,1.73040418924089,0.119841659576627,14.4390873370246,2.93705467960989e-47,1.44303370518593e-44
"Mx2",305.336860432885,5.33413901320244,0.373709266612985,14.2734994546616,3.20103879995602e-46,1.51224459922537e-43
"Cxcl1",2362.94687216735,5.92108527617655,0.417836190971551,14.1708291529484,1.38851325834378e-45,6.31670679712467e-43
"Ifih1",712.930971131873,4.20151738880179,0.297910663187083,14.1032796337448,3.62522494084774e-45,1.59030849815831e-42
"Slfn9",139.354501112574,3.71189185285663,0.265362692898152,13.9879943646837,1.84543137698654e-44,7.81635641500883e-42
"Mov10",210.685821133149,2.82583491670566,0.204056319907395,13.8483087315702,1.30242646306225e-43,5.33256808193119e-41
"Gbp2",1606.10128859807,3.59860887821325,0.260620118986541,13.807870598045,2.28486217105942e-43,9.05321356358802e-41
"Parp12",329.288405853281,3.72921159265261,0.27283066127713,13.6685941939078,1.56387306922648e-42,6.00282903415902e-40
"Tnfsf15",187.622267033823,7.91603824323532,0.581288730636782,13.6180831074492,3.1266709517263e-42,1.16378482727437e-39
