"","Naive_CD11c_M4","Naive_CD11c_M2","Naive_CD11c_M1","Naive_CD11c_M3","CD11c_6H_M2","CD11c_6H_M1","CD11c_6H_M3","CD11c_6H_M4","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"H2-DMa",0.76,1.6,1.34,1.81,-0.07,-0.78,-0.59,-0.38,0,-1.55,-0.38,-1.16,0.22,-0.84,0.03
"Mmp9",1.68,1.81,1.08,1.23,-0.57,-0.85,-1.01,-0.26,0,-0.08,-0.56,-1.1,-1.19,0.13,-0.34
"Celsr1",1.45,0.8,0.53,0.93,-0.24,0.11,0.44,0.42,-1.03,-1.29,-1.36,-1.37,1.42,0.26,-1.08
"Pkd1",1.52,0.82,0.7,0.6,0.19,0.29,-0.14,-1.24,-1.46,-1.04,-1.66,-0.84,0.66,0.96,0.65
"Cd28",0.57,0.49,1.59,0.98,-0.08,0.92,-0.46,-0.39,-1.47,-1.65,-1.21,-0.85,1.25,0.24,0.07
"Pgf",1.21,1.12,1.66,0.91,-0.35,0.24,0.04,-0.24,-1.07,-1.6,-1.38,-0.97,0.49,-0.58,0.52
"Mdk",2.19,-0.17,0.94,0.96,0.97,-0.28,0,0.45,-0.82,-1.7,-1.03,-0.54,-0.04,-1.1,0.16
"Npb",2.2,0.62,0.3,1.07,0.44,-0.3,0.86,0.13,-1,-1.12,-1.15,-1.16,0.04,-1.23,0.31
"Dkk2",1.79,1.4,-0.08,0.72,1.55,0.59,-0.85,-0.21,-0.86,-0.25,-1,-1.01,0.17,-1.07,-0.89
"Bmp6",1.44,1.49,0.04,0.14,1.93,0.7,-0.31,0.22,-0.89,-1.01,-1.04,-0.57,-0.09,-1.13,-0.92
"Hmgb1",2.21,0.52,1.2,-0.27,0.97,0.22,0.05,0.06,-0.32,-1.06,-1.61,-1.23,0.35,-0.18,-0.92
"Celsr2",2.9,0.58,0.32,-0.22,1.07,0.38,-0.07,-0.78,-0.7,-0.8,-0.83,-0.83,0.08,-0.41,-0.71
"Kitl",-1.15,0.22,-0.21,-1.13,1.32,1.41,0.91,0.87,-1.01,-0.28,0.78,1.09,-0.7,-0.64,-1.48
"Yars",-0.35,0.67,0.48,-0.51,1.36,0.7,1.11,1.42,-0.92,0.08,-0.25,-0.48,0.19,-1.51,-1.98
"Bmp1",-0.27,-1.38,-0.21,0.39,0.57,1.24,1.04,1.15,-0.13,0.78,-0.1,0.63,-1,-2.32,-0.38
"Ccl17",-0.11,-0.02,-0.04,0.62,0.81,1.17,1.22,1.23,0.64,-0.6,-0.5,0.06,-0.75,-1.65,-2.07
"Osm",-0.03,-0.15,0.06,0.28,0.65,0.99,1.5,1.47,-0.02,-0.35,-0.08,0.27,-0.77,-1.88,-1.93
"Lta",-0.11,0.25,0.15,0.2,1.12,1.15,1.29,1.13,-0.21,-0.23,0.07,-0.06,-0.96,-1.79,-2.02
"Vcam1",-0.68,-0.18,-0.04,0.01,0.91,1.25,1.24,1.08,-0.28,0.3,0.57,0.5,-1.19,-1.47,-2.02
"Pvr",-0.51,-0.73,-0.36,-0.54,1.08,1.68,1.21,1.38,0.44,0.27,-0.07,0.06,-1.17,-1.43,-1.32
"Cxcl5",-0.64,-0.57,-0.09,-0.07,1.39,1.51,1.42,0.9,0.28,-0.01,0.02,-0.08,-0.86,-1.96,-1.25
"Thbs1",-0.32,-0.1,0.27,0.09,0.93,0.47,0.83,1.62,1.79,-0.5,-0.34,-1.04,-1.27,-1.54,-0.9
"Selp",-0.2,0.76,-0.46,0.13,0.41,0.07,1.77,1.74,0.32,-1,-0.11,-1.08,-0.55,-2.04,0.25
"Csf2",-0.57,-1,-0.79,-0.45,0.29,1.68,1.68,1.55,0.49,-1.14,0.13,0.32,-0.35,-1.27,-0.58
"Cxcl11",-0.59,-1.31,-1.12,0.18,1.35,1.61,1.11,1.57,-0.02,-0.82,0.08,0.06,-0.29,-0.7,-1.11
"Ebi3",-0.79,-0.7,-1.15,-0.8,1.39,1.48,1.39,1.4,0.93,-0.06,-0.37,-0.62,-0.65,-0.83,-0.63
"Cd70",-0.47,-0.35,-0.2,-0.19,1.05,1.5,1.53,1.52,0.73,-1,-0.61,-0.81,-0.48,-1.49,-0.74
"Prok2",-0.33,-0.43,-0.84,-0.64,0.86,1.98,1.15,1.55,0.78,-0.92,-0.95,-0.95,0.07,-0.49,-0.84
"Il23a",-0.54,-0.68,-0.61,-0.42,1.33,1.62,1.7,1.55,-0.1,-0.49,-0.89,-0.37,-0.34,-1.14,-0.61
"Il22",-0.05,-0.74,-0.4,-0.02,0.63,1.64,1.8,1.83,-0.61,-0.55,-0.69,-0.77,-0.23,-1.21,-0.63
