"","baseMean","lgFC_Treatment_48H_Wash_vs_Control","lfcSE","stat","pvalue","padj"
"Actb",15138.5836041335,-1.3003863505738,0.160239677089391,-8.11525818195683,4.84753087684576e-16,5.42390229810273e-12
"Gm13835",54.664859630551,-2.87728213690866,0.446052850987248,-6.45054085079913,1.11451684730762e-10,6.23516450226248e-07
"Flna",992.191896673511,-0.956854989339877,0.152260473516869,-6.28432952583629,3.29271623929861e-10,1.2280734000504e-06
"Psat1",61.9887084569287,-1.89378176314041,0.312676483202336,-6.05668115409537,1.38958634981163e-09,3.25268047417349e-06
"Srsf5",623.222858823775,-0.604513764444415,0.0999289079649457,-6.04943831325039,1.45351705879591e-09,3.25268047417349e-06
"Vasn",43.8989256215813,-1.92160601555143,0.348950589377235,-5.50681407067081,3.65385805891883e-08,6.81383630354046e-05
"Csrp1",240.168614083203,-1.19411123666143,0.222657230037994,-5.36300229935341,8.18499638993452e-08,0.00013083132086711
"Cln5",391.483838259092,0.963433154220569,0.187501614873411,5.13826590171511,2.7728534138834e-07,0.000387818210599267
"Tmem38b",110.106760967034,1.05840925029429,0.214809393555767,4.92720189175301,8.34155519328945e-07,0.00103704067841906
"Ppp1r1a",16.6129464708393,-4.24561843626212,0.866418516123209,-4.90019356379772,9.57422811800074e-07,0.0010712603841231
"Blvrb",1846.05153590213,-1.0181980769206,0.209716313592185,-4.85512099407103,1.20313259370668e-06,0.00122380459918037
"Nbdy",111.023547985816,1.02038985337844,0.213173095580106,4.78667277688895,1.69568964999657e-06,0.00158108929115097
"Lst1",265.736308382545,1.37291499893976,0.290510688118637,4.72586742963172,2.29135106665874e-06,0.00197214823729574
"Cybb",6349.19232786049,0.826241191530485,0.176445040896923,4.68271132660036,2.83105074732079e-06,0.00211177512078482
"Fibp",181.268348724884,-0.636921800620299,0.135885222471235,-4.68720431138219,2.76962437952594e-06,0.00211177512078482
"Ctla2a",6.8870336804416,-3.52345257011592,0.762658188465306,-4.61996294461369,3.83808585085026e-06,0.00268402141157272
"F3",20.1389323128043,-1.77360531424527,0.387178288763037,-4.58084909645015,4.63091910165813e-06,0.00287863076824738
"Shb",56.8889898217367,0.992391255412506,0.216111084585508,4.59204236245387,4.38929241243969e-06,0.00287863076824738
"Adam17",858.440543472527,0.582548728613101,0.128125087288097,4.54671868674092,5.44887499937371e-06,0.00290321249371393
"Gm6402",84.5275271756571,-3.95520289919359,0.868730871175685,-4.55285178693013,5.29235597040599e-06,0.00290321249371393
"Vcpkmt",32.111608879953,1.27925148890763,0.281084683173273,4.55112485840805,5.33598694047132e-06,0.00290321249371393
"Alox12",7.85410727901479,-3.56781822619209,0.78745785973303,-4.53080527687117,5.87592793896403e-06,0.00298844353223039
"Gm40932",30.4484380479476,1.84521923834763,0.409218851470158,4.50912569574569,6.50953344681657e-06,0.00316674651027959
"Gm15725",48.5884689521827,-2.78225607969881,0.619135173707675,-4.49377809216902,6.99705427806256e-06,0.00325145263554025
"Trib1",40.610865325277,1.06430946322871,0.237263080889118,4.48577780934281,7.26484188832839e-06,0.00325145263554025
"Mir6236",45.8602542228692,-2.50301932341607,0.559111396580843,-4.47678108284483,7.57768806156129e-06,0.00326102891233882
"Hamp",17.1265159970465,-5.58799530294753,1.25505760064686,-4.45238154811976,8.49230898035799e-06,0.0035192757474528
"Klk1b1",162.22384315569,-2.35951684288302,0.531108903390051,-4.4426234013821,8.88686340259768e-06,0.00355125409327377
"Ankrd66",45.169525928696,1.42298643072308,0.321476182540452,4.42641323994206,9.58128931467929e-06,0.00367265284945043
"Cirbp",40.1149613025476,-1.35997561085046,0.307651767171967,-4.42050316613419,9.84713428219796e-06,0.00367265284945043
"Slc7a1",46.2478871047013,-1.4328464268299,0.324958975024677,-4.40931482726732,1.03698182372241e-05,0.00374283536310647
"Gm49249",22.4799345284466,2.09417866595252,0.478170938367509,4.37956073428911,1.18918775914162e-05,0.00415806932407361
"Ifit1bl1",142.808603449184,-4.81227173905874,1.10639227784317,-4.34951674503721,1.36437865819397e-05,0.00451068573240371
"S1pr1",32.0840971067161,1.28666505629277,0.295886483153493,4.34850907205959,1.37066149702141e-05,0.00451068573240371
"5830432E09Rik",35.0838291521676,1.47374422318515,0.340340285197118,4.33020799266118,1.48968568422505e-05,0.00476231232022689
"Chn2",8.1082065867832,-2.71539775146435,0.631557707739111,-4.29952436363274,1.71165059347565e-05,0.00517612391632406
"Ms4a7",728.371508977115,2.00671910790049,0.466542067115052,4.30126080657508,1.69829030377703e-05,0.00517612391632406
"Aga",318.856671836639,0.841222283369982,0.196926249876737,4.27176307829217,1.93933559342032e-05,0.00556533379598335
"Gbp5",474.862162987201,-3.17992462499537,0.744415644917201,-4.271705795959,1.93983392656494e-05,0.00556533379598335
"Sec11c",886.869461454387,0.402683434925209,0.0947947754031554,4.24794967035498,2.15735843226788e-05,0.00603467087466134
"Acss2",93.2501580865229,-1.06737603129312,0.252333467349402,-4.23002165549108,2.33668816462062e-05,0.00622504854141432
"Itga2b",19.3858340749644,-2.22785431124665,0.526131923146992,-4.2344024630192,2.29160218825358e-05,0.00622504854141432
"Jpt1",876.158485876721,-0.555375324834162,0.131602993679188,-4.22008124061384,2.44214295966826e-05,0.00635468315714609
"Atp1b3",2378.78289331496,0.484621258026017,0.115697882891725,4.18867870278617,2.80583317356939e-05,0.00656225526347512
"Ccl12",17.9176419378768,-5.39497636107712,1.28615476581467,-4.19465565457035,2.73286432550739e-05,0.00656225526347512
"Cnn2",191.964784017028,-0.901675324020497,0.21530357768302,-4.18792541082612,2.81516000220579e-05,0.00656225526347512
"Cst7",199.01723480499,1.36977694641206,0.326690342339164,4.19289084765777,2.75421985097955e-05,0.00656225526347512
"Prg2",16.8670434343405,-1.76736544430215,0.421624092495565,-4.19180373171094,2.76745366601678e-05,0.00656225526347512
"Scp2-ps2",9.99164721797463,-2.77902671070236,0.670647327778542,-4.14379748579277,3.41601435529086e-05,0.00749446757281362
"Suco",55.5434913902812,-1.11494855223215,0.26885872043085,-4.14696815653005,3.3690689808829e-05,0.00749446757281362
"Zyx",2189.17945239254,-1.2074769930242,0.290942836166269,-4.15022074073048,3.32154791393102e-05,0.00749446757281362
"Vsig8",46.3890278987374,-2.6790176770861,0.647431192540741,-4.13791875947886,3.5047041201671e-05,0.0075411796924134
"Ctsk",658.371851233905,0.564870837063022,0.137524675965724,4.10741441924072,4.00112955041087e-05,0.00819885138769198
"Klk1b9",23.8262878749176,-4.76027143280629,1.15941788076105,-4.10574264188647,4.03017987597693e-05,0.00819885138769198
"Tstd3",58.9872616236766,1.11402676016325,0.271169530170496,4.10822985703008,3.98703197187278e-05,0.00819885138769198
"Retnla",32.7682293774504,-3.60851098008901,0.880662554774668,-4.09749564180381,4.17644028676712e-05,0.00834467685154236
"Rbm3",45.7560759751255,-1.20569124408179,0.294637559078564,-4.09211659183036,4.27453626095223e-05,0.00839083968838501
"Nrgn",22.8721791725524,-2.93300937140001,0.724265541355798,-4.04963263323218,5.12980976522044e-05,0.00989611059707784
"Cox6a2",17.0385312233868,-2.07558981534644,0.514495548007272,-4.03422308197914,5.47832535954364e-05,0.0103893190589718
"Pdlim4",61.0788339418587,-1.48797519516289,0.369663226712137,-4.02521832749569,5.69224786621127e-05,0.0106150935625063
"Bet1l",155.176147345947,-0.968399349905844,0.241983758345406,-4.00191879210156,6.28308651113152e-05,0.0115248286841067
"Ifi27",673.901152928312,1.18044162394134,0.296618348682326,3.97966487638151,6.90124837483954e-05,0.0124545271074322
"F2rl2",3.89196898545385,-3.31994923784864,0.835111369429492,-3.9754568784241,7.02442715170457e-05,0.0124756056191147
"Slco4a1",458.269432346998,1.6055995310258,0.405084119179153,3.96362003595531,7.38217177575145e-05,0.0129061124998255
"Bhlhe40",326.89279570568,-1.18161268691703,0.298474599153013,-3.95883834091783,7.53151913470851e-05,0.0129646411689621
"B430306N03Rik",58.8466660057932,-1.09145445892984,0.277381915147011,-3.9348436193159,8.32508837587961e-05,0.0141135475511692
"Cd5l",8.12489435804978,-2.55608288038563,0.650971971481984,-3.92656364999329,8.6168097423477e-05,0.0141784535598718
"Sowahc",135.133909420474,0.793187912350675,0.201828325404447,3.93001285008531,8.4941321976506e-05,0.0141784535598718
"Car2",525.376753024077,-0.829425761783979,0.212176663726925,-3.90912811623556,9.26298319739079e-05,0.0142151210161662
"Cd74",3423.86620135815,-1.51288504429311,0.385839679006279,-3.92101986034591,8.81749945502128e-05,0.0142151210161662
"Ciao2a",678.085604094275,0.465298638429997,0.118973565594416,3.91094136000104,9.19370933838966e-05,0.0142151210161662
