"","baseMean","lgFC_Treatment_48H_Wash_vs_Treatment_6H","lfcSE","stat","pvalue","padj"
"Edn1",305.086642953262,-8.20503277752922,0.455602281198718,-18.0092003840307,1.64994753863522e-72,2.26537797054616e-68
"Wars1",264.6940053746,-2.36375060767356,0.13775112802054,-17.1595735123207,5.33036221734989e-66,3.6592936622107e-62
"Ppp2r5a",1019.9285535518,-1.9637963744646,0.123109220692867,-15.9516595378659,2.77425708436837e-57,1.26968499227926e-53
"Cept1",168.651232324744,-3.05105326310639,0.191550788737253,-15.9281686242048,4.0401768980487e-57,1.38679072025522e-53
"Calhm6",298.699614765973,-6.0876938667051,0.39086884779487,-15.5747737407304,1.08034645430866e-54,2.96663136353158e-51
"1110038F14Rik",212.526893624683,-2.29557076875426,0.147690522401406,-15.5431149638375,1.77158959444446e-54,4.05398752195373e-51
"Jpt1",876.158485876721,-1.90270197510973,0.124765891957089,-15.2501773141984,1.64186656814786e-52,3.22040399723859e-49
"Etnk1",555.377489755159,-2.89703274242278,0.190162789754159,-15.2344880203327,2.08755981255798e-52,3.58277452830263e-49
"Gm16181",64.4065194546397,-5.65426946488283,0.374256183320223,-15.1080188300988,1.43386287717173e-51,2.18743747817421e-48
"Xkr8",71.8901782654276,-4.17287309251006,0.278610919768973,-14.9774211863995,1.03142109389159e-50,1.41614116191315e-47
"Cxcr4",237.963200539955,3.89445798110428,0.263405623605672,14.7850221563016,1.82997080799194e-49,2.28413629033903e-46
"Il27",669.285675972887,-8.0857771607232,0.569446161021184,-14.1993707468728,9.24387105395961e-46,9.76294996698965e-43
"Spryd7",468.664293056448,-2.80832804548057,0.197757659801882,-14.2008559784436,9.05001763315808e-46,9.76294996698965e-43
"Cd69",447.767504469177,-6.81112936702615,0.483549281146191,-14.0856984646554,4.65038057305769e-45,4.56069466200587e-42
"Max",375.919499988973,-2.10376049416459,0.1495440970871,-14.0678270499656,5.9881217054377e-45,5.48112740104398e-42
"Peli1",333.054705854593,-3.22275351931234,0.229282540865208,-14.0558173646852,7.09578883224165e-45,6.08907379166737e-42
"Zfp207",400.213816404357,-1.6829267848609,0.120140100775069,-14.0080354020323,1.39202687400303e-44,1.12426641059186e-41
"Tnf",4519.76414270669,-6.47490395133101,0.464166157293079,-13.9495390812017,3.16645090440337e-44,2.41529838430324e-41
"Kremen1",133.926023326563,-1.90892641277131,0.137679763349944,-13.8649745345607,1.03262743141151e-43,7.46209191225264e-41
"Gatad2a",399.488133769263,-1.61407758648171,0.116608937480485,-13.8417999628188,1.42590774521814e-43,9.78885667092253e-41
"Vps54",120.044320755987,-2.0181921894139,0.148647256154696,-13.5770564598487,5.47842125324467e-42,3.58184399081187e-39
"Tnfsf10",54.4178705229026,-6.16345641982637,0.462053783361881,-13.3392618819856,1.36807375971629e-40,8.53802396404755e-38
"Gtpbp2",333.912769189618,-1.89431900448916,0.143060777136927,-13.241358270241,5.06249032634216e-40,3.02208661655121e-37
"Car2",525.376753024077,-2.63271710130262,0.202631367059382,-12.9926434367443,1.34693082784049e-38,7.70556677760415e-36
"Dcbld2",267.259224349999,-3.58351578062384,0.279199840557431,-12.8349492373249,1.0447142695925e-37,5.73757076860199e-35
"Fabp3",219.365820001304,-5.91479867261456,0.462858712482574,-12.7788426859033,2.1524856643718e-37,1.11627654193387e-34
"Flnb",338.1799344997,-3.46845254616687,0.271453927060924,-12.7773157814306,2.19515416112268e-37,1.11627654193387e-34
"Fam20c",1921.68650374316,-1.71430636718683,0.135645372727505,-12.6381485244665,1.30081017438079e-36,6.37861560508867e-34
"Lap3",543.34646887207,-2.75684733080777,0.220198288179096,-12.519839975166,5.81522725002106e-36,2.75320931526859e-33
"Abracl",559.611292743686,-2.6103661485159,0.209988518871763,-12.4309946207584,1.77413077185176e-35,8.11960516584155e-33
"Pfkp",562.516747907119,-1.44053586497725,0.116794176113921,-12.3339700052523,5.94441918615834e-35,2.63280243309529e-32
"Coro1a",657.441077641125,2.18591832296914,0.178058685659472,12.276392554922,1.21286820451798e-34,5.20396264000996e-32
"Camkk2",329.379919251636,-1.67094512316384,0.137449334262542,-12.1568076857482,5.27812174227495e-34,2.19601853095258e-31
"Setdb2",90.7407218313752,-2.81891575077327,0.232257012887075,-12.1370533261092,6.72028180943264e-34,2.71380791892677e-31
"Anxa7",749.227504215693,-1.3824512695304,0.114569323192425,-12.0665046367473,1.58734411120652e-33,6.22692418481872e-31
"Serpina3g",115.912897688419,-6.63978578755982,0.55152058693456,-12.0390533823312,2.21482503911828e-33,8.44709660752611e-31
"Irf1",981.219405235104,-3.88525942676802,0.327952072984626,-11.847034206581,2.22942131389065e-32,8.27296071343746e-30
"Tmem229b",140.619840526851,-2.4229827084101,0.204618814345012,-11.8414463311505,2.38307452773186e-32,8.61042454362065e-30
"Ypel3",195.653778447961,3.40270941941673,0.290196057844418,11.7255535608999,9.42826745321979e-32,3.3192336444284e-29
"Arel1",270.331805515524,-2.38143554471829,0.206498334240811,-11.5324685473789,9.05106255305359e-31,3.10677722133564e-28
"Plekha4",25.0111058172369,-5.45562070824597,0.474520458083453,-11.4971243395506,1.36383862597818e-30,4.56719617919035e-28
"Dync1h1",566.052149592395,-1.55874703514614,0.135617042798971,-11.4937400416312,1.41835438813218e-30,4.63666803548926e-28
"Zyx",2189.17945239254,-3.31074033167054,0.28849361082062,-11.4759572049209,1.74238740615108e-30,5.56348350847775e-28
"Ext1",77.6237577773483,-3.16117508707589,0.276050145932147,-11.4514523308852,2.31238424612719e-30,7.21568993166509e-28
"Samhd1",2619.11810486052,-2.57820125500592,0.225272009957521,-11.4448362026516,2.49575414222629e-30,7.6148231939482e-28
"Aida",226.475644587453,-2.39131492302984,0.210324822543421,-11.3696276745279,5.92397395964997e-30,1.76817744491291e-27
"Dnajc13",310.354723374199,-1.31977178620309,0.116287152142563,-11.3492484929471,7.48028428008629e-30,2.18519793969329e-27
"Nub1",711.15897751165,-2.08951143434985,0.184553197938033,-11.3220006897493,1.02114471650992e-29,2.92089936618359e-27
"Fblim1",480.826577557653,2.51994586570938,0.225085544914576,11.1955028772094,4.28961377067661e-29,1.20196728717122e-26
"Il15",469.603281832007,-5.21186449406603,0.467003327659635,-11.1602298856949,6.38263164268127e-29,1.75267064908028e-26
"Tor1aip1",1292.98991698016,-2.58704159970938,0.233131746573645,-11.0969082406464,1.29858646607029e-28,3.49599846649904e-26
"Riox2",150.644926218658,-2.1304767942328,0.192189692765288,-11.0852812321973,1.47884964789742e-28,3.90473185877531e-26
"Gnb4",114.412033994285,-3.52974333416693,0.31975748751126,-11.0388137010947,2.48289490583892e-28,6.43210321833367e-26
"Tra2a",168.624021949064,-2.3783261352189,0.216630733192436,-10.9787106389296,4.83779232140554e-28,1.23005349209071e-25
"Ankrd17",267.244619394233,-1.79083051056109,0.163548725194886,-10.9498286117921,6.6573460109154e-28,1.66191564963397e-25
"Vcam1",41.1202623358507,-5.57403997788856,0.509151964309778,-10.9476941436235,6.81606630218682e-28,1.67115339873259e-25
"Fam241a",318.414078615796,-2.68982275444521,0.246119608228715,-10.9289250612881,8.38356214599191e-28,2.01940891692051e-25
"Csrp1",240.168614083203,-2.28842130239862,0.210915671000212,-10.8499349125951,1.99567409001361e-27,4.72424228549772e-25
"Fubp1",163.606503399209,-1.67308984649715,0.15547408053363,-10.7612139641196,5.24742998810029e-27,1.22113921587486e-24
"Gtf2f1",242.702684695083,-1.47523204918816,0.13732811189285,-10.7423893684579,6.4356865383222e-27,1.47269960285273e-24
"Ccl4",3391.58726223888,-5.6350666797068,0.526602688179381,-10.7007936081543,1.00910224752219e-26,2.2713071899147e-24
"Xrn2",306.8248048734,-1.35477597313643,0.127049431045232,-10.6633769391231,1.51012587547979e-26,3.34419810811895e-24
"Nbeal2",108.605423250869,3.00106110987863,0.281959481963707,10.6435899547614,1.8679083410163e-26,4.07085420986568e-24
"Sec24b",283.880126067499,-1.82364630506169,0.172013641414583,-10.6017539659333,2.92443333547833e-26,6.27382339001835e-24
"Mbnl2",373.526652804587,-1.24352889611819,0.117461576436257,-10.586686590172,3.43537390636116e-26,7.2565667283598e-24
"Gm12216",28.9090464151174,-3.96597727930357,0.375334141279994,-10.5665241797042,4.25991539858041e-26,8.86191491250138e-24
"Ppfia1",141.16190730623,-1.88628174617487,0.179514502598788,-10.5076844425806,7.96245587052649e-26,1.63170924033326e-23
"Rbl1",94.8238113584204,-2.1920284465301,0.208848963824967,-10.4957592625033,9.03484014866889e-26,1.82424051825329e-23
"Septin11",177.503440578162,-2.87606803014647,0.274201067035537,-10.4889016707354,9.71511154065963e-26,1.93316639787329e-23
"Calcrl",159.67695234258,-2.50200892801592,0.2397568732226,-10.4356087664396,1.70517234301259e-25,3.34457375279469e-23
"Tnfsf15",178.41247996752,-5.41326825171138,0.51952462388149,-10.4196567455602,2.01679750730655e-25,3.90008870074915e-23
"AI467606",129.465772527931,1.81926845239433,0.17468323652343,10.414671084654,2.12530956328565e-25,3.99732880875507e-23
"Naa25",206.49332573712,-2.89491846658953,0.277951791175949,-10.4151819074157,2.11393069942889e-25,3.99732880875507e-23
"Retreg1",186.883048758519,1.88313038474598,0.181182894058796,10.3935329796359,2.65338521736074e-25,4.92310527491391e-23
"Fzd1",196.900743393093,-4.04513708176716,0.3902458925552,-10.3656109108054,3.55479614919546e-25,6.42201988532285e-23
"Mcmbp",330.188886382654,-1.53253480152031,0.147830527567577,-10.366835772941,3.50953822678565e-25,6.42201988532285e-23
"Slc25a25",110.738456834893,-2.21159258021372,0.213787263325919,-10.3448285263006,4.41706314328403e-25,7.87613986458307e-23
"Tfg",442.123374392071,-1.68268677150044,0.162685899119792,-10.3431629944855,4.4945314230459e-25,7.91152774851542e-23
"Hdac5",151.668159264857,2.67963682923186,0.25932744523982,10.3330244384808,4.99600159390732e-25,8.68292428915791e-23
"Mtfr2",35.7777264484593,-2.61122537701935,0.253140787265498,-10.3153087466725,6.00878656584104e-25,1.03125799436247e-22
"Mapkapk2",2914.19055632868,-2.52679066145874,0.246558403107154,-10.2482439438927,1.20513043087354e-24,2.01785863608459e-22
"Rmdn3",198.418458993916,-2.37365382235707,0.231597086103983,-10.2490660063458,1.19492570943598e-24,2.01785863608459e-22
"Irf2bp2",94.8600408965114,2.33131999614306,0.229505422966599,10.1580170351022,3.0522089606758e-24,5.04901554579261e-22
"Def6",134.327815389282,1.61301271115498,0.15891284500828,10.1502978634039,3.30353591116652e-24,5.3997081024186e-22
"Rgs14",158.395017570148,-2.29352585376643,0.226569070238293,-10.1228550364541,4.37465081705519e-24,7.06634773154914e-22
"Usp25",465.543412619345,-2.32506777162204,0.229784070720596,-10.1184897818665,4.57418846198891e-24,7.30274506780323e-22
"Ythdf1",184.39487812467,-1.59886172106673,0.158410671537532,-10.0931440132676,5.92410820773519e-24,9.34919605657518e-22
"Fmnl1",220.321367835595,1.82667278730132,0.181179193092644,10.0821333626719,6.62713549039162e-24,1.03398375321678e-21
"Mafk",82.5931028005898,-2.2253727061335,0.220933287924936,-10.072600317656,7.30215026299987e-24,1.12650025967402e-21
"Idh1",562.678336348813,2.65246570308607,0.263926476431207,10.0500174857502,9.18511216991364e-24,1.40123988992127e-21
"Rasgef1b",304.216848275122,-4.04262933765027,0.402767008690333,-10.037141201797,1.04663537624197e-23,1.57915425448377e-21
"Psmb6",1662.57507852202,-1.59328555150706,0.159297908124607,-10.001923881265,1.4946466185413e-23,2.23059761658392e-21
"Aftph",578.816171834882,-2.78046190295156,0.278178702426479,-9.99523643865731,1.59905178135406e-23,2.36075064064422e-21
"Tmem86a",237.864459207085,3.79054938550201,0.379365184936651,9.99182195945308,1.65511196758236e-23,2.41751992711763e-21
"Chpf2",596.720250333823,-1.42635995711209,0.142862395417234,-9.98415260325406,1.78822458559073e-23,2.57340126216596e-21
"Ncoa5",129.835120323314,-1.79945607355569,0.180242301831812,-9.9835391318671,1.79931916364117e-23,2.57340126216596e-21
"Iigp1",62.3599538825081,-5.91662645831267,0.593056740107007,-9.97649307087397,1.93173904449001e-23,2.73430691555132e-21
"Gbp5",474.862162987201,-7.26907760298439,0.730442181413211,-9.95161258201253,2.48129412151173e-23,3.47634370289348e-21
"Pnpt1",68.8738217218427,-2.217691234229,0.2238068993138,-9.90894937121472,3.80627559600242e-23,5.2788044376882e-21
"Sh3bp5",208.201150048212,-2.56491986529851,0.258890020409564,-9.90737248674479,3.86681535982875e-23,5.30913748904487e-21
"Nfkb1",999.03160366397,-3.02667945702194,0.306219264173338,-9.88402694125954,4.88302566326832e-23,6.6380140947202e-21
"Ppp6r1",517.758990694386,-1.67377182251671,0.170211025441234,-9.83351001016434,8.07540843815806e-23,1.08701331231285e-20
"Rcn1",30.022834085276,-4.2930210279359,0.436782445758893,-9.82873984433358,8.46716039391808e-23,1.12868070105335e-20
"Susd3",143.647591349606,4.07759662521822,0.415481581578772,9.81414533400958,9.78637393156014e-23,1.29198955846462e-20
"Arrb1",216.390219566187,2.64612923124233,0.269662579051162,9.81274168834632,9.9235012373289e-23,1.29761592370025e-20
