"","baseMean","lgFC_Treatment_6H_vs_Control","lfcSE","stat","pvalue","padj"
"Ppp2r5a",1019.9285535518,2.13018801490718,0.131608266771357,16.1858222675932,6.3495940952776e-59,7.82079504715342e-55
"Camkk2",329.379919251636,2.25854521297756,0.157972591739697,14.2970700683264,2.28217343395527e-46,1.40547650930135e-42
"Cept1",168.651232324744,3.26299544513156,0.229080699290274,14.2438688865574,4.89408048132065e-46,2.00934630961422e-42
"Etnk1",555.377489755159,2.88615250883961,0.203968433026199,14.1499959872167,1.86767941026051e-45,5.75105182404467e-42
"Edn1",305.086642953262,7.37342425409042,0.52750613354937,13.9778929288987,2.12692243787261e-44,5.23946073345539e-41
"1110038F14Rik",212.526893624683,2.40962099650737,0.172686906133638,13.9536983460844,2.98705442934408e-44,6.1319249010385e-41
"Tnf",4519.76414270669,6.40600498402548,0.473533114137869,13.5281035111736,1.06741987425565e-41,1.87820151302954e-38
"Spryd7",468.664293056448,2.8786349997906,0.213195005891931,13.5023566229773,1.51452860727033e-41,2.33180610696858e-38
"Calhm6",298.699614765973,5.91643554845406,0.446569440379765,13.2486350687649,4.59484049123199e-40,5.87569925727021e-37
"Wars1",264.6940053746,2.04942671235529,0.154722519194411,13.2458204728438,4.77039803301957e-40,5.87569925727021e-37
"Peli1",333.054705854593,3.21377616003503,0.249836514874165,12.8635166146698,7.2214986773616e-38,8.08610901900571e-35
"Kremen1",133.926023326563,2.18718705183058,0.172025343135593,12.714330411808,4.92308451541217e-37,5.05313599802764e-34
"Calcrl",159.67695234258,3.55866992926042,0.287245140317929,12.3889647891749,2.998895682526e-35,2.84133831705175e-32
"Adam17",858.440543472527,1.55204119276952,0.128384988458361,12.0889615788134,1.20803924893052e-33,1.06281567350552e-30
"Cxcr4",237.963200539955,-3.26111124855653,0.272161682462414,-11.9822570872257,4.40173845171568e-33,3.38851328186137e-30
"Dcbld2",267.259224349999,3.67342493229089,0.306455953671079,11.9867957802301,4.16714798470209e-33,3.38851328186137e-30
"Vps54",120.044320755987,2.13770364098119,0.182153533152287,11.7357242760369,8.36075313427334e-32,6.05761155028498e-29
"Xkr8",71.8901782654276,4.27654630414278,0.366277500848553,11.6757002388499,1.69662848956447e-31,1.16096517255364e-28
"Coro1a",657.441077641125,-2.11574235373877,0.182373811549116,-11.6011303145297,4.06671171034545e-31,2.63629937559605e-28
"Pfkp",562.516747907119,1.47156823600263,0.12704364870454,11.5831704379413,5.01561175079389e-31,3.08886449672642e-28
"Il27",669.285675972887,6.74682319338596,0.595593881072548,11.3278920549624,9.54748308651292e-30,5.5998261512657e-27
"Lap3",543.34646887207,2.62448579950348,0.231892151511665,11.3176999842164,1.0724886908773e-29,6.00447418433442e-27
"Fam241a",318.414078615796,3.00069143653988,0.266492359903032,11.2599529593709,2.06869110905185e-29,1.10782906044311e-26
"Gtpbp2",333.912769189618,1.74656324134413,0.157079207991724,11.1189969931358,1.01405583624453e-28,5.20421905625996e-26
"Sh3bp5",208.201150048212,3.17844757429361,0.289406849651235,10.9826273224838,4.63251387921697e-28,2.28234693801262e-25
"Gm16181",64.4065194546397,5.46567105330926,0.503173561999186,10.8623971251457,1.74117608835469e-27,8.24848687702491e-25
"Max",375.919499988973,1.74348485270788,0.161414127056323,10.8013151296201,3.39308330781789e-27,1.49259311079975e-24
"Ypel3",195.653778447961,-3.22513151093101,0.298581889837758,-10.8014974139372,3.38635293885951e-27,1.49259311079975e-24
"Cd69",447.767504469177,5.35445534341594,0.501796412187394,10.6705731913769,1.39761540792295e-26,5.93600999289207e-24
"Abracl",559.611292743686,2.34012918698666,0.220059974481819,10.6340518874322,2.0692255581176e-26,8.49555039977817e-24
"Flnb",338.1799344997,3.05947768539904,0.287894181358765,10.6270910754754,2.22958507949397e-26,8.8586449755249e-24
"Dnajc13",310.354723374199,1.37646576546684,0.131185512436271,10.4925135398279,9.35071863164096e-26,3.59915004331005e-23
"Fblim1",480.826577557653,-2.39105478669054,0.22987286117672,-10.4016401694864,2.43701794438576e-25,9.09598485484832e-23
"Mapkapk2",2914.19055632868,2.5842202899642,0.249323541936954,10.3649269133906,3.5803206063383e-25,1.29702379141967e-22
"Fabp3",219.365820001304,5.17968700198782,0.501701755737179,10.3242353504963,5.47533159620784e-25,1.92684740772834e-22
"Jpt1",876.158485876721,1.34732665027557,0.130796533287691,10.3009354790167,6.97793828341263e-25,2.38742405102204e-22
"Klhl21",101.76328588697,-2.41148600903428,0.235877372945614,-10.2234732349266,1.55661429270163e-24,5.18184276843405e-22
"Erp29",811.960141798414,-1.19293286625597,0.11738560234173,-10.162514332747,2.91461399467671e-24,9.44718436116659e-22
"Fam20c",1921.68650374316,1.40721642547782,0.13917609929841,10.1110494730894,4.93527389501674e-24,1.54607094765554e-21
"Riox2",150.644926218658,2.21024883305549,0.218633824110334,10.1093636451242,5.02093349892194e-24,1.54607094765554e-21
"Rbl1",94.8238113584204,2.52216953718541,0.250605815879412,10.0642897226257,7.94587960424847e-24,2.38705851428118e-21
"Ccl4",3391.58726223888,5.33354324521453,0.532188583629665,10.0219046580037,1.22126382661053e-23,3.58150156008618e-21
"Zfp207",400.213816404357,1.30712666781228,0.130707112294446,10.000424956736,1.51744473787002e-23,4.34659693868489e-21
"Tor1aip1",1292.98991698016,2.35633991525585,0.238161580966599,9.89387081531977,4.42576622137821e-23,1.23891278519808e-20
"Hdac5",151.668159264857,-2.65330600405689,0.269493278364231,-9.84553685406151,7.16556399350613e-23,1.96129448240033e-20
"Hivep3",304.136493283825,2.90221433802678,0.295258330568688,9.82940712438803,8.41124837692445e-23,2.25220317953431e-20
"Sap30",350.920653030907,2.69320125762664,0.275224476163253,9.78547146377032,1.29988048262276e-22,3.40651657541798e-20
"Tnfsf10",54.4178705229026,5.13604284962228,0.525903199341488,9.7661372968512,1.57336673052142e-22,4.03732458746506e-20
"Naa25",206.49332573712,2.93783348660733,0.302116934120102,9.72416026649946,2.37859827096924e-22,5.97901936806696e-20
"Mbnl2",373.526652804587,1.26117964263254,0.130126764361037,9.69193116285739,3.26299609638432e-22,8.03806458383313e-20
"Setdb2",90.7407218313752,2.60077930672675,0.268530069135974,9.68524424506742,3.48374832005853e-22,8.4135937368943e-20
"Tra2a",168.624021949064,2.32418090186551,0.240556800962369,9.66167197338598,4.3864555148412e-22,1.03899947262113e-19
"Ankrd17",267.244619394233,1.73069002735835,0.179200214367009,9.65785690308286,4.55288492657878e-22,1.05807327623907e-19
"Arel1",270.331805515524,2.1359470371983,0.222117449742636,9.61629552146031,6.8244770181533e-22,1.55661265615915e-19
"Il15",469.603281832007,4.65682472099684,0.487265476698695,9.55705861319706,1.21150955126752e-21,2.71312057144764e-19
"Rmdn3",198.418458993916,2.41604782109237,0.253396888357767,9.5346388692871,1.50408139019467e-21,3.30817330054067e-19
"Irf1",981.219405235104,3.17995576917443,0.33455035091607,9.50516345437101,1.99734087125092e-21,4.31600833529783e-19
"Aftph",578.816171834882,2.74274555115356,0.288757262137307,9.498447003038,2.13043705483194e-21,4.52424020764915e-19
"Plagl2",386.57081576436,1.98996918201529,0.209674181075891,9.49076882906735,2.29336476227014e-21,4.78769047065785e-19
"Nudt9",508.247783519429,1.17308132255767,0.124360856047988,9.43288233803248,3.98971681239131e-21,8.19022366303729e-19
"Slc43a2",333.561512330894,-2.10658343324951,0.223672375705046,-9.41816541541738,4.59038100850772e-21,9.26880702980158e-19
"Dync1h1",566.052149592395,1.35922439885219,0.144414091399859,9.41199287186401,4.86817730239735e-21,9.67118384413358e-19
"Scd2",190.288275994997,-2.68204456275267,0.287241835542377,-9.33723514782717,9.8882480536348e-21,1.93323097264476e-18
"Usp25",465.543412619345,2.239538115049,0.240981212512908,9.29341375493762,1.49417462396872e-20,2.87558575678481e-18
"Gatad2a",399.488133769263,1.17608372153476,0.126710951337958,9.28162648229163,1.66910873777791e-20,3.1290993911113e-18
"Ikzf1",144.314912006505,2.15217668899472,0.231887047248723,9.28114232566985,1.6767115353848e-20,3.1290993911113e-18
"Slc25a25",110.738456834893,2.26828412943626,0.245356065542573,9.24486673855095,2.35534023436493e-20,4.32995905472728e-18
"Lacc1",240.602144238009,2.43996166232408,0.26455128187462,9.22301961659163,2.8884895996495e-20,5.23198917630631e-18
"Nsd3",224.857008309874,1.40436568019777,0.152385611713698,9.21586798389009,3.08769933067593e-20,5.51176705158484e-18
"Samhd1",2619.11810486052,2.08934909569609,0.227596309020247,9.18006581341451,4.30828036723833e-20,7.58072704046778e-18
"Bcl2a1a",384.69741883265,3.04157292212506,0.333871836817875,9.11000146377791,8.23808597262329e-20,1.4291338721803e-17
"Mknk2",402.195602518522,-2.28335478351706,0.251651545962765,-9.07347806977079,1.15277208639686e-19,1.97204080390974e-17
"Lnpk",72.5172801360413,3.17938718578189,0.350701333759742,9.06579724604075,1.23696311139106e-19,2.08707871821968e-17
"Fzd1",196.900743393093,3.79941868506239,0.419344280201927,9.06038037107089,1.29996434537769e-19,2.16373795162392e-17
"Aida",226.475644587453,2.05464679717292,0.226937192751364,9.05381252082385,1.38061763620233e-19,2.26734232334722e-17
"Pik3r5",815.619500024269,1.93309221962768,0.213547353330145,9.05228835423265,1.40003018886767e-19,2.26896997845831e-17
"Arrb1",216.390219566187,-2.5110636476481,0.277709754588192,-9.04204337860471,1.53770043027408e-19,2.45972158437479e-17
"Dennd3",251.159872005502,2.78011570721353,0.307549781039401,9.0395632792122,1.57298981937758e-19,2.48391225708636e-17
"Tcof1",211.709401326576,1.67027993951612,0.185370088823436,9.01051485769665,2.05091362543087e-19,3.19760799043444e-17
"Tmem229b",140.619840526851,2.03577649368638,0.226489190728303,8.98840464368343,2.50844980206957e-19,3.86207202651137e-17
"Tnfsf15",178.41247996752,5.10104209569648,0.567748573882382,8.98468500028896,2.59476496445954e-19,3.94564445274668e-17
"Susd3",143.647591349606,-3.81030409395155,0.424192173244118,-8.98249504419489,2.64694907187911e-19,3.97591118516281e-17
"Nrp2",2332.21181331865,2.11580243945431,0.237070214625541,8.92479235654415,4.46536086898898e-19,6.62648793052256e-17
"Nfkb1",999.03160366397,2.78680176607061,0.312488229638734,8.91810155311262,4.74349349834877e-19,6.95542969275736e-17
"1700017B05Rik",130.849508169476,-1.70113168162947,0.191194033652985,-8.89740986749097,5.71650775990305e-19,8.2408667312413e-17
"Atp6v1e1",1793.98790981302,1.11789323928106,0.125652784864775,8.89668494402345,5.75395420059066e-19,8.2408667312413e-17
"Lyn",396.545481926028,1.41374370614401,0.159590643925066,8.85856257844174,8.10527348957643e-19,1.14750176518521e-16
"Dram1",313.291994271523,1.48547363245479,0.16868250464169,8.80632900021365,1.29311130428103e-18,1.80991499259425e-16
"Themis2",478.730129925993,2.5703669564017,0.291947138762266,8.8042204054439,1.31765229826361e-18,1.82354195030482e-16
"Pnpt1",68.8738217218427,2.37260585481607,0.270080045946262,8.78482468596789,1.56608591452862e-18,2.14327557880545e-16
"Mcmbp",330.188886382654,1.40677980255322,0.16050527736205,8.76469500364125,1.87282985921812e-18,2.53490608527359e-16
"Ubxn2a",193.493875662708,1.67031196531192,0.191705365699614,8.71291191676477,2.96166780704127e-18,3.9650937368834e-16
"Rasgef1b",304.216848275122,3.67723220937092,0.422587483122828,8.70170640691245,3.26930492694189e-18,4.32989556829498e-16
"Tmem86a",237.864459207085,-3.3578105350743,0.385935906807872,-8.70043568334235,3.30612389541384e-18,4.33207744891619e-16
"Plek",641.099860514583,2.93851669932398,0.338603800684549,8.6783334781926,4.01610015391437e-18,5.20697953639613e-16
"Rgs14",158.395017570148,2.15284677328877,0.24875518931534,8.65447984910045,4.95164653526267e-18,6.35306566404482e-16
"Slc2a6",897.165053371219,3.37092233852865,0.390310150001152,8.63652236181587,5.79500612762781e-18,7.35846293546307e-16
"Pstpip1",159.020047022382,-1.77946652573836,0.206395677152137,-8.62162691724736,6.60094686698951e-18,8.29631250619487e-16
"Sec24b",283.880126067499,1.59958033106746,0.185602316527708,8.61832094013044,6.7943023770162e-18,8.45307296744531e-16
"Cst7",199.01723480499,2.80609284478349,0.326354281463756,8.59830253244318,8.09037950375434e-18,9.96492043477422e-16
"Srsf5",623.222858823775,-0.892313933873517,0.103812310390295,-8.59545395453347,8.29362754165305e-18,1.0114119844608e-15
"Tank",527.585741731224,2.22620612059576,0.25928894201378,8.58581204160051,9.01970316270016e-18,1.08917337112723e-15
"H2az2",99.1963471622363,-1.87773398896626,0.218760411791841,-8.58351825902118,9.20146924947542e-18,1.10033491986203e-15
"Car2",525.376753024077,1.80329133951864,0.210151894511791,8.58089499363265,9.41377888161185e-18,1.11489917773859e-15
"Rab12",273.4899668259,1.90543420792431,0.222521431631953,8.56292445159112,1.10040043371898e-17,1.29082210877302e-15
"Mtpn",808.32144436591,1.81144424190024,0.211580898287412,8.56147344378685,1.11434088132586e-17,1.294843078801e-15
"Marchf5",996.271170367015,2.99633536240514,0.350115015766845,8.55814583057047,1.14697222714414e-17,1.32030438520882e-15
"Fubp1",163.606503399209,1.49555908848646,0.175257225853618,8.53350885364132,1.41974584170659e-17,1.61916754928704e-15
"Batf2",198.360079165362,4.42736738525315,0.519720344914546,8.51874941701793,1.61285382338081e-17,1.82252482042031e-15
"Dok2",165.10361450952,-2.39985496202858,0.282270213496688,-8.50197735106308,1.86388184075833e-17,2.08703933023822e-15
"Prpf38a",212.597384741393,2.32776420161717,0.274836685738613,8.46962695449988,2.4618017207863e-17,2.73171277431755e-15
"Rnf145",235.081151063577,2.06612951159416,0.245083983885408,8.43029184869218,3.44804191992834e-17,3.79192252926405e-15
"Sav1",133.989884868538,1.58043766464892,0.187829471695658,8.41421556681865,3.95532766917404e-17,4.3113071593997e-15
"Rassf4",1099.91703898449,2.15096347051023,0.256004282421808,8.40206050524644,4.38711678141078e-17,4.74001029795058e-15
"Inpp5d",295.249873339768,-2.16728413649026,0.258114486449721,-8.39660015329063,4.59591741409788e-17,4.9224273729951e-15
"Zcchc2",376.292712631525,1.96552066183953,0.236950283051498,8.29507623509505,1.08515590510975e-16,1.15222976579628e-14
"Abhd4",265.986170167865,-1.28303719457146,0.154846769525595,-8.28585057668501,1.17267938875713e-16,1.23452068643774e-14
"Slfn9",150.828185337484,4.0712295225489,0.491640209663484,8.28091242849228,1.22235055837384e-16,1.27590608707547e-14
"AI467606",129.465772527931,-1.5660844894079,0.189289337223564,-8.27349555119548,1.3008765794057e-16,1.3464619183647e-14
"Hspa1b",87.910363619529,2.39688079219734,0.291187918041931,8.2313881987789,1.85056191961013e-16,1.8994475969865e-14
"Ifih1",900.841889748233,3.93242591693471,0.478465589451831,8.21882702461428,2.05503192975217e-16,2.09188663460805e-14
"Ppfia1",141.16190730623,1.65195223614603,0.201104979923942,8.21437756922181,2.1326756018049e-16,2.15312831044516e-14
"Hnrnpm",539.312688398039,0.999445034718141,0.121718413924332,8.21112436890168,2.19126767531508e-16,2.19429625665495e-14
"Xrn2",306.8248048734,1.14493769037472,0.139671242489098,8.19737599501975,2.45691042076005e-16,2.44046497197593e-14
"Ankib1",194.046705798226,1.50538074922671,0.184025886203095,8.18026626735188,2.83217343104853e-16,2.79071041201798e-14
"Sbds",1024.89240615979,2.4649755119026,0.301984487146656,8.16258985748996,3.27916464878318e-16,3.20551356976685e-14
"Tfg",442.123374392071,1.40639883054063,0.172353540042657,8.15996486171709,3.35122069146808e-16,3.25015631943405e-14
"Magohb",58.8092566381414,2.18511481991673,0.267822334754261,8.15882223535117,3.3830711444748e-16,3.25541306925751e-14
"Mob1a",828.758067860431,1.07071058744175,0.131805788613841,8.12339578331169,4.5331801265326e-16,4.32830849755829e-14
"Mtmr14",306.953542222982,2.3131015629725,0.284900924349391,8.11896826328229,4.70163435551239e-16,4.4546177197574e-14
"Appl2",80.0395992734673,-2.33561284326874,0.287844331803037,-8.1141526346502,4.8918622231549e-16,4.59947076355717e-14
"Gng12",1333.60618660941,1.26771783123034,0.156491904927401,8.10085244868387,5.45754105580325e-16,5.08593297515339e-14
"Tnfaip2",2545.90976552238,2.43634407185124,0.300779859238598,8.10009047154509,5.49183312247626e-16,5.08593297515339e-14
"Plekha4",25.0111058172369,4.67588965886813,0.577861780065238,8.09170950593107,5.88330898083445e-16,5.4078146803685e-14
"Anxa7",749.227504215693,0.979938188864055,0.121128837565897,8.09004865031373,5.96409050818886e-16,5.44145946587868e-14
"Atp1b3",2378.78289331496,0.937243662589624,0.116017550891864,8.07846446839062,6.55873778830247e-16,5.90432912804445e-14
"Nbeal2",108.605423250869,-2.40175660856041,0.297309454228228,-8.07830553116793,6.56728984770715e-16,5.90432912804445e-14
"Arhgap45",267.88754062205,-2.04650942690996,0.253584114325548,-8.07033765641437,7.01040210665525e-16,6.24997798397129e-14
"Caml",151.954607397305,1.80842224763429,0.224103252443779,8.06959393901688,7.05323487677201e-16,6.24997798397129e-14
"Abr",939.720093520674,1.25553795159248,0.155650540655966,8.06638991616219,7.24073093840316e-16,6.3702916405937e-14
"Aldh1b1",307.923395533303,2.45865815429391,0.305366782491374,8.05149182970929,8.17908770118083e-16,7.14481015712371e-14
"Irf2bp2",94.8600408965114,-1.97792589135021,0.246080303459883,-8.03772534225868,9.15214868257469e-16,7.93852220586426e-14
"Snx10",297.62737886648,2.00226807293264,0.249238869081251,8.03353056573175,9.47070475250182e-16,8.15738954101853e-14
"Ppfibp2",834.065457784138,2.16528253002602,0.269587839686766,8.03182566595681,9.6032766735259e-16,8.21413602693184e-14
"Fmnl1",220.321367835595,-1.538456748607,0.191939140063209,-8.01533625763019,1.09836103895146e-15,9.33000890811386e-14
"Serpina3g",115.912897688419,4.372393511135,0.546083720018863,8.00681901116549,1.17713532847776e-15,9.93066838415107e-14
"Pkp4",192.639770919939,1.81356507439406,0.227138873902806,7.98438877164681,1.41220292046527e-15,1.18327233818848e-13
"Slc26a11",57.4846564667304,-4.37318565450125,0.548084609426439,-7.9790338558817,1.47483121651256e-15,1.22739838471521e-13
