"","baseMean","lgFC_Treatment_48H_Wash_vs_Naive","lfcSE","stat","pvalue","padj"
"Ccl5",20156.032639082,5.23522809123895,0.233265653309341,22.4432016328454,1.49113995347684e-111,1.72450335619597e-107
"Irf7",1893.78636725301,4.10879332555308,0.295519513396739,13.9036278123434,6.02105206409258e-44,3.48167335606154e-40
"Ms4a6c",370.476339054826,3.51562441660881,0.402989400104576,8.72386324726285,2.68867783308018e-18,1.03648530465241e-14
"Ly6e",3299.60496159464,2.07521390658683,0.241979079036736,8.57600547472036,9.82248744226779e-18,2.83992668174567e-14
"Flna",1031.52417234651,-1.07064934636169,0.129862383603383,-8.24449172003184,1.65863742257923e-16,3.83642835842576e-13
"Aoah",324.65603919581,3.04719672946896,0.375194742604913,8.12164026689924,4.59924862176169e-16,8.86505171844565e-13
"Rtp4",965.567488131758,3.4427148466916,0.42608402195166,8.07989661504412,6.48217041958178e-16,1.07094715574947e-12
"Lox",150.899210932329,2.79290968173268,0.347031895195404,8.04799132414062,8.41639131370907e-16,1.21669456928807e-12
"Psat1",65.7395643242998,-2.14314121757496,0.267185510269123,-8.02117306217795,1.04740035309462e-15,1.34590945372659e-12
"H2-T22",861.703194609535,1.31449641219548,0.167851423705615,7.83130928040799,4.82815330977812e-15,5.23708610803173e-12
"Oasl2",609.365427293279,2.50653676031634,0.32057779810847,7.8188095841504,5.33252017333698e-15,5.23708610803173e-12
"Ppp1r1a",18.6611064408712,-4.59190054828007,0.587467436324238,-7.81643417890772,5.43407118861917e-15,5.23708610803173e-12
"Lgals3bp",2903.33574060748,1.74735181629863,0.226240646577063,7.72342124518919,1.13248131493405e-14,1.0074728005548e-11
"Phf11d",686.127718002644,2.3453573277469,0.306511389275376,7.65177872604199,1.98218111882479e-14,1.63742318851491e-11
"Actb",14928.818275217,-1.21915257925308,0.160318775115441,-7.60455273173841,2.85890885484273e-14,2.20421872708375e-11
"Vsig8",51.8316919390389,-3.0793577210335,0.407110968769522,-7.56392717774407,3.91078732606271e-14,2.8267659641197e-11
"H2-K1",9299.3821688633,1.2193710050264,0.168659288275949,7.22978863180869,4.83746343400108e-13,3.29089791848367e-10
"Ly6i",167.775552710563,4.33764294236054,0.60640349170509,7.15306392805213,8.48620583035067e-13,5.45238724600031e-10
"Il2rg",1026.86016102561,1.34070585215433,0.188882151829933,7.09810767806945,1.26476630691901e-12,7.68340754953752e-10
"Slpi",2158.58953744187,3.2088955547548,0.452512634755152,7.09128388534629,1.3287345524492e-12,7.68340754953752e-10
"Tnfrsf1b",3006.35530179089,1.12559309751285,0.159809700149588,7.0433340182683,1.87693556862293e-12,1.03365523100591e-09
"Nupr1",90.5926066163062,2.51551542784689,0.359604994851052,6.99521826410896,2.64846289496926e-12,1.39224879001452e-09
"Il18bp",230.221630721545,1.86793323744588,0.273925039679546,6.81914015466092,9.15870167288255e-12,4.60523412377768e-09
"Clec4a1",142.254275337149,2.99125697605451,0.440134251598527,6.796237659738,1.07386576771307e-11,5.17469066816735e-09
"Ifi211",582.626567223777,2.21502160885959,0.329106724615253,6.73040519439126,1.69191259816871e-11,7.82678767912844e-09
"Vmp1",697.707408243097,0.896628509199133,0.134856730741345,6.64874867031193,2.95595242725747e-11,1.31483037773972e-08
"Clmp",319.714143358762,1.5680359742612,0.237211693963723,6.61028108715838,3.83590971688696e-11,1.58436770984992e-08
"Osbpl3",219.886520341609,1.67994497128334,0.254009478644688,6.61370977274935,3.74806235449719e-11,1.58436770984992e-08
"Fyb",381.059656791305,1.81385287043599,0.274737081530973,6.60214070968611,4.05262571655611e-11,1.6161591866197e-08
"Vwf",90.9703691878031,-1.63487983396202,0.253552844316716,-6.44788599539384,1.13421027187899e-10,4.28646250481839e-08
