"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Ifi27l2a",0.92,0.19,0.25,0.1,-0.44,1.04,0.75,1.17,-0.7,-1.6,-1.67
"Cdkn2d",1.04,0.16,1.23,0.06,-0.39,0.5,0.34,0.93,-0.48,-1.67,-1.72
"Cebpd",1.63,0.63,0.21,0.32,-0.11,0.33,0.07,0.09,0.39,-2.08,-1.48
"Ifitm3",0.69,0.8,0.65,0.46,-0.18,-0.19,0.58,0.68,0.3,-2.16,-1.62
"Luzp1",0.97,0.76,0.79,0.33,0.06,-0.65,0.5,0.62,0.27,-1.77,-1.88
"Gm10134",1.02,0.36,0.8,1,-2.08,0.9,0.22,0.17,-0.64,-0.71,-1.04
"Cd200r4",0.53,0.94,1.22,0.98,-1.68,0.53,0.34,0,-0.41,-1.36,-1.09
"Irf8",0.51,0.53,1.93,0.4,-1.13,0.1,0.56,0.45,-1,-1.18,-1.17
"Fbxw17",1.67,0.83,0.93,0.92,-1.12,0.22,-0.22,-0.03,-1.14,-1.01,-1.07
"Cdc42se1",1.74,0.83,0.94,0.72,-1.23,0.15,-0.13,-0.03,-0.61,-1.42,-0.96
"Sgk1",0.86,1.17,1.02,0.83,-1.14,0.25,0.38,0.21,-0.74,-1.3,-1.54
"Rtp4",0.91,0.98,1.02,1.05,-0.67,0.27,0.21,0.26,-1.29,-1.31,-1.43
"Oas3",0.79,1.17,1.13,1.05,-0.8,0.07,0.25,0.17,-1.17,-1.33,-1.34
"Cep192",1.07,1.08,0.93,1.32,-0.65,-0.09,0.21,-0.31,-0.95,-0.98,-1.63
"Oas2",1.25,1.04,1,1.15,-0.73,-0.17,-0.04,0.02,-0.69,-1.34,-1.48
"Oasl2",0.88,1.23,1.17,1.18,-0.51,-0.19,-0.06,0,-0.97,-1.26,-1.46
"Gm7160",0.91,1.21,1.13,1.24,-0.63,-0.35,-0.11,0.1,-0.78,-1.58,-1.12
"Shisa5",1.8,-0.07,0.2,0.1,-0.09,0.42,0.53,0.85,-2,-0.88,-0.87
"Il2rg",1.03,0.26,0.28,0.08,0.51,0.96,0.53,0.77,-1.87,-1.37,-1.17
"Golph3l",1.35,-0.21,0.19,-0.15,0.44,1.24,0.53,0.54,-1.93,-1.15,-0.84
"Cybb",0.89,0.63,0.74,0.81,-0.43,0.78,0.58,0.14,-2.07,-0.91,-1.16
"AB124611",1.02,0.34,1.23,0.4,-0.48,0.46,0.85,0.21,-1.8,-0.75,-1.48
"Lgals3bp",0.52,0.77,0.89,0.57,-0.1,0.32,0.7,0.76,-1.92,-1.3,-1.22
"Ccl5",0.84,0.85,0.87,0.78,0.1,0.34,0.32,0.42,-1.34,-1.5,-1.67
"Ms4a6c",0.82,0.67,0.99,0.66,-0.34,0.64,0.44,0.53,-1.35,-1.62,-1.42
"Ggps1",1.11,0.5,0.18,1.22,0.35,0.44,0.38,-0.03,-1.39,-0.74,-2.02
"Mtus1",0.46,0.46,1.28,1.16,0.31,0.34,0.34,-0.14,-1.78,-0.94,-1.49
"Trim25",0.75,0.39,0.71,1.3,0.47,0.65,0.24,-0.14,-1.45,-1.29,-1.62
"Rnf149",1.33,0.67,0.82,0.84,-0.43,0.59,0.17,0.17,-1.5,-1.22,-1.44
"Msr1",1.35,0.44,1.09,1.17,-0.7,0.61,-0.32,0,-1.18,-1.08,-1.38
"Bcor",1.73,0.56,0.37,0.87,-0.62,0.48,0.11,0.01,-2,-0.89,-0.63
"Alas1",1.42,0.91,0.41,0.81,-1.16,0.63,0.15,0.42,-1.44,-1.02,-1.14
"Ms4a6d",1.31,0.18,0.78,0.96,0.11,0.38,0.27,0.28,-1.82,-1.02,-1.44
"Vhl",1.23,0.31,1.02,0.85,0.4,0.32,-0.48,0.33,-2.01,-0.79,-1.18
"Ell2",1.19,0.96,1.04,0.88,0.15,0.04,-0.07,-0.22,-1.84,-0.78,-1.33
"Atp1b3",1.08,1,1.09,0.88,-0.03,0.02,0.06,-0.02,-1.81,-1.04,-1.23
"Rhoq",1.66,0.87,0.6,0.94,-0.11,0.11,0.14,-0.34,-1.52,-1.04,-1.3
"Git2",1.59,0.73,0.89,1,-0.05,-0.27,-0.23,0.14,-1.42,-0.93,-1.46
"Hk1",1.57,0.95,1.02,0.23,0.13,-0.4,-0.14,0.5,-1.6,-1.13,-1.12
"Cmklr1",1.59,0.71,0.71,0.31,0.28,0.16,-0.01,0.45,-1.44,-1.1,-1.67
"Kmt2e",1.2,0.56,0.97,0.69,0.32,0,0.01,0.59,-1.66,-1.18,-1.5
"Eif4e",1.05,-0.16,1.08,1.23,1.16,-0.27,-0.44,-0.17,-1.7,-0.68,-1.1
"Man1a",1.27,0.45,0.6,0.79,0.9,0.29,-0.48,-0.41,-2.26,-0.36,-0.79
"Arfgef1",1.13,0.28,0.56,0.42,1.53,0.28,-0.29,-0.36,-2.08,-0.51,-0.97
"Srfbp1",1.24,0.79,0.56,1.02,0.78,-0.02,-0.4,-0.2,-1.85,-1.4,-0.54
"Pilra",1.29,0.81,0.89,0.92,0.77,-0.01,-0.41,-0.38,-1.61,-1.12,-1.15
"1810037I17Rik",1.01,0.57,0.79,1.24,0.9,-0.12,-0.42,-0.19,-1.92,-0.95,-0.92
"4930453N24Rik",0.83,1.11,1.27,1.14,0.42,-0.13,-0.79,-0.41,-1.47,-1.18,-0.79
"Mrpl32",0.86,0.88,1.25,1.27,0.49,-0.02,-0.75,-0.45,-1.39,-1.27,-0.87
"Sod2",1.25,1.07,1.07,1.04,0.46,-0.24,-0.62,-0.52,-1.28,-1.09,-1.14
"Gsap",0.9,1.12,1.03,1.15,0.61,-0.29,-0.53,-0.22,-1.34,-1.23,-1.2
"H2-M3",0.62,0.9,1,1,0.96,-0.05,-0.12,-0.16,-1.48,-1.53,-1.14
"Ifnar2",1.03,0.94,0.99,0.97,0.35,0.34,-0.05,-0.46,-1.4,-1.48,-1.23
"Mrpl39",0.85,0.55,0.83,1.33,1.14,0.17,-0.55,-0.76,-0.93,-1.17,-1.44
"Ube2d2a",0.4,0.89,0.96,1.17,1.16,0.09,-0.11,-1.05,-1.12,-1.46,-0.93
"Usp15",0.56,0.42,1.16,0.92,1.17,0.36,-0.46,-0.52,-1.95,-0.57,-1.1
