"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Acvrl1",-2.03,0.46,0.18,0.11,-1.44,-0.14,0.04,-0.18,0.45,1.16,1.39
"Cd36",-0.22,-1.79,-0.11,0.54,-1.51,0.2,0.22,-0.37,0.27,1.5,1.27
"Il6st",-0.65,-0.87,0.09,-1.14,-0.62,0.11,-0.36,-0.17,-0.07,1.55,2.13
"Dag1",-1,-0.53,-0.69,-0.47,-1.22,0.41,0.17,-0.17,-0.02,1.59,1.94
"Cd151",-1.26,-0.63,-1.37,-0.66,-0.73,0.33,0.51,0.32,0.54,1.52,1.44
"Adrb1",-0.91,-1.03,-1.07,-1.07,-0.68,0.35,0.55,0.35,0.59,1.17,1.75
"Itpr3",-1.99,-0.67,-0.26,-0.57,0.61,0.29,0.07,0.3,-0.63,1.75,1.09
"Ifngr1",-1,-1.51,-0.35,-0.96,0.03,1.1,0.59,0.49,-0.85,1,1.47
"Adipor1",-1.47,-0.96,-0.5,-1.22,0.25,0.42,1.1,1.09,-0.66,0.64,1.3
"Xpr1",-1.68,-1,-0.96,-0.83,0.24,0.84,0.91,0.98,-0.36,0.62,1.22
"C5ar2",0,-0.65,-1.52,-1.53,0.14,0.62,0.22,0.14,-0.35,1.48,1.46
"Dlg3",-0.81,-1.25,-1.25,-0.81,-0.45,0.8,0.81,0.6,-0.31,1.2,1.47
"Kcnj10",-0.54,-1.09,-1.13,-1.13,-0.78,1.28,0.7,0.52,-0.22,0.98,1.4
"Scarb1",-0.11,-1.2,-1.44,-1.1,-0.62,0.53,0.46,0.71,-0.01,1.44,1.34
"Vdr",-0.33,-0.69,-1.82,-1.27,-0.44,0.92,0.47,0.93,0.1,1.25,0.89
"C5ar1",-0.74,-0.41,-1.69,-1.14,-0.57,0.53,1.57,1.17,0.3,0.72,0.25
"Dchs1",-0.9,-1.02,-1.05,-1.06,-0.69,-0.28,1.24,1,0.55,1.3,0.91
"Plxnb2",-1.43,-0.71,-0.99,-1.46,-0.1,0.67,1.15,1.26,0.33,0.64,0.65
"Sort1",-1.42,-0.83,-1.26,-1.21,0.09,1.11,0.69,0.7,0.13,1.1,0.9
"Rasa3",-1.48,-0.73,-0.86,-1.26,-0.2,1,0.92,0.72,-0.31,0.97,1.23
"Kcnj2",-1.2,-1.11,-1.18,-0.95,-0.47,1.15,1.14,0.9,0.04,0.83,0.84
"Cnr2",-1.36,-1.14,-1.32,-0.74,0.14,0.96,1.02,0.91,-0.26,1.02,0.79
"Fgfr1",-1.88,-0.48,-1.04,-0.61,-0.29,0.2,0.85,0.84,-0.14,1.33,1.2
"Cd22",-1.57,-0.99,-0.6,-0.83,-0.96,0.79,1.2,1.05,0.31,0.64,0.95
"Itgb3",-1.59,-1.5,-0.5,-0.6,-0.51,0.75,1.23,0.87,0.13,0.74,0.97
"Ccr1",0.08,-0.71,-1.08,0.02,0.11,-0.36,-0.26,0.29,2.71,-0.81,0.01
"Rpsa",-0.78,-0.08,0.11,-0.12,-0.91,-0.87,-0.27,-0.33,2.67,0.69,-0.11
"Gfra2",-0.62,-0.5,-0.86,-0.32,-0.95,-0.25,-0.05,-0.11,2.4,1.33,-0.07
"Ptprs",-0.99,-0.78,-0.81,-0.41,-1.2,0.31,-0.17,0.04,1.98,0.87,1.17
"Trpv4",-1.29,-0.98,-0.65,0,-1.36,0.56,0.52,-0.37,1.49,1.13,0.95
"C3ar1",-1.08,-0.94,-0.52,-0.52,-1.61,0.64,0.99,0.14,1.17,1.38,0.35
"Cd200r1",-0.92,-0.59,-0.73,-1.17,-1.5,1.26,0.66,0.27,1.1,0.84,0.8
"Itga6",-1.13,-0.51,-0.31,-0.79,-1.78,0.6,0.57,0.01,0.77,1.21,1.35
"Selplg",-1.82,-0.6,-0.58,-0.91,-0.65,0.25,0.96,0.9,1.58,0.32,0.56
"Itgb5",-1.85,-0.67,-0.58,-0.78,-0.93,0.21,1.04,0.91,0.84,0.86,0.96
"Lrp1",-1.07,-0.88,-1.24,-1.2,-0.03,0.37,0.58,0.76,1.94,0.42,0.36
"Lrp6",-1.89,-0.16,-0.74,-0.77,-0.18,-0.04,0.27,0.47,2.12,0.51,0.4
"Slc1a5",-0.32,-0.85,-1.45,-1.61,0.61,0.05,0.15,0.41,1.19,0.29,1.55
"Acvr2b",-0.19,-0.98,-1.06,-0.81,-0.55,-0.69,0.78,0.5,1.8,-0.3,1.51
"Nectin1",-1.1,-1.7,-0.56,-0.82,-0.52,0.88,0.39,0.82,1.52,0.32,0.78
"Cd28",-1.27,-1.44,-1.07,-0.72,0.35,1.52,0.45,0.25,1.3,0.42,0.21
"Fcgr3",-0.7,-1.36,-1.53,-1.27,0.72,0.93,0.91,0.88,0.42,0.32,0.68
"Cxcr4",-0.93,-1.53,-1.23,-1.24,0.76,0.66,1.02,0.92,0.45,0.57,0.55
"Tsku",-0.73,-1.64,-1.38,-0.96,0.69,0.84,0.42,0.61,1.33,0.65,0.16
"Il6ra",-0.79,-1.46,-1.13,-1.43,0.42,0.48,0.78,0.62,1.37,0.62,0.53
"Ccr5",-0.63,-1.8,-0.73,-1.15,-0.1,1.43,1.08,0.91,0.59,0.26,0.17
"Cx3cr1",-0.51,-1.3,-1.34,-1.12,0.63,1.17,1.32,0.82,0.81,-0.05,-0.42
"P2ry6",0.24,-1.34,-1.13,-1.55,-0.65,0.84,0.68,0.79,1.41,0.25,0.46
"Plxnc1",0.02,-1.67,-1.06,-0.95,-0.96,0.84,1.34,0.65,0.35,1.04,0.4
"Il1r1",0.04,-1.41,-1.06,-1.07,2.14,0.29,0.36,0.79,-0.41,0.36,-0.04
"Adora3",-0.34,-1.34,-0.76,-1.7,1.16,0.92,1.11,0.71,-0.58,0.56,0.25
"Tnfrsf21",-1.28,-1.23,-0.72,-1.43,1.45,0.79,0.54,0.33,0.18,0.98,0.38
"Csf1r",-2.17,-0.43,-0.67,-0.76,1.51,0.06,0.95,0.71,-0.09,0.47,0.41
"Pkd1",-1.43,-0.98,-1.65,-0.78,0.71,0.32,0.62,0.66,0.7,1.09,0.74
"Thbd",-1.17,-1.11,-1.76,-0.75,0.72,0.55,1.03,0.66,0.15,0.74,0.94
"Cdh1",0.22,-1.01,-0.49,-1.79,0.94,-0.57,-0.32,-0.22,0.43,1.47,1.33
"Adipor2",-0.74,-1.56,-1.04,-0.98,1.85,-0.03,0.6,0.68,0.68,0.03,0.5
"Tnfrsf12a",-0.77,-1.56,-0.69,-0.8,1.81,-0.47,0.07,-0.18,1.09,0.64,0.86
