"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Zfp688",-0.56,-1.31,-1.74,-0.67,1.2,0.09,-0.11,1.16,0.13,0.81,1
"Zfp61",-0.03,-1.27,-1.15,-1.19,1.19,0.66,0.35,1.41,-1,0.23,0.8
"Pcgf6",-0.08,-1.35,-1.26,-1.08,1.46,0.6,0.83,0.76,-0.91,0.11,0.91
"Rfx1",-0.73,-1.62,-0.69,-0.88,0.32,-0.52,0.87,1.52,-0.28,1.19,0.81
"Tcf3",-0.2,-0.88,-1.61,-1.14,0.46,-0.45,0.7,0.49,-0.22,1.53,1.32
"Mnt",-0.26,-0.98,-0.9,-1.5,0.11,0.69,0.54,0.42,-0.96,1.46,1.38
"Prr12",-0.47,-0.84,-1.39,-1.43,0.12,0.15,1.21,1.12,-0.51,1.04,1
"Jun",-0.59,-1.32,-1.08,-1.23,-0.13,0.33,1.12,1.08,-0.37,0.9,1.31
"Foxk1",-0.79,-1.05,-0.83,-1.37,0.07,0.51,0.89,0.91,-0.81,0.99,1.48
"Brf2",-1.8,0.23,-1.44,-0.62,0.81,0.07,0.85,1.31,-0.54,0.25,0.89
"Zkscan14",-1.8,-0.25,-0.83,-0.72,1,-0.08,1.34,1.4,-0.44,0.67,-0.28
"Thra",-1.97,-0.08,-0.67,-0.45,0,0.49,0.42,0.81,-1.09,1.24,1.3
"Zfp579",-1.65,-0.05,-1.3,-0.71,0.01,1.34,0.72,0.76,-0.84,0.74,0.98
"Cux1",-1.62,-0.77,-0.49,-0.31,0.28,0.84,1.19,1.29,-1.43,0.55,0.47
"Rxra",-1.2,-0.43,-0.75,-0.44,-0.32,1,1.16,1.28,-1.62,0.6,0.73
"Zbtb22",-0.89,-0.92,-0.76,-1.03,0.54,0.55,1.03,0.81,-1.39,1.46,0.59
"Zfp219",-1.52,-0.45,-1.06,-0.39,0.53,0.76,1.15,1.03,-1.27,1.15,0.06
"Setdb1",-0.03,-1.24,-1.5,-0.64,0.01,1.55,1.32,1.11,-0.68,0.1,0.01
"Thap3",-0.41,-1.18,-1.14,-1.08,0.8,1.14,1.26,1.33,0.29,-0.69,-0.32
"St18",-0.37,-1.18,-1.31,-0.97,1.28,1.42,1.05,0.85,-0.21,-0.53,-0.03
"Pbx3",-0.4,-1.84,-0.87,-1.24,0.9,0.95,1.07,1.09,0.18,0.25,-0.08
"Zbtb4",-0.51,-1.33,-0.49,-1.29,0.3,1.56,1.12,1.41,-0.34,-0.01,-0.42
"Zfp94",-0.48,-1.4,-0.96,-0.98,0.62,1.67,0.94,1.27,-0.48,-0.14,-0.07
"Zfp235",-1.06,-1.23,-0.41,-0.44,0.94,0.51,1.48,1.56,-0.96,-0.54,0.15
"Mypop",-0.3,-1.21,-0.74,-1.3,0.96,0.13,1.5,1.28,0.24,-1.04,0.48
"Zfp467",-0.85,-0.95,-0.26,-1.03,-1.1,1.22,1.48,1.44,-0.42,0.2,0.28
"Zfp266",-0.09,-1.85,-1.1,-1.12,0.22,0.84,1.59,0.15,0.13,0.64,0.59
"Zfp780b",-0.31,-1.85,-0.93,-1.15,0.17,0.2,1.34,1.09,1.04,0.01,0.39
"E2f2",-0.94,-1.84,-0.04,-1.37,0.05,0.61,1.33,1.01,0.67,0.47,0.06
"Nfatc2",-0.89,-1.49,-1.21,-1.22,0.09,0.85,0.99,1,0.4,0.56,0.93
"Bmyc",-0.75,-1.44,-1.41,-1.25,0.4,0.82,0.8,0.97,0.19,0.73,0.92
"Mafb",-0.67,-1.21,-1.27,-1.58,0.03,0.85,0.9,0.79,0.26,0.94,0.95
"Dbp",-0.72,-1.37,-1.18,-1.3,-0.3,0.62,0.94,0.66,0.4,1.07,1.2
"Zfp532",-0.97,-0.77,-1.43,-1.45,-0.29,0.79,0.74,0.77,0.52,1.05,1.06
"Zfp395",-0.92,-1.1,-1.42,-1.16,-0.27,0.87,0.66,0.39,0.65,0.92,1.39
"Zfp524",-0.67,-0.69,-1.32,-1.49,-0.43,1.01,1.37,0.67,0.01,0.34,1.2
"Zbed3",-0.79,-0.69,-1.89,-0.98,-0.46,1.03,0.87,0.69,0.75,0.42,1.05
"Vdr",-0.33,-0.69,-1.82,-1.27,-0.44,0.92,0.47,0.93,0.1,1.25,0.89
"Smyd3",-0.38,-0.65,-1.91,-1.33,0.48,0.76,0.92,0.83,-0.4,0.62,1.05
"Zkscan5",-0.81,-0.64,-1.84,-1.08,0.59,0.05,0.62,1.31,-0.17,1,0.96
"Pou6f1",-1.55,-0.92,-1.24,-0.7,0.01,0.9,0.66,1.52,1.04,0.05,0.22
"Lyl1",-1.31,-1.26,-1.07,-0.91,0.25,0.83,1.41,1.22,0.67,0.18,-0.01
"Nr2f6",-1.55,-0.59,-1.49,-1.02,-0.11,0.5,0.87,0.8,1.09,0.6,0.89
"Zfhx3",-1.59,-0.75,-1.5,-0.64,-0.27,0.9,0.97,0.88,1.12,0.39,0.5
"Rxrb",-1.04,-0.38,-1.98,-1.13,0.58,0.57,1.06,0.69,1.06,0.17,0.41
"Zfp369",-0.9,-1.08,-1.78,-0.95,0.23,0.55,1.03,0.79,1.19,0.64,0.27
"Rora",-1.63,-0.5,-1.48,-1.01,0.49,0.21,0.28,0.67,0.77,0.9,1.3
"Nfatc1",-1.33,-0.8,-1.05,-1.6,0.22,0.71,0.32,1,0.96,0.49,1.06
"Dnmt1",-1.49,-0.97,-1.03,-1.17,-0.04,0.11,0.81,0.76,1.25,0.99,0.78
"Zfp704",-1.1,-1.01,-1.34,-1.29,0.07,0.32,0.45,0.68,0.94,1.23,1.06
"Gtf2ird1",-0.99,-1.31,-1.21,-1.35,0.24,0.24,0.8,0.83,0.93,0.82,1
"Atmin",-1.84,-0.51,-1.19,-0.95,0.39,0.95,0.62,1.12,0.03,1.13,0.24
"Usf2",-1.56,-1.01,-1.04,-1.24,0.45,0.51,1.04,1.15,0.36,0.61,0.73
"Zbtb20",-1.47,-0.97,-1.31,-1.06,0.56,0.89,0.99,1,-0.01,0.54,0.83
"Zbtb38",-1.51,-0.85,-1.08,-1.1,0.21,0.39,0.79,0.86,-0.14,1,1.43
"Tef",-1.51,-1.04,-1.22,-1.03,0.08,0.63,0.92,0.9,0.32,0.95,1.01
"Zfp74",-0.63,-1.09,-1.52,-1.12,1.59,0.78,0.84,0.85,0.39,-0.28,0.21
"Runx3",-0.74,-0.69,-1.65,-1.27,1.47,0.49,0.81,0.72,1,0.04,-0.19
"Zc3h8",-0.69,-1,-1.69,-1.11,1.51,0.73,0.35,0.86,0.85,0.04,0.17
"Pcgf2",-1.36,-0.96,-0.54,-1.51,1.53,-0.05,0.79,0.97,0.52,-0.05,0.66
"Zfp692",-1.83,-0.87,-0.91,-0.81,1.24,0.61,0.79,1.26,0.54,-0.07,0.04
"E2f1",-1.31,-1.23,-1.12,-1.21,1.05,0.59,0.71,0.84,1.05,0.52,0.09
"Zfp414",-1.38,-1.05,-0.73,-1.41,0.78,0.86,1,1.04,-0.42,0.57,0.74
"Fli1",-1.37,-1.23,-0.77,-1.25,0.45,1.09,1.01,0.66,-0.18,0.41,1.18
"Mef2d",-0.97,-1.46,-1.15,-1.05,0.98,0.78,0.63,0.78,-0.4,0.89,0.98
"Mxi1",-1.11,-1.2,-1.21,-1.34,1.13,0.65,1.08,0.7,0.12,0.47,0.71
"Zfp41",-1.09,-0.68,-1.04,-1.3,0.63,0.55,1.15,1.47,-0.76,0.18,0.89
"Gm28557",-1.04,-1.34,-0.89,-0.9,1.04,0.74,1.06,1.25,-0.45,-0.39,0.92
"Chchd3",-0.93,-1.11,-1.34,-0.77,1.21,1.42,0.68,0.12,-0.7,0.57,0.85
"Zfp248",-0.69,-0.96,-1.04,-1.67,0.84,0.4,1.67,0.62,-0.26,0.69,0.39
"Hmg20a",-0.95,-0.47,-1.63,-1,1.01,0.81,1.67,0.55,-0.48,0.47,0.01
"Zbtb44",-0.67,-0.73,-1.76,-1.03,1.15,0.81,0.99,0.99,-0.61,0.73,0.12
"Klf10",-0.43,-0.71,-0.95,-0.98,1.77,0.49,-0.09,-0.31,-1.12,1.19,1.14
"Nr1d1",-0.82,-0.88,-0.96,-1.14,1.99,-0.43,0.06,0.16,-0.04,1.17,0.89
"Etv5",-1.01,0.19,-0.11,-1.25,-0.1,-0.11,-0.23,-0.81,-0.18,1.54,2.07
"Pparg",-0.96,-1.21,-0.7,-0.98,-0.39,0.36,0.01,0.2,0.28,1.64,1.76
"Bhlhe40",-0.12,-1.32,-1.19,-1.44,0,0.23,0.24,0.12,0.51,1.47,1.5
"Cenpa",-0.4,-1.13,-1.1,-1.28,0.3,-0.13,-0.08,-0.05,0.69,1.36,1.81
"Zfp608",-1.47,-1.18,-0.74,-0.95,0.9,0.75,0.74,-0.33,1.67,0.29,0.32
"Akap8l",-0.97,-1.14,-0.78,-1.11,0.24,0.47,0.26,0.18,2.32,0.17,0.35
"Xpa",-0.42,-1.52,-1.06,-1.05,1.63,0.06,0.08,-0.27,1.18,0.33,1.04
"Phf1",-0.97,-2,-0.93,-0.58,0.94,0.23,0.59,0.4,1.41,0.47,0.45
"Erf",-1.04,-1.62,-0.8,-0.96,-0.05,-0.11,0.33,0.89,1.19,1.28,0.89
"Foxo3",-0.63,-1.79,-1,-0.82,-0.11,0.11,0.53,0.41,1.59,1.21,0.51
"Gtf3a",-1.25,-1.29,-0.91,-0.61,0.08,0.11,0.11,0.16,2.09,0.8,0.72
"Npas4",-0.92,-1.05,-1.09,-1.1,-0.29,0.48,0.19,0.02,1.85,1.15,0.75
"Foxo4",-0.8,-1.28,-1.1,-1.41,-0.33,0.72,0.8,0.9,1.31,0.42,0.76
"Rreb1",-0.46,-1.4,-1.39,-1.48,0.39,0.93,0.61,0.47,1.21,0.63,0.49
"Gtf2i",-1.01,-1.45,-1.23,-1.25,0.28,0.82,0.72,0.84,1.03,0.61,0.63
"Zfp652",-0.68,-0.83,-1.66,-1.45,0.24,0.34,0.68,0.21,1.11,1.02,1.01
"Trerf1",0.03,-1.16,-1.73,-1.54,0.06,0.63,0.73,0.67,1.01,0.77,0.53
"Nfic",-0.51,-1.23,-1.36,-1.62,0.45,0.16,0.84,1.01,0.91,0.48,0.86
"Ski",-0.65,-1.33,-1.58,-1.27,0.45,0.49,0.81,0.87,0.9,0.36,0.95
"Tfeb",-0.81,-0.69,-1.23,-1.36,-0.59,0.16,0.28,0.73,1.7,0.78,1.02
"Batf3",-0.28,-1.11,-1.54,-0.92,-0.93,0.47,0.48,0.56,1.53,0.79,0.94
"Phf20",-0.51,-1.53,-1.23,-0.83,-0.23,0.11,0.58,0.94,1.87,0.23,0.6
"Creb3l2",-0.12,-1.45,-1.21,-1.46,0.08,0.59,0.57,0.54,1.72,0.21,0.55
"Bach1",-0.58,-0.93,-0.87,0.05,-0.74,0.44,-0.49,-0.33,2.3,1.28,-0.13
"Tfdp2",-0.34,-1.51,-0.32,-0.7,-1.49,0.4,-0.1,0.57,1.17,1.51,0.81
"Zbtb18",-1.06,-0.79,-1.04,-0.15,-0.51,-0.1,-0.14,-0.34,2.08,0.62,1.42
"Meis3",-2.12,-0.26,-0.63,-0.32,-0.58,0.02,0.28,0.29,1.44,0.41,1.48
"Zfp512b",-0.61,-0.41,-1.89,-0.93,0.07,-0.2,0.21,0.48,1.67,1.37,0.24
"Mbd3",-1.47,-0.03,-1.1,-0.84,0.05,-0.63,0.25,0.77,2.11,0.37,0.51
"Hmg20b",-1.78,-0.88,-0.92,-0.74,-0.03,0.04,0.36,0.73,1.68,0.86,0.68
"Tet3",-0.16,-0.39,-0.02,0.33,-1.73,-1.05,-0.29,-0.41,0.62,1.24,1.86
"Mef2a",-0.68,0.23,-0.41,-0.55,-1.61,0.03,-0.6,-0.55,1.31,1.39,1.45
"Zfp90",-0.02,-0.14,-0.59,-1.18,-1.47,-0.01,0.18,-0.44,0.35,1.36,1.97
"Cebpa",-1.14,-0.56,-1.12,-1.13,-1.09,0.49,0.97,0.92,0.57,0.82,1.27
"Hes6",-1.1,-0.84,-1.39,-1.05,-0.58,0.36,0.53,1.2,0.68,1.08,1.11
"Mxd4",-1.16,-0.99,-1.24,-0.95,-0.72,0.48,0.78,0.54,0.94,1.11,1.21
"Cbx2",-1.14,-1.08,-0.51,-1.42,-0.43,0.33,0.65,0.76,0.16,1.74,0.94
