"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Ednrb",0.82,0.85,-0.52,1.4,-0.5,-0.96,-1.09
"Rbpj-ps3",0.87,0.76,-0.34,1.39,-0.53,-1.01,-1.15
"Il1bos",1.06,0.08,0,1.45,-0.29,-1.24,-1.07
"Tjp1",0.74,0.54,0.24,1.28,-0.23,-1.53,-1.04
"Gm13456",0.78,0.11,0.69,0.96,-0.14,-1.93,-0.47
"Zeb1",0.83,0.36,0.76,0.91,-0.68,-1.77,-0.41
"Rnf180",0.97,0.36,0.65,0.93,-0.41,-1.67,-0.83
"Rwdd1",0.88,0.4,0.51,0.81,0.14,-1.79,-0.96
"Btf3-ps1",1,0.6,0.48,0.69,-0.04,-1.71,-1.02
"Sdad1",0.81,0.65,0.53,0.87,-0.19,-1.71,-0.97
"Cxcl5",1.03,0.67,0.7,0.58,-0.49,-1.63,-0.87
"Hectd4",0.89,0.8,0.8,0.44,-0.36,-1.68,-0.88
"Psme2b",0.85,0.77,0.35,0.81,-0.26,-1.84,-0.69
"Ankrd52",1.22,0.59,0.44,0.57,-0.36,-1.73,-0.73
"Birc6",1.14,0.7,0.3,0.68,-0.4,-1.75,-0.67
"Nfix",1.38,0.39,0.41,0.38,-0.09,-1.77,-0.7
"Ppic",1.56,0.57,0.19,0.36,-0.32,-1.5,-0.85
"Ifnar1",1.41,0.55,0.18,0.48,-0.1,-1.63,-0.89
"4930599N23Rik",1.34,0,0.18,0.99,-0.5,-1.68,-0.33
"Col4a2",1.49,0.4,0.41,0.49,-0.54,-1.56,-0.68
"Leng9",1.29,0.54,0.39,0.55,-0.66,-1.74,-0.37
"Ido2",0.51,-0.49,1.04,1.46,-0.48,-0.96,-1.07
"Rnf225",0.36,0.09,0.73,1.54,-0.35,-1.28,-1.09
"Klrg2",0.41,-0.1,0.7,1.62,-0.36,-1.09,-1.18
"Intu",0.16,0.23,1,1.42,-0.52,-1.19,-1.1
"Gabpa",0.41,0.23,0.94,1.37,-0.71,-1.04,-1.2
"Zfp558",1.01,-0.2,0.7,1.23,-0.35,-1.28,-1.09
"Dcaf1",1.13,-0.12,0.51,1.18,-0.32,-1.43,-0.95
"Gm5970",1.18,-0.32,1.17,0.59,-0.33,-1.24,-1.06
"Gm4841",0.94,-0.24,1.2,0.82,-0.36,-1.11,-1.26
"Uimc1",1.03,-0.09,1.06,0.82,-0.35,-1.27,-1.19
"Il17rd",1.16,0.13,0.96,0.6,-0.42,-1.54,-0.89
"Cd86",1.31,0.13,0.86,0.59,-0.41,-1.22,-1.24
"Bud31",1.42,0,0.64,0.76,-0.46,-1.28,-1.07
"Serpine2",1.84,-0.57,0.43,0.58,-0.68,-0.82,-0.78
"Adora2b",1.85,-0.12,0.28,0.53,-0.7,-1.03,-0.81
"Cnn3",1.9,-0.24,0.27,0.52,-0.89,-0.82,-0.74
