"","baseMean","lgFC_Treatment_6H_vs_Naive","lfcSE","stat","pvalue","padj"
"Tnf",3705.40807832518,6.26829810339981,0.20925709852405,29.9550082057521,3.78636240684398e-197,4.90409658934433e-193
"Ccl3",5408.0884424945,4.96228024066147,0.182400067799605,27.2054736630542,5.59523550506438e-163,3.62347451307969e-159
"Cxcl2",13142.7239039202,5.38107473580136,0.205220337856431,26.2209622691776,1.53283373850616e-151,6.61775419371061e-148
"Oasl1",1963.73373790443,4.34220304666708,0.182407000141642,23.8050241673581,2.96270843192359e-125,9.5932499025686e-122
"Cd40",1133.44764102354,3.71297769334546,0.164046626511275,22.6336729520632,2.02054473214448e-113,5.23401907414705e-110
"Ccl4",5808.21541790256,5.64888450084288,0.260110419551814,21.7172557353767,1.40951221722437e-104,3.04266703958168e-101
"Acod1",774.580865363473,4.08315362651487,0.207712847871615,19.6576844829484,4.96894430754466e-86,9.19396666733121e-83
"Ifit1",764.35549452765,5.40010715829839,0.296252510628386,18.228055339832,3.09118813470556e-74,5.0046335900883e-71
"Slc15a3",540.713824598601,2.37364604067622,0.134287761349385,17.6758180851682,6.43994317489378e-70,9.2677937779138e-67
"Inhba",695.920145056417,3.35075352969861,0.194460183672021,17.2310519635733,1.55301105365384e-66,2.01145991669246e-63
"Il12b",304.562730947585,5.67023193184001,0.337516406019906,16.7998705565311,2.44577165250119e-63,2.8797849493814e-60
"Nfkbiz",275.316728772054,3.50169665384454,0.212622225588104,16.4690998044018,6.11739125463065e-61,6.60270429416468e-58
"Ebi3",283.119367415794,2.63568659053109,0.161359705630901,16.334230285224,5.6338793720547e-60,5.61307735591173e-57
"Usp18",956.811292198916,4.46430058346446,0.275454966093397,16.2070070718956,4.49953837195559e-59,4.16271578525492e-56
"Oasl2",485.769206395614,3.21049442807845,0.200630659576045,16.002013026636,1.23709527687253e-57,1.0681905350702e-54
"Gdf15",396.816666709968,3.39827635299203,0.21614066869479,15.7225216962325,1.06018678352719e-55,8.58221201265263e-53
"Igtp",1030.73661899699,3.59028949299885,0.231224762623394,15.5272707484471,2.26830253815943e-54,1.72817967495535e-51
"Parp14",1443.64226399978,3.95248030642899,0.255603860957467,15.4633043946339,6.1367988691796e-54,4.41576771964523e-51
"Slc7a2",344.38909238212,4.36837664634815,0.282706598583087,15.451979784845,7.31613094360728e-54,4.98729094640008e-51
"Rigi",655.550764074086,3.18143758746042,0.206379149551972,15.4154990674542,1.28772188938797e-53,8.33928695567652e-51
"Cmpk2",796.561848344337,5.09540194936879,0.332851850129618,15.308317942005,6.72815193451913e-53,4.14966780266151e-50
"Ifit3b",279.03665583782,5.7478441574539,0.381072011629254,15.0833542796263,2.08406493854076e-51,1.22694586745364e-48
"Parp10",412.812657040523,2.61373315772991,0.175419420541005,14.8999076024136,3.30035579205975e-50,1.85853079211991e-47
"Ccl5",6088.64913631304,3.36785589064341,0.227054572800127,14.8328036256204,8.98984610343841e-50,4.85152028048893e-47
